"","V1","V2","V3","V4"
"Intercept",-9.21065680824196,0.787854225378503,-9.5019032537172,0.787578656236011
"traditional",5.68855778756032,0.799541570479457,5.7699772513275,0.798771299412064
"nborsstd",1.43389293778431,0.207355496469628,1.40010233138888,0.207462241047759
"prevadoptstd",3.99916239326352,0.768837068722456,4.21314298928043,0.775258994624633
"complexity",-0.402269772858309,0.271881889231569,-0.284678531486359,0.279999677487109
"igrole",1.68995183130622,0.281405037354036,1.62440990202981,0.287315579196957
"regov",-0.127413522528286,0.208183925162404,-0.151770419414001,0.206966489425101
"unified",0.0675233898724472,0.204840233043511,0.0799402978360681,0.204594238586469
"perdemstd",-0.298581591098738,0.115373574697176,-0.336668751274171,0.114712859168106
"incpcadjstd",-0.387485396537515,0.302346861968696,-0.274873051773203,0.281881480519384
"exppcadjstd",-0.566399525771653,0.271203269926668,-0.660832276103689,0.275542247490635
"logpopstd",-0.384544915409053,0.141111516829986,-0.388442932691783,0.143427813331294
"collegstd",0.344593952775752,0.207476389448711,0.298554979176934,0.207383237357907
"perurbanstd",0.134914621552981,0.11490850929064,0.14177998924356,0.116852326150026
"profstd",-0.0739643957656212,0.11385124578454,-0.0575001065820504,0.109745452911995
"traditional * nborsstd",-0.991535701823423,0.214595274758118,-0.909547323073264,0.215097397953193
"traditional * prevadoptstd",-3.80756595612811,0.776198442918946,-3.90993906267877,0.781966335629669
"traditional * complexity",-0.485189405817583,0.36974296244019,-0.666090017338377,0.379807696421219
"traditional * igrole",-1.69005061600238,0.298987994792812,-1.63518968655693,0.304581840958847
"traditional * regov",0.257460660569207,0.22771553108754,0.269515848924445,0.226648699705533
"traditional * unified",0.0315449625652854,0.224030704970741,0.0738474866454209,0.223769675770796
"traditional * perdemstd",0.257124922475179,0.122287948997052,0.248872373066347,0.121408197354046
"traditional * incpcadjstd",0.396069689556917,0.326629551546688,0.380122945499447,0.310659655869378
"traditional * exppcadjstd",0.550348900726989,0.287735121190049,0.65483185312538,0.291105078783473
"traditional * logpopstd",0.286989043016816,0.151021175884432,0.262096022961943,0.153974638435696
"traditional * collegstd",-0.590389816718496,0.239995079359978,-0.606339653602635,0.24100877867078
"traditional * perurbanstd",0.00648725745355203,0.126746325486315,0.0450882953591054,0.129209601323507
"traditional * profstd",-0.0473314790006837,0.12453860537852,-0.146171225465733,0.121782438317407
"gamma",NA,NA,2.07266680248006,0.145648769634971
"alpha",NA,NA,NA,0.00119009139529096
"obs_policy",42469,38,NA,NA
"BIC",NA,7134.74823193575,NA,6924.79239462591
