"","V1","V2","V3","V4"
"Intercept",-5.4112750978035,0.277881720243592,-5.36371965882961,0.276312378387895
"srcs_decay",8.52666294446957,0.438178506266814,8.17436902484949,0.436929067384836
"nbrs_lag",0.392840169023137,0.0222474715538667,0.380334785892956,0.022232238637108
"rpcpinc",0.573760346939765,0.0748395360514361,0.562681558784498,0.0752537524939585
"totpop",0.0905434798600859,0.0282761982893695,0.0938949772276119,0.0282666870739751
"legp_squire",-1.0889741201988,0.68713130244471,-0.826565998576975,0.683892062843776
"citi6010",0.00983485244187753,0.00351734609854631,0.0100891645982047,0.00350957284731457
"unif_rep",-0.0204458476558009,0.0760296709745796,-0.0562893864187469,0.0765493771962176
"unif_dem",0.0629104505898613,0.0663882669627584,0.0612580302051782,0.0667126984028124
"time",-0.135389559743728,0.0175798130121985,-0.14913297363418,0.0178557984036409
"time_sq",0.00723940432517354,0.00144390693229716,0.00806336288351427,0.00147205240277667
"time_cube",-0.000127785895109976,0.0000308950419207644,-0.000142260378537748,0.0000318385449297656
"state=AK",0.479272401118509,0.322864673822637,-0.443579438608962,0.343301364036188
"state=AR",0.127127321820399,0.263120437674778,0.145051603621473,0.260131262399166
"state=AZ",0.865914563275152,0.251401894863316,0.852829858636713,0.248928202343326
"state=CA",-0.848813296503343,0.7824188736103,-1.06990789262134,0.781559270185419
"state=CO",0.315403844830359,0.265331357500873,-0.15107584005126,0.281230956308236
"state=CT",0.0801653807247629,0.293133662920704,0.0556126073221176,0.29083538323883
"state=DE",0.714398348914831,0.279892123323585,0.705542067595945,0.27795005825179
"state=FL",0.193573453722695,0.359678162420683,0.124764183532916,0.357807085235317
"state=GA",0.208535738875067,0.250299838396056,0.200789496640015,0.248125414599887
"state=HI",0.648619570881081,0.316186701124708,0.592941081210915,0.31459079304793
"state=IA",0.454242818173223,0.27257075776373,0.446471737699405,0.26991102999881
"state=ID",0.545902046610167,0.287411198577321,0.577275738874556,0.283934899400059
"state=IL",-0.183734845147262,0.334274517983173,-0.246490688719033,0.331700017217046
"state=IN",0.160218041151829,0.236699464485225,-0.114571363061894,0.245360577600376
"state=KS",0.543440716361879,0.259783193616441,0.556580936362385,0.257542290601719
"state=KY",-0.159507509803192,0.268308556473417,-0.134629259631286,0.264607123615372
"state=LA",1.08757001081257,0.233924539385615,1.06201633177743,0.231796030530638
"state=MA",-0.475271834378754,0.369772097640317,-0.551968749021911,0.368104235218307
"state=MD",-0.159415811749625,0.298572061287481,-0.623823173924488,0.311308517542845
"state=ME",0.94055838310441,0.269161684532851,0.921623967654045,0.267400864070212
"state=MI",-0.101324573574076,0.406152459459378,-0.21871548651117,0.405731552346463
"state=MN",0.314403819482967,0.259274758862224,0.287641473809966,0.257133914895772
"state=MO",0.117037308741509,0.271627544798894,-0.372295364389196,0.279408932252923
"state=MS",0.578808708887507,0.261970898481941,0.569585661668904,0.259975174485682
"state=MT",0.783389530819314,0.270386359650824,0.384303392746903,0.28204918102167
"state=NC",0.612417009259112,0.272123316668345,0.578367643158158,0.26861049105566
"state=ND",0.158163200584149,0.30780950038249,-0.284387646008752,0.319468850107474
"state=NH",0.211539261101291,0.28440784517012,-0.101331189060432,0.288349120319169
"state=NJ",0.0547578490250556,0.301028983806822,0.00717504544732009,0.298500830925312
"state=NM",0.699152802114279,0.251022221021523,0.711281049755743,0.248599145799479
"state=NV",0.167884619237197,0.27695687483223,0.179572646046469,0.274493984113112
"state=NY",-1.21646523155852,0.533636098530609,-1.37044998248453,0.5320717658507
"state=OH",0.0502803867032919,0.34194044270882,-0.0225853096153635,0.339650647186919
"state=OK",0.645943381006269,0.258162359511222,0.623985893398324,0.256149084572654
"state=OR",0.551248693793983,0.259902755949303,0.532746627352198,0.25772084631645
"state=PA",-0.909999964746325,0.373387512341698,-0.967741055620783,0.371183629457909
"state=RI",0.627169590530644,0.289896697033404,0.612134915664409,0.28802131865879
"state=SC",0.77481491266346,0.251563810925994,0.611240321926932,0.256121831828339
"state=SD",0.235296710916619,0.284661354291222,0.284427585561684,0.282396418836443
"state=TN",0.148472741557641,0.256615681465082,0.153019435632357,0.252337861876581
"state=TX",-0.519201613373326,0.462075243696329,-0.59069533277401,0.460690913942928
"state=UT",0.599095176093537,0.266216399455046,0.403824054698097,0.269482524280957
"state=VA",0.390179348532982,0.251320486979138,0.374337781015571,0.248631538492145
"state=VT",0.238713316735823,0.313760189821347,0.236047382434541,0.311907331523828
"state=WA",0.54000152510892,0.251844034081787,0.498425829720042,0.250084272723745
"state=WI",0.39792470256622,0.312611997213097,0.32420193396857,0.311228466841437
"state=WV",0.31542005553389,0.277343563017891,0.31094461277796,0.275511134647091
"state=WY",-0.0225180596607932,0.291528068767711,0.0279050361745263,0.289581786544556
"gamma",NA,NA,1.60435111436429,0.112796948522085
"alpha",NA,NA,NA,-7.12442371931699
"obs_policy",44457,86,NA,NA
"BIC",NA,16757.2601986947,NA,16573.1277348923
