Sample Sizes:
First_50%: n = 22166
Last_50%: n = 22291
Full_Dataset: n = 44457

================================================================================
Coefficients and P-Values Comparison
================================================================================
             First_50%_Coef  First_50%_P_Value  Last_50%_Coef  Last_50%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
const               -4.7163             0.0000        -3.5869            0.0000            -4.9320                0.0000
srcs_decay          11.0984             0.0000         7.4610            0.0000             8.5267                0.0000
nbrs_lag             0.5218             0.0000         0.3329            0.0000             0.3928                0.0000
rpcpinc              0.1632             0.4636         0.1436            0.3010             0.5738                0.0000
totpop               0.0675             0.3443         0.0991            0.1369             0.0905                0.0014
legp_squire          1.1772             0.3571        -0.7240            0.6640            -1.0890                0.1133
citi6010             0.0176             0.0050         0.0096            0.0689             0.0098                0.0052
unif_rep             0.0609             0.7502        -0.0419            0.6632            -0.0204                0.7882
unif_dem             0.2204             0.0433         0.0236            0.7917             0.0629                0.3437
time                -0.3333             0.0000        -0.0595            0.0033            -0.1354                0.0000
time_sq              0.0291             0.0000         0.0016            0.3107             0.0072                0.0000
time_cube           -0.0007             0.0000        -0.0000            0.4434            -0.0001                0.0000
