"","V1","V2","V3","V4"
"Intercept",-6.45529993843491,1.09355975940248,-5.14404874503876,1.05149351601247
"Policy Congruence",0.308075668661883,0.0556859476199732,0.307796718436549,0.0563420806980141
"Elect1",-0.0816283534667412,0.0860269310233761,-0.0316681473069713,0.0861531875667114
"Elect2",-0.00440285181339247,0.0722402692096577,0.0256582542868288,0.0720567644881035
"National Crime Salience",1.09698894396449,0.38334673694931,1.11757509771348,0.385370913380417
"Democratic Party Strength",0.00533262442876149,0.00239098122454172,0.00482846405344303,0.00238452983767881
"Democratic Governor",0.0397238196026369,0.0662144609591857,0.0118384872399616,0.0661749279156252
"Legislative Session",1.88296482276172,0.217191300406531,2.14503492607356,0.219302312357437
"Neighbors",2.57898056216898,0.0989832848279593,2.5739519784617,0.0997065375672646
"Ideological Distance",-0.0409855749658438,0.00328249141611363,-0.0425230101742252,0.00331400315054404
"Legislative Professionalism",-0.153671622982646,0.323251644737521,0.312280888224117,0.318133774409679
"Political Ideology",-0.00647368647207972,0.00306893699067759,-0.00685266920448201,0.00301239501723109
"Crime Control Spending",-0.00119078787750695,0.00248023685826177,-0.00130694199163416,0.0024534483946111
"Crime Control Spending Squared",3.33512518414707e-06,5.21342670734582e-06,3.50699539848547e-06,5.18267801355679e-06
"Violent Crime Rate",0.0203403088020677,0.0183223259429492,0.00582200948337476,0.0178379486036861
"Pct. White",0.00564501726564624,0.00569222509345959,-0.000788077764689681,0.00552337377253823
"Per Capita Income",0.0310654819403998,0.00873607601502045,0.0297987326131855,0.00863555792015839
"Log Population",0.0432068256797768,0.0541792832086762,-0.0228596317309592,0.0512783367979936
"Time",-0.0181281384963743,0.0215020145070694,-0.0279980610340704,0.0216591868397629
"Time Squared",-0.00115311915994807,0.00123082332274192,-0.000797216844867552,0.00123780778982389
"Time Cubed",2.25609072443993e-05,1.94161960674929e-05,1.80485232326794e-05,1.95558974947876e-05
"gamma",NA,NA,1.50594344335205,0.110053459377211
"alpha",NA,NA,NA,-7.30181392308916
"obs_policy",26479,44,NA,NA
"BIC",NA,10207.2038268297,NA,10059.2421118196
