Sample Sizes:
First_50%: n = 11607
Last_50%: n = 8946
Full_Dataset: n = 20553

================================================================================
Coefficients and P-Values Comparison
================================================================================
                  First_50%_Coef  First_50%_P_Value  Last_50%_Coef  Last_50%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
const                    -6.9263             0.0002        -8.0861            0.0000            -6.2641                0.0000
policycongruent           0.2257             0.0071         0.4884            0.0000             0.3631                0.0000
gub_election             -0.0170             0.9053         0.0035            0.9759            -0.0221                0.8070
elect2                    0.0509             0.6683         0.0529            0.5976             0.0324                0.6718
hvd_4yr                   0.0043             0.5061         0.0057            0.2982             0.0028                0.4997
fedcrime                 -0.1227             0.9421         1.1169            0.0196             1.2230                0.0021
leg_dem_per_2pty          0.0091             0.0367         0.0061            0.1318             0.0054                0.0651
dem_governor              0.2174             0.0548        -0.1449            0.1124             0.0527                0.4435
insession                 1.9845             0.0000         1.5233            0.0000             1.6877                0.0000
propneighpol              1.8158             0.0000         2.7729            0.0000             2.3599                0.0000
citidist                 -0.0415             0.0000        -0.0417            0.0000            -0.0416                0.0000
squire_prof86            -0.0511             0.9302        -1.0010            0.0269            -0.2403                0.4860
citi6008                 -0.0022             0.6864        -0.0072            0.1539            -0.0058                0.1108
crimespendpc              0.0126             0.3083         0.0039            0.2523            -0.0003                0.8908
crimespendpcsq           -0.0001             0.1058        -0.0000            0.4228             0.0000                0.5335
violentthousand           0.0913             0.0075        -0.0024            0.9359            -0.0010                0.9611
pctwhite                  0.0147             0.1800         0.0034            0.6578             0.0022                0.7166
stateincpercap           -0.0193             0.5514         0.0242            0.0314             0.0224                0.0167
logpop                   -0.0750             0.4202         0.1669            0.0274             0.0619                0.2826
counter                   0.2154             0.0010        -0.0159            0.5911             0.0091                0.6760
counter2                 -0.0163             0.0009        -0.0027            0.1188            -0.0025                0.0437
counter3                  0.0003             0.0012         0.0001            0.0360             0.0000                0.0297
