state,year,adopt,fiscal_1,party,elect1,elect2,income_1,neighbor,nbrpercn,religion
1,64,0,-0.251,1,0,1,47.52,0,0.0,34.0
1,65,0,-0.256,1,0,1,49.69,0,0.0,34.0
1,66,0,-0.233,1,1,0,53.54,0,0.0,34.0
1,67,0,-0.092,1,0,0,56.22,0,0.0,34.0
1,68,0,-0.15,1,0,1,57.59,0,0.0,34.0
1,69,0,-0.145,1,0,1,61.44,0,0.0,34.0
1,70,0,-0.118,1,1,0,64.59,0,0.0,34.0
1,71,0,-0.122,1,0,0,66.85,0,0.0,34.0
1,72,0,-0.12,1,0,1,68.9,0,0.0,34.0
1,73,0,-0.087,1,0,1,71.15,0,0.0,34.0
1,74,0,-0.044,1,1,0,78.37,0,0.0,34.0
1,75,0,-0.073,1,0,0,77.29,0,0.0,34.0
1,76,0,-0.104,1,0,1,77.17,0,0.0,34.0
1,77,0,-0.176,1,0,1,81.77,0,0.0,34.0
1,78,0,-0.107,1,1,0,84.05,0,0.0,34.0
1,79,0,-0.095,1,0,0,87.4,0,0.0,34.0
1,80,0,-0.074,1,0,1,86.78,0,0.0,34.0
1,81,0,-0.084,1,0,1,86.57,0,0.0,34.0
1,82,0,0.04,1,1,0,86.67,0,0.0,34.0
1,83,0,-0.109,1,0,0,86.53,0,0.0,34.0
1,84,0,-0.156,1,0,1,88.73,0,0.0,34.0
1,85,0,0.025,1,0,1,92.5,0,0.0,34.0
1,86,0,-0.09,1,1,0,95.51,0,0.0,34.0
3,64,0,-0.236,0,1,0,63.91,0,0.0,14.5
3,65,0,-0.247,1,0,0,65.2,0,0.0,14.5
3,66,0,-0.221,1,1,0,66.48,0,0.0,14.5
3,67,0,-0.072,1,0,0,69.22,0,0.0,14.5
3,68,0,-0.095,1,1,0,72.15,0,0.0,14.5
3,69,0,0.011,1,0,0,76.2,0,0.0,14.5
3,70,0,-0.053,1,1,0,80.11,0,0.0,14.5
3,71,0,-0.021,1,0,0,84.55,0,0.0,14.5
3,72,0,-0.068,1,0,1,87.22,0,0.0,14.5
3,73,0,-0.062,1,0,1,91.63,0,0.0,14.5
3,74,0,-0.029,1,1,0,94.91,0,0.0,14.5
3,75,0,-0.065,1,0,0,94.16,0,0.0,14.5
3,76,0,-0.028,1,0,1,90.95,0,0.0,14.5
3,77,0,-0.152,0,0,1,93.76,0,0.0,14.5
3,78,0,-0.07,0,1,0,96.88,0,0.0,14.5
3,79,0,-0.036,0,0,0,103.3,0,0.0,14.5
3,80,0,-0.006,0,0,1,98.75,0,0.0,14.5
3,81,1,-0.027,0,0,1,101.3,0,0.0,14.5
4,64,0,-0.186,1,1,0,45.45,0,0.0,29.6
4,65,0,-0.158,1,0,0,47.22,0,0.0,29.6
4,66,0,-0.154,1,1,0,51.64,0,0.0,29.6
4,67,0,0.004,0,0,0,54.69,0,0.0,29.6
4,68,0,-0.018,0,1,0,55.66,0,0.0,29.6
4,69,0,-0.067,0,0,0,61.73,0,0.0,29.6
4,70,0,-0.023,0,1,0,63.24,0,0.0,29.6
4,71,0,-0.01,1,0,0,66.46,0,0.0,29.6
4,72,0,-0.033,1,1,0,68.42,0,0.0,29.6
4,73,0,0.032,1,0,0,70.38,0,0.0,29.6
4,74,0,0.075,1,1,0,80.74,0,0.0,29.6
4,75,0,-0.001,1,0,0,77.2,0,0.0,29.6
4,76,0,-0.082,1,1,0,74.52,0,0.0,29.6
4,77,0,-0.109,1,0,0,80.74,0,0.0,29.6
4,78,0,-0.083,1,1,0,82.87,0,0.0,29.6
4,79,0,-0.015,1,0,0,86.31,0,0.0,29.6
4,80,0,-0.052,1,1,0,85.4,0,0.0,29.6
4,81,0,-0.021,0,0,0,83.63,0,0.0,29.6
4,82,0,-0.054,0,1,0,84.87,0,0.0,29.6
4,83,0,-0.052,1,0,0,84.22,0,0.0,29.6
4,84,0,-0.053,1,1,0,86.25,0,0.0,29.6
4,85,0,-0.003,1,0,0,102.6,1,0.1429,29.6
4,86,0,-0.031,1,1,0,93.74,1,0.1429,29.6
5,64,0,-0.321,1,0,1,86.5,0,0.0,6.2
5,65,0,-0.32,1,0,1,89.2,0,0.0,6.2
5,66,0,-0.339,1,1,0,91.4,0,0.0,6.2
5,67,0,-0.176,0,0,0,94.07,0,0.0,6.2
5,68,0,-0.207,0,0,1,98.26,0,0.0,6.2
5,69,0,-0.106,0,0,1,100.5,0,0.0,6.2
5,70,0,-0.117,0,1,0,103.1,0,0.0,6.2
5,71,0,-0.113,0,0,0,103.5,0,0.0,6.2
5,72,0,-0.179,0,0,1,103.2,0,0.0,6.2
5,73,0,-0.077,0,0,1,107.4,0,0.0,6.2
5,74,0,-0.033,0,1,0,111.7,0,0.0,6.2
5,75,0,-0.123,1,0,0,110.4,0,0.0,6.2
5,76,0,-0.121,1,0,1,110.8,0,0.0,6.2
5,77,0,-0.139,1,0,1,114.3,0,0.0,6.2
5,78,0,-0.076,1,1,0,118.6,0,0.0,6.2
5,79,0,-0.032,1,0,0,123.7,0,0.0,6.2
5,80,0,-0.115,1,0,1,125.5,0,0.0,6.2
5,81,0,-0.098,1,0,1,126.1,0,0.0,6.2
5,82,0,-0.16,1,1,0,125.9,1,0.3333,6.2
5,83,0,-0.149,0,0,0,125.8,1,0.3333,6.2
5,84,1,-0.177,0,0,1,127.3,1,0.3333,6.2
6,64,0,-0.283,1,0,1,73.3,0,0.0,8.9
6,65,0,-0.294,0,0,1,74.35,0,0.0,8.9
6,66,0,-0.258,0,1,0,76.1,0,0.0,8.9
6,67,0,-0.012,1,0,0,79.34,0,0.0,8.9
6,68,0,-0.048,1,0,1,81.78,0,0.0,8.9
6,69,0,-0.057,1,0,1,81.96,0,0.0,8.9
6,70,0,-0.009,1,1,0,85.18,0,0.0,8.9
6,71,0,-0.035,1,0,0,89.17,0,0.0,8.9
6,72,0,-0.077,1,0,1,92.82,0,0.0,8.9
6,73,0,-0.039,1,0,1,95.11,0,0.0,8.9
6,74,0,0.045,1,1,0,101.1,0,0.0,8.9
6,75,0,0.028,0,0,0,100.7,0,0.0,8.9
6,76,0,-0.052,0,0,1,98.47,0,0.0,8.9
6,77,0,-0.063,0,0,1,104.2,0,0.0,8.9
6,78,0,-0.07,0,1,0,107.3,0,0.0,8.9
6,79,0,-0.017,0,0,0,112.0,0,0.0,8.9
6,80,0,0.014,0,0,1,113.6,0,0.0,8.9
6,81,0,-0.005,0,0,1,116.2,0,0.0,8.9
6,82,0,-0.123,0,1,0,117.8,1,0.1429,8.9
6,83,1,-0.127,0,0,0,122.0,1,0.1429,8.9
7,64,0,-0.193,0,0,1,90.74,0,0.0,1.3
7,65,0,-0.16,0,0,1,93.27,0,0.0,1.3
7,66,0,-0.165,0,1,0,95.14,0,0.0,1.3
7,67,0,-0.081,1,0,0,100.4,0,0.0,1.3
7,68,0,-0.061,1,0,1,105.7,1,0.3333,1.3
7,69,0,-0.136,1,0,1,108.3,1,0.3333,1.3
7,70,0,-0.205,1,1,0,112.0,1,0.3333,1.3
7,71,0,-0.191,0,0,0,112.0,1,0.3333,1.3
7,72,0,-0.288,0,0,1,110.9,1,0.3333,1.3
7,73,0,-0.186,1,0,1,114.7,2,0.6667,1.3
