fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
1,1,Alabama,AL,1,1997.0,1,1997,1.0,0.048,0.7335123,2.8,0,1,0,0,0.5,1,1,0,3.1939,0.4325146,Ban 20 week or earlier
2,1,Alaska,AK,2,1997.0,44,1997,1.0,0.038,0.37117803,2.37,2,0,0,0,0.0,1,38,1,4.7994,0.06038653,Ban 20 week or earlier
12,1,Florida,FL,9,2000.0,345,1997,0.0,0.121,0.48703635,2.57,3,0,0,0,0.5,1,297,1,3.2455,1.5069042,Ban 20 week or earlier
13,1,Georgia,GA,10,1998.0,388,1997,0.0,0.115,0.6100515,2.83,0,1,0,0,0.6,1,334,1,3.6663,0.7673982,Ban 20 week or earlier
16,1,Idaho,ID,12,1998.0,474,1997,0.0,0.052,0.5264447,2.61,5,0,0,0,0.0,1,408,0,3.3404,0.12077917,Ban 20 week or earlier
17,1,Illinois,IL,13,1997.0,517,1997,1.0,0.119,0.6605528,2.54,3,0,0,0,0.0,1,445,0,4.1283,1.2122686,Ban 20 week or earlier
19,1,Iowa,IA,15,1998.0,603,1997,0.0,0.1,0.63897526,2.66,0,0,0,0,0.5,1,519,0,3.3783,0.28814533,Ban 20 week or earlier
21,1,Kentucky,KY,17,1998.0,689,1997,0.0,0.035,0.61575127,3.27,0,1,0,0,0.25,1,593,1,3.3452,0.3934827,Ban 20 week or earlier
28,1,Mississippi,MS,24,1997.0,990,1997,1.0,0.09,0.78355944,3.15,2,1,0,0,0.5,1,852,0,2.8499,0.27632254,Ban 20 week or earlier
31,1,Nebraska,NE,27,1997.0,1119,1997,1.0,0.133,0.6585936,2.72,3,0,0,0,0.16666667,1,963,1,3.4692,0.16713996,Ban 20 week or earlier
38,1,North_Dakota,ND,34,1999.0,1420,1997,0.0,0.052,0.7945791,2.95,6,0,0,0,0.33333334,1,1222,0,3.1661,0.064118,Ban 20 week or earlier
40,1,Oklahoma,OK,36,1998.0,1506,1997,0.0,0.071,0.698944,2.68,4,1,0,0,0.0,1,1296,0,3.1351,0.33591333,Ban 20 week or earlier
44,1,Rhode_Island,RI,39,1997.0,1635,1997,1.0,0.19,0.7369764,2.35,0,1,0,0,0.0,1,1407,0,3.4797,0.10348625,Ban 20 week or earlier
45,1,South_Carolina,SC,40,1997.0,1678,1997,1.0,0.054,0.6530566,2.8,0,0,0,0,0.0,1,1444,0,3.4262,0.38544193,Ban 20 week or earlier
46,1,South_Dakota,SD,41,1997.0,1721,1997,1.0,0.064,0.73055536,2.89,5,0,0,0,0.16666667,1,1481,0,2.9694,0.0737192,Ban 20 week or earlier
47,1,Tennessee,TN,42,1997.0,1764,1997,1.0,0.106,0.6304208,2.85,0,1,0,0,0.25,1,1518,0,3.0636,0.5445654,Ban 20 week or earlier
54,1,West_Virginia,WV,48,1998.0,2022,1997,0.0,0.084,0.4071233,3.14,0,1,0,0,0.0,1,1740,0,2.7488,0.18038839,Ban 20 week or earlier
55,1,Wisconsin,WI,49,1998.0,2065,1997,0.0,0.111,0.67968696,2.83,0,0,0,0,0.25,1,1777,0,3.9595,0.5222103,Ban 20 week or earlier
12,1,Florida,FL,9,2000.0,345,1998,0.0,0.121,0.49397588,2.57,3,0,1,1,1.0,1,297,1,3.4909,1.5373487,Ban 20 week or earlier
