Sample Sizes:
First_50%: n = 14447
Last_50%: n = 15216
Full_Dataset: n = 29663

================================================================================
Coefficients and P-Values Comparison
================================================================================
                    First_50%_Coef  First_50%_P_Value  Last_50%_Coef  Last_50%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
const                      -8.4415             0.0000            NaN               NaN            -3.7984                0.0000
norrander_legality          0.8102             0.0123         0.4399            0.2427             0.2898                0.2150
religadhrate                2.3010             0.0000         0.9129            0.1311             1.4335                0.0002
initdif                     0.0988             0.0002         0.0449            0.1027             0.0728                0.0001
dem_gov                    -0.0717             0.5427        -0.5179            0.0002            -0.2584                0.0025
uni_dem_leg                -0.0231             0.8539        -0.3312            0.0284            -0.1834                0.0417
fem_dem                     0.1115             0.9485        -7.3853            0.0000            -5.4496                0.0000
nbrspct                     1.4090             0.0000         1.3767            0.0000             1.6915                0.0000
rescaledmedincome           0.2389             0.2137        -0.4411            0.0007            -0.3048                0.0032
rescaledpopsize             0.1932             0.1143         0.0358            0.7257             0.0935                0.2048
time                       -0.2152             0.0000        -0.0482            0.1253            -0.0464                0.0218
time2                       0.0133             0.0000         0.0026            0.0000             0.0015                0.0002
webster                    -0.2661             0.2329        -2.2726            0.0999             0.5298                0.0011
