Sample Sizes:
First_50%: n = 15455
Last_50%: n = 27014
Full_Dataset: n = 42469

================================================================================
Coefficients and P-Values Comparison
================================================================================
                          First_50%_Coef  First_50%_P_Value  Last_50%_Coef  Last_50%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
Intercept                       -12.1494             0.0000        -8.4656            0.0000            -9.2107                0.0000
traditional                       9.1238             0.0000         4.3048            0.0000             5.6886                0.0000
nborsstd                          0.7897             0.0729         1.5429            0.0000             1.4339                0.0000
traditional:nborsstd             -0.2329             0.5998        -1.0575            0.0000            -0.9915                0.0000
prevadoptstd                      4.3333             0.0010         3.5616            0.0000             3.9992                0.0000
traditional:prevadoptstd         -4.4457             0.0007        -2.5020            0.0010            -3.8076                0.0000
complexity                        0.2115             0.6643        -0.7134            0.0407            -0.4023                0.1395
traditional:complexity           -0.2010             0.7146        -2.6838            0.0116            -0.4852                0.1796
igrole                            2.1770             0.0000         1.5457            0.0000             1.6900                0.0000
traditional:igrole               -2.1639             0.0001        -1.3320            0.0003            -1.6901                0.0000
regov                            -0.3627             0.3241        -0.0792            0.7385            -0.1274                0.5179
traditional:regov                 0.4784             0.2128         0.2350            0.3967             0.2575                0.2319
unified                           0.4411             0.2169        -0.0423            0.8582             0.0675                0.7255
traditional:unified              -0.4471             0.2301         0.2676            0.3317             0.0315                0.8805
perdemstd                        -0.4528             0.0124        -0.2069            0.1791            -0.2986                0.0072
traditional:perdemstd             0.4036             0.0331         0.2827            0.1062             0.2571                0.0316
incpcadjstd                      -0.2614             0.6907        -0.5075            0.1157            -0.3875                0.1591
traditional:incpcadjstd           0.5856             0.3931         0.2356            0.5253             0.3961                0.1911
exppcadjstd                      -0.5365             0.4811        -0.5456            0.0489            -0.5664                0.0232
traditional:exppcadjstd          -0.0927             0.9067         0.7053            0.0160             0.5503                0.0374
logpopstd                        -0.6965             0.0021        -0.3529            0.0675            -0.3845                0.0064
traditional:logpopstd             0.5891             0.0136         0.3439            0.1146             0.2870                0.0586
collegstd                        -1.1965             0.0952         0.4128            0.1473             0.3446                0.1045
traditional:collegstd             1.4225             0.0566        -0.0445            0.8939            -0.5904                0.0126
perurbanstd                       0.5481             0.0196         0.0798            0.5726             0.1349                0.2260
traditional:perurbanstd          -0.5951             0.0161         0.0295            0.8574             0.0065                0.9577
profstd                          -0.3115             0.1521        -0.0195            0.8862            -0.0740                0.4928
traditional:profstd               0.1813             0.4243         0.0299            0.8476            -0.0473                0.6882
