Sample Sizes:
First_50%: n = 107129
Last_50%: n = 192470
Full_Dataset: n = 299599

================================================================================
Coefficients and P-Values Comparison
================================================================================
                      First_50%_Coef  First_50%_P_Value  Last_50%_Coef  Last_50%_P_Value  Full_Dataset_Coef  Full_Dataset_P_Value
neighbor_prop                 2.4796             0.0000         2.1257            0.0000             2.2118                0.0000
ideology_relative_hm         -0.0099             0.0000        -0.0175            0.0000            -0.0159                0.0000
congress_majortopic           0.0148             0.1351         0.0199            0.0000             0.0157                0.0002
init_avail                    0.0807             0.2148         0.0348            0.4012             0.0470                0.1746
init_qual                    -0.0831             0.0000        -0.0314            0.0077            -0.0459                0.0000
divided_gov                  -0.0470             0.2124        -0.0865            0.0003            -0.0717                0.0004
legprof_squire                0.0162             0.0000         0.0110            0.0000             0.0134                0.0000
percap_log                    0.2448             0.0485        -0.3612            0.0000            -0.3127                0.0000
population_log               -0.2069             0.0000        -0.1756            0.0000            -0.2020                0.0000
mip                           0.0013             0.7006         0.0024            0.1574             0.0041                0.0053
complexity_topic             -0.1907             0.0046         0.0993            0.0116             0.0783                0.0162
mip_complexity_topic         -0.0096             0.0285        -0.0031            0.2587            -0.0083                0.0001
nyt                          -0.0044             0.4280         0.0131            0.0000             0.0113                0.0000
year_count                   -0.0331             0.0024         0.0282            0.0000             0.0331                0.0000
time_log                     -0.5297             0.0000        -0.4983            0.0000            -0.5148                0.0000
