feature,rf_importance,xgb_importance
policycongruent,0.02255350783705448,0.05816169
gub_election,0.004613499439898657,0.034608573
elect2,0.0069012148281374945,0.031396195
hvd_4yr,0.04991187728746934,0.034781266
fedcrime,0.03843398765639492,0.044188656
leg_dem_per_2pty,0.043701320514898334,0.03471421
dem_governor,0.004819344088951326,0.030721959
insession,0.0063680264292004475,0.08419262
propneighpol,0.15449391244802468,0.22593889
citidist,0.12359424611741444,0.059071902
squire_prof86,0.028830305715276058,0.040520553
citi6008,0.055521816893034356,0.03888928
crimespendpc,0.053566708299276095,0.041264746
crimespendpcsq,0.05163802608643261,0.0
violentthousand,0.04641124767977064,0.034414645
pctwhite,0.03627488872660974,0.039114334
stateincpercap,0.06545429618683828,0.048658185
logpop,0.05754133852371083,0.04269629
counter,0.049900881217474304,0.07666594
counter2,0.04888007184284416,0.0
counter3,0.05058948218128884,0.0
