feature,rf_importance,xgb_importance
adagovideology,0.07133173895372542,0.057488497
citizenideology,0.10527701795199337,0.07378094
medianivoteshare,0.050837093317893024,0.05906379
partydecline,0.003323734728071372,0.033002753
squirescore,0.045585834848931424,0.054284215
incunemp,0.04946479250934364,0.05559563
pctpercapincome,0.05588645736503463,0.049389616
percenturban,0.04165513777579637,0.044168387
ugovd,0.0034425144169100163,0.043271463
percentfossilprod,0.0446108365355119,0.0678051
renergyprice11,0.07650247931356993,0.06341415
deregulated,0.01141956624056651,0.05791023
geoneighborlag,0.05428963523847172,0.064708956
ideoneighborlag,0.041501106103518856,0.048197266
premulation1,0.06985351320788946,0.107994385
year,0.04222910895006995,0.05738206
featureyear,0.23278943254270235,0.06254255
