feature,rf_importance,xgb_importance
gunhomicideslag1,0.1874067482896624,0.074419245
citizenideologylag1,0.25632857957112515,0.07533147
numregdvgunlawenactlag1,0.05202297148967449,0.07840247
vawa1994,0.015911626241019997,0.09890357
vawa1995,0.03290542000225821,0.25709325
lautenbergamdt1996,0.051126773942430884,0.1263451
Lautenbergamndt1997,0.0007295014033711043,0.057952125
legislature_election_year,0.020806738993384692,0.09080973
femleg,0.1727926057214976,0.07550786
innovation_index,0.20996903434557548,0.06523522
