fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,aborpreroe,AK,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986]","[0.0415543 0.0415543 0.0415543 0.0415543 0.0415543 0.0415543 0.0415543
 0.0415543 0.0415543 0.0415543 0.0415543 0.0415543 0.0415543 0.0415543
 0.0415543 0.0415543 0.0415543]","[0.0415543  0.08138183 0.11955437 0.15614067 0.19120665 0.22481549
 0.25702773 0.28790142 0.31749218 0.34585331 0.37303592 0.39908897
 0.4240594  0.44799221 0.47093051 0.49291562 0.51398715]",1970.0,1986.0,17
1,aborpreroe,AL,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984]","[0.15771519 0.07071243 0.03416076 0.03416076 0.03416076 0.03416076
 0.03416076 0.03416076 0.03416076 0.03416076 0.03416076 0.03416076
 0.03416076 0.03416076 0.03416076]","[0.15771519 0.21727519 0.24401366 0.26983873 0.29478159 0.31887238
 0.34214022 0.36461321 0.3863185  0.40728232 0.42753001 0.44708602
 0.46597398 0.48421671 0.50183626]",,1984.0,15
1,aborpreroe,AZ,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981],"[0.08076411 0.08635448 0.05436567 0.05436567 0.05436567 0.05436567
 0.05436567 0.05436567 0.05436567 0.05436567 0.05436567 0.05436567]","[0.08076411 0.16014425 0.20580357 0.24898059 0.28981027 0.32842021
 0.36493109 0.39945704 0.43210596 0.4629799  0.49217536 0.51978358]",,1981.0,12
1,aborpreroe,CT,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981],"[0.05991114 0.13007439 0.04961168 0.04961168 0.04961168 0.04961168
 0.04961168 0.04961168 0.04961168 0.04961168 0.04961168 0.04961168]","[0.05991114 0.18219262 0.22276543 0.26132534 0.29797224 0.33280102
 0.36590188 0.39736056 0.42725851 0.45567318 0.48267815 0.50834336]",,1981.0,12
1,aborpreroe,FL,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984]","[0.05908026 0.07531706 0.04381479 0.04381479 0.04381479 0.04381479
 0.04381479 0.04381479 0.04381479 0.04381479 0.04381479 0.04381479
 0.04381479 0.04381479 0.04381479]","[0.05908026 0.12994757 0.16806873 0.20451963 0.23937344 0.27270013
 0.30456662 0.33503689 0.36417211 0.39203078 0.41866883 0.44413973
 0.46849463 0.49178243 0.51404988]",1972.0,1984.0,15
1,aborpreroe,HI,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989]","[0.03065626 0.03065626 0.03065626 0.03065626 0.03065626 0.03065626
 0.03065626 0.03065626 0.03065626 0.03065626 0.03065626 0.03065626
 0.03065626 0.03065626 0.03065626 0.03065626 0.03065626 0.03065626
 0.03065626 0.03065626]","[0.03065626 0.06037271 0.08917817 0.11710056 0.14416696 0.1704036
 0.19583592 0.22048859 0.24438549 0.26754981 0.29000399 0.31176981
 0.33286838 0.35332014 0.37314492 0.39236196 0.41098987 0.42904671
 0.44655001 0.46351671]",1970.0,,20
1,aborpreroe,IA,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989 1990 1991]","[0.05812887 0.03445584 0.01944838 0.01944838 0.01944838 0.01944838
 0.01944838 0.01944838 0.01944838 0.01944838 0.01944838 0.01944838
 0.01944838 0.01944838 0.01944838 0.01944838 0.01944838 0.01944838
 0.01944838 0.01944838 0.01944838 0.01944838]","[0.05812887 0.09058183 0.10826854 0.12561126 0.14261671 0.15929142
 0.17564183 0.19167426 0.20739489 0.22280977 0.23792486 0.25274598
 0.26727886 0.28152909 0.29550219 0.30920352 0.32263839 0.33581198
 0.34872936 0.36139551 0.37381533 0.38599361]",,,22
1,aborpreroe,ID,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989]","[0.02335419 0.08776791 0.03313961 0.03313961 0.03313961 0.03313961
 0.03313961 0.03313961 0.03313961 0.03313961 0.03313961 0.03313961
 0.03313961 0.03313961 0.03313961 0.03313961 0.03313961 0.03313961
 0.03313961 0.03313961]","[0.02335419 0.10907235 0.13859734 0.16714389 0.19474441 0.22143026
 0.24723176 0.2721782  0.29629793 0.31961834 0.34216592 0.36396628
 0.38504418 0.40542358 0.42512761 0.44417865 0.46259835 0.48040763
 0.49762672 0.51427517]",,1989.0,20
1,aborpreroe,IL,[1970 1971 1972 1973 1974 1975 1976 1977 1978],"[0.0466005  0.21619786 0.05695402 0.05695402 0.05695402 0.05695402
 0.05695402 0.05695402 0.05695402]","[0.0466005  0.25272343 0.29528384 0.33542026 0.37327074 0.4089655
 0.44262729 0.4743719  0.50430854]",,1978.0,9
1,aborpreroe,IN,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989 1990 1991]","[0.02475017 0.04253115 0.02630508 0.02630508 0.02630508 0.02630508
 0.02630508 0.02630508 0.02630508 0.02630508 0.02630508 0.02630508
 0.02630508 0.02630508 0.02630508 0.02630508 0.02630508 0.02630508
 0.02630508 0.02630508 0.02630508 0.02630508]","[0.02475017 0.06622866 0.0907916  0.1147084  0.13799607 0.16067115
 0.18274977 0.2042476  0.22517993 0.24556164 0.2654072  0.28473073
 0.30354594 0.32186623 0.33970459 0.35707372 0.37398594 0.3904533
 0.40648747 0.42209987 0.43730158 0.45210341]",,,22
1,aborpreroe,KY,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985]","[0.04524344 0.06880778 0.04033763 0.04033763 0.04033763 0.04033763
 0.04033763 0.04033763 0.04033763 0.04033763 0.04033763 0.04033763
 0.04033763 0.04033763 0.04033763 0.04033763]","[0.04524344 0.11093812 0.14680077 0.1812168  0.21424458 0.24594009
 0.27635708 0.30554712 0.3335597  0.36044232 0.38624056 0.41099816
 0.4347571  0.45755766 0.4794385  0.50043671]",,1985.0,16
