fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,arbitration act (2000),AL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.]","[0.03960019 0.04176153 0.03557015 0.04008757 0.04694764 0.05776716
 0.03944262 0.02975044 0.03918823 0.02443044 0.04334804 0.03941649
 0.04514753 0.02348843 0.02348843 0.02348843 0.02348843 0.02348843
 0.02348843 0.02348843]","[0.03960019 0.07970796 0.11244289 0.14802289 0.1880212  0.23492691
 0.2651034  0.28696689 0.3149094  0.33164646 0.36061827 0.38582046
 0.41354915 0.42732396 0.44077522 0.45391053 0.46673731 0.47926281
 0.49149411 0.50343811]",,2020.0,20
1,arbitration act (2000),AK,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.04197677 0.06586013 0.045577   0.03322986 0.05793274 0.06025045
 0.06103522 0.04824057 0.06610453 0.04174678 0.06943712 0.03607725
 0.08213127]","[0.04197677 0.10507231 0.14586042 0.17424336 0.22208171 0.26895164
 0.31357133 0.34668504 0.38987212 0.41534299 0.45593989 0.47556808
 0.51864034]",2004.0,2013.0,13
1,arbitration act (2000),AZ,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017.]","[0.0421556  0.09395368 0.04336937 0.039984   0.06901247 0.07211218
 0.04110552 0.03088243 0.03930237 0.02331438 0.03927979 0.02009561
 0.04673763 0.02433513 0.02433513 0.02433513 0.02433513]","[0.0421556  0.1321486  0.16978677 0.20298202 0.2579862  0.31149443
 0.33979581 0.36018452 0.38533078 0.39966141 0.42324259 0.43483288
 0.46124745 0.47435806 0.48714963 0.49962991 0.51180648]",2010.0,2017.0,17
1,arbitration act (2000),AR,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017.]","[0.04471863 0.05421556 0.03579761 0.03965059 0.05644963 0.07322352
 0.0414136  0.03129614 0.04133767 0.0249278  0.0482217  0.02478296
 0.05727608 0.02998111 0.02998111 0.02998111 0.02998111]","[0.04471863 0.09650975 0.12885254 0.16339405 0.21062014 0.26842131
 0.29871862 0.32066602 0.3487481  0.36498238 0.39560401 0.41058274
 0.44434225 0.46100148 0.47716126 0.49283654 0.50804187]",2011.0,2017.0,17
1,arbitration act (2000),CA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.06208758 0.09173887 0.0524141  0.0852464  0.08529161 0.0839612
 0.06331942 0.04812933 0.06345297 0.03998173 0.0799757  0.0344752
 0.07463572]","[0.06208758 0.14813061 0.19278057 0.26159313 0.32457304 0.38128269
 0.42045952 0.44835241 0.48335609 0.5040124  0.54367936 0.5594111
 0.59229477]",,2010.0,13
1,arbitration act (2000),CO,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.],"[0.04993843 0.13043702 0.04417349 0.06619363 0.11254875 0.11678062
 0.11820908 0.09463719]","[0.04993843 0.17386163 0.21035504 0.26262451 0.34561519 0.42203466
 0.49035541 0.53858674]",2004.0,2008.0,8
1,arbitration act (2000),CT,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018.]","[0.04434847 0.04936414 0.03507767 0.07400251 0.04972534 0.04779675
 0.04325593 0.03258002 0.04272802 0.02592098 0.04906962 0.0221402
 0.04819366 0.02511163 0.02511163 0.02511163 0.02511163 0.02511163]","[0.04434847 0.09152339 0.12339063 0.18826192 0.22862587 0.26549505
 0.29726674 0.32016181 0.34920994 0.36607906 0.39718533 0.41053177
 0.4389404  0.45302952 0.46676484 0.48015525 0.4932094  0.50593574]",,2018.0,18
1,arbitration act (2000),DE,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021.]","[0.04080053 0.05389104 0.03178386 0.06985974 0.04344876 0.04787266
 0.03883411 0.02930593 0.03753869 0.02252574 0.03984045 0.02008135
 0.04289056 0.02228894 0.02228894 0.02228894 0.02228894 0.02228894
 0.02228894 0.02228894 0.02228894]","[0.04080053 0.09249278 0.12133687 0.18272004 0.21822985 0.25565527
 0.28456123 0.30552783 0.3315974  0.34665366 0.37268327 0.38528064
 0.4116463  0.42476008 0.43758157 0.45011728 0.46237358 0.4743567
 0.48607273 0.49752763 0.5087272 ]",,2021.0,21
1,arbitration act (2000),FL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.05387044 0.08142597 0.0440468  0.05489677 0.0665679  0.07352958
 0.05351361 0.04037704 0.05300682 0.03266787 0.07059418 0.03441185
 0.06237409]","[0.05387044 0.13090996 0.16919059 0.21479935 0.26706851 0.32096065
 0.3572985  0.38324888 0.4159409  0.43502086 0.47490511 0.49297459
 0.52459984]",2013.0,2013.0,13
1,arbitration act (2000),GA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018.]","[0.04371608 0.05046768 0.03661113 0.04892643 0.04709029 0.05816296
 0.041935   0.03163261 0.04185794 0.0253623  0.04879256 0.03013739
 0.0486417  0.0253508  0.0253508  0.0253508  0.0253508  0.0253508 ]","[0.04371608 0.09197751 0.12522124 0.16802104 0.20719917 0.25331081
 0.28462323 0.30725246 0.33624945 0.35308369 0.38464839 0.40319348
 0.43222316 0.44661676 0.46064547 0.47431854 0.48764499 0.5006336 ]",,2018.0,18
