fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,arbitration act (2000),AL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07710743 0.07481405 0.07270623 0.0830534  0.08351933 0.09737515
 0.07749678 0.06755749 0.07718389 0.06030364 0.08286167 0.08524976
 0.08347947]","[0.07710743 0.14615276 0.20823277 0.27399173 0.33462746 0.39941821
 0.44596137 0.48339082 0.52326473 0.5520136  0.5891345  0.62416068
 0.65553555]",,2009.0,13
1,arbitration act (2000),AK,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.],"[0.079953   0.10083387 0.08810756 0.07567415 0.09669078 0.09931423
 0.10112342 0.09010324]","[0.079953   0.1727249  0.24561409 0.3027016  0.37012393 0.43267959
 0.49004897 0.53599721]",2004.0,2008.0,8
1,arbitration act (2000),AZ,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010.],"[0.08157557 0.12964243 0.08548315 0.08539834 0.11051256 0.11547988
 0.08162053 0.0710621  0.08089753 0.06255776]","[0.08157557 0.20064234 0.26897395 0.33140236 0.4052908  0.47396775
 0.51690278 0.55123268 0.58753685 0.61333962]",2010.0,2007.0,10
1,arbitration act (2000),AR,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011.],"[0.0814519  0.08665502 0.07232255 0.0816337  0.09334733 0.11261936
 0.08033799 0.07009775 0.08031712 0.0621859  0.08865665]","[0.0814519  0.1610487  0.22172379 0.28525735 0.35197667 0.42495665
 0.47115447 0.50822535 0.54772328 0.57584851 0.61345236]",2011.0,2008.0,11
1,arbitration act (2000),CA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.09639788 0.11715454 0.08841242 0.12617444 0.11470934 0.11523186
 0.09760674 0.0854268  0.0981364  0.07721054 0.11430679 0.07158083
 0.10663246]","[0.09639788 0.20225897 0.27278919 0.3645446  0.43743727 0.50226242
 0.55084496 0.58921484 0.62952782 0.65813217 0.69720999 0.71888395
 0.74886004]",,2006.0,13
1,arbitration act (2000),CO,[2001. 2002. 2003. 2004. 2005. 2006.],[0.08365369 0.1490092  0.08085042 0.11127622 0.14067563 0.14430184],[0.08365369 0.22019772 0.28324506 0.36300284 0.45261282 0.53160179],2004.0,2006.0,6
1,arbitration act (2000),CT,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08078903 0.08139467 0.07139285 0.12266123 0.08582359 0.08487882
 0.08108086 0.0707723  0.0809115  0.06282547 0.08974784 0.05813159
 0.08727084]","[0.08078903 0.1556079  0.21589146 0.31207117 0.3711117  0.42449099
 0.47115376 0.50858143 0.54834284 0.57671841 0.61470702 0.63710471
 0.66877489]",,2008.0,13
1,arbitration act (2000),DE,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07800671 0.0877027  0.06803469 0.1202326  0.07998908 0.08680183
 0.07746323 0.06768481 0.07725423 0.05982116 0.08043958 0.05617452
 0.08280371]","[0.07800671 0.15886801 0.21609417 0.3103452  0.36551006 0.42058494
 0.4654683  0.50164798 0.54014778 0.56765668 0.60243419 0.62476726
 0.65583792]",,2008.0,13
1,arbitration act (2000),FL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08861211 0.1091417  0.07954357 0.09665269 0.09941643 0.1077455
 0.08930099 0.07794184 0.08933409 0.06974738 0.10704807 0.07300258
 0.09672765]","[0.08861211 0.18808254 0.25266535 0.32489726 0.39201356 0.45752136
 0.50596524 0.54447122 0.58516547 0.61409909 0.65540904 0.68056507
 0.71146326]",2013.0,2007.0,13
1,arbitration act (2000),GA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08017327 0.08257439 0.07226327 0.09219364 0.08282638 0.09668699
 0.07968623 0.06956396 0.07998079 0.06213504 0.08829623 0.07045907
 0.08641942]","[0.08017327 0.1561274  0.21710839 0.28928602 0.34815189 0.41117712
 0.4580982  0.49579504 0.53612175 0.56494484 0.60335857 0.63130556
 0.66316792]",,2009.0,13
1,arbitration act (2000),HI,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009.],"[0.07683892 0.07520287 0.06972334 0.06312503 0.08096172 0.08319771
 0.08474093 0.07535641 0.08849057]","[0.07683892 0.14626328 0.20578865 0.25592327 0.316165   0.37305851
 0.42618612 0.46942667 0.51637741]",2001.0,2009.0,9
1,arbitration act (2000),ID,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07955706 0.10787668 0.09244028 0.09881517 0.09405471 0.10611533
 0.0791108  0.06893748 0.07906886 0.06150051 0.09199979 0.06612692
 0.08559248]","[0.07955706 0.17885139 0.25475859 0.32839975 0.39156691 0.45613099
 0.4991569  0.53368376 0.57055486 0.59696595 0.634045   0.65824448
 0.68749618]",,2008.0,13
1,arbitration act (2000),IL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08763232 0.08689262 0.07854154 0.09474991 0.09469684 0.09638079
 0.08656039 0.07543564 0.0865394  0.0671371  0.12178599 0.06451011
 0.09287662]","[0.08763232 0.16691034 0.23234248 0.30507796 0.37088488 0.43151949
 0.48072739 0.51989905 0.5614467  0.59088989 0.64071378 0.66389137
 0.695108  ]",,2008.0,13
1,arbitration act (2000),IN,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07979558 0.07713059 0.07192105 0.07626024 0.08358042 0.08260485
 0.07898826 0.06877546 0.07910628 0.06089049 0.09658004 0.0586052
 0.0839568 ]","[0.07979558 0.15077149 0.2118489  0.27195349 0.33280392 0.38791755
 0.43626488 0.47503602 0.51656397 0.54600062 0.5898479  0.61388495
 0.64630193]",,2009.0,13
1,arbitration act (2000),IA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07761413 0.08041035 0.07013663 0.07941537 0.09301991 0.10039495
 0.07647907 0.0668264  0.0768684  0.0596987  0.10682546 0.0666373
 0.08369048]","[0.07761413 0.1517835  0.21127455 0.27391147 0.34145216 0.40756704
 0.45287576 0.48943811 0.52868418 0.55682112 0.60416391 0.63054136
 0.66146153]",,2009.0,13
1,arbitration act (2000),KS,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07685653 0.08141658 0.07310687 0.07548521 0.08588996 0.09945642
 0.07724102 0.06750099 0.07756895 0.06004287 0.09434003 0.07407192
 0.08287763]","[0.07685653 0.15201571 0.21400919 0.27333987 0.33575268 0.40181634
 0.44802066 0.48527981 0.52520612 0.55371411 0.59581673 0.62575536
 0.65677187]",,2009.0,13
1,arbitration act (2000),KY,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07678888 0.07887378 0.07183279 0.09228755 0.08314541 0.09157684
 0.07708433 0.06722241 0.07727247 0.06005229 0.08782599 0.06896518
 0.08351134]","[0.07678888 0.14960603 0.2106922  0.28353548 0.34310622 0.40326247
 0.44926159 0.48628355 0.52597969 0.55444569 0.59357694 0.62160598
 0.65320618]",,2009.0,13
1,arbitration act (2000),LA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.07759995 0.08398095 0.07070241 0.08157637 0.09120353 0.10858955
 0.07708015 0.0677835  0.07800677 0.06039029 0.09078961 0.07498488
 0.0833993 ]","[0.07759995 0.15506398 0.214803   0.27885652 0.34462735 0.41579397
 0.46082465 0.49737185 0.53658025 0.5645663  0.60409916 0.63378573
 0.66432775]",,2009.0,13
1,arbitration act (2000),ME,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08227744 0.08445314 0.07299661 0.10195425 0.09804994 0.08826022
 0.08092763 0.07098323 0.08151193 0.0631521  0.0867192  0.05937497
 0.0883378 ]","[0.08227744 0.159782   0.22111507 0.3005257  0.36910911 0.42479168
 0.47134192 0.50886778 0.54890091 0.57738877 0.61403727 0.6369538
 0.6690245 ]",,2008.0,13
1,arbitration act (2000),MD,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08002154 0.07814925 0.07056093 0.1070312  0.08556139 0.08797945
 0.07982982 0.06972807 0.07997552 0.06219767 0.09030179 0.05724468
 0.08617955]","[0.08002154 0.15191717 0.21175869 0.2961251  0.35634962 0.41297763
 0.45983952 0.49750387 0.53769125 0.56644578 0.6055965  0.62817401
 0.6602178 ]",,2009.0,13
1,arbitration act (2000),MA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.08554079 0.09449661 0.0754828  0.12103403 0.09541813 0.10063823
 0.08427019 0.0735901  0.08450887 0.06627404 0.09621479 0.06195717
 0.09236677]","[0.08554079 0.17195409 0.23445731 0.32711403 0.39131956 0.45257608
 0.49870759 0.53559775 0.57484386 0.60302068 0.64121596 0.6634452
 0.69453168]",,2008.0,13
