fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,arbitration act (2000),AL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.11929472 0.09861629 0.14356636 0.08136715 0.11971061 0.16055724
 0.05568564 0.0563007  0.11108387 0.0407247  0.2886326  0.2269426
 0.1607134 ]","[0.11929472 0.2061466  0.32011724 0.37543736 0.45020414 0.53847784
 0.564178   0.58871508 0.6344022  0.64929107 0.7505171  0.8071354
 0.83813132]",,2006.0,13
1,arbitration act (2000),AK,[2001. 2002. 2003. 2004. 2005. 2006.],[0.04871785 0.09500945 0.16734725 0.08461058 0.22902358 0.17914061],[0.04871785 0.13909864 0.28316811 0.34381968 0.49410044 0.5847276 ],2004.0,2006.0,6
1,arbitration act (2000),AZ,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010.],"[0.17611147 0.2652402  0.2717899  0.05341486 0.3201743  0.3809906
 0.06236263 0.04226527 0.07493987 0.02906844]","[0.17611147 0.39463983 0.55917061 0.58271745 0.7163206  0.82439978
 0.83535068 0.84230962 0.85412692 0.85836722]",2010.0,2003.0,10
1,arbitration act (2000),AR,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011.],"[0.12990737 0.05298695 0.12440211 0.07355022 0.23326345 0.15254223
 0.12944368 0.03855873 0.05324249 0.02141242 0.19954455]","[0.12990737 0.17601093 0.2785169  0.33158214 0.4874996  0.56567755
 0.62189785 0.63647699 0.65583186 0.66320133 0.73040767]",2011.0,2006.0,11
1,arbitration act (2000),CA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.31753674 0.4781159  0.16809006 0.08991157 0.34323096 0.12943977
 0.02922197 0.02558957 0.03372296 0.01226601 0.31071192 0.07164675
 0.05050528]","[0.31753674 0.64383327 0.70370135 0.73034203 0.822897   0.84582117
 0.85032658 0.85415666 0.85907492 0.86080351 0.90405352 0.91092777
 0.91542639]",,2002.0,13
1,arbitration act (2000),CO,[2001. 2002. 2003. 2004.],[0.24295907 0.28732944 0.21230188 0.22675537],[0.24295907 0.46047921 0.57502049 0.67138687],2004.0,2003.0,4
1,arbitration act (2000),CT,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.23768273 0.14235362 0.10296083 0.25719714 0.18384804 0.09995214
 0.03216751 0.02403734 0.04280438 0.03195322 0.25476053 0.03205571
 0.03221721]","[0.23768273 0.34620136 0.41351701 0.56435876 0.64445055 0.67998847
 0.69028245 0.69772723 0.71066583 0.71991099 0.79126661 0.79795771
 0.80446695]",,2004.0,13
1,arbitration act (2000),DE,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.20773731 0.20112114 0.12406547 0.20057523 0.1456544  0.1540413
 0.0700461  0.04463877 0.10820068 0.04955575 0.12289837 0.03689397
 0.09407266]","[0.20773731 0.36707808 0.44560184 0.55680038 0.62135435 0.67968142
 0.70211849 0.71541555 0.74620778 0.75878465 0.78842962 0.79623529
 0.81540398]",,2004.0,13
1,arbitration act (2000),FL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.20852755 0.23380674 0.19917668 0.09453112 0.24200325 0.17127986
 0.06481383 0.06044949 0.07186324 0.03454135 0.3433313  0.08108881
 0.07749491]","[0.20852755 0.39357915 0.51436404 0.56027175 0.66668742 0.72377715
 0.74168021 0.75729551 0.77473704 0.78251793 0.85718633 0.86876692
 0.87893682]",2013.0,2003.0,13
1,arbitration act (2000),GA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.1304821  0.05773674 0.0728587  0.11449104 0.11687409 0.11598995
 0.04434846 0.05640388 0.04617362 0.01986913 0.07925642 0.06597953
 0.06028742]","[0.13048211 0.18068523 0.24037944 0.32734919 0.40596464 0.47486677
 0.49815562 0.52646159 0.54832657 0.55730093 0.59238767 0.61928174
 0.64223426]",,2008.0,13
1,arbitration act (2000),HI,[2001. 2002. 2003. 2004. 2005.],[0.1485907  0.10018819 0.1408353  0.19734503 0.13812903],[0.1485907  0.23389185 0.34178692 0.47168201 0.54465806],2001.0,2005.0,5
1,arbitration act (2000),ID,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.23002715 0.2268     0.25495762 0.25085163 0.2323462  0.24393857
 0.08838686 0.14862992 0.0733201  0.02197556 0.18733482 0.05343533
 0.05129727]","[0.23002715 0.40465699 0.55644423 0.66771092 0.74491702 0.8071416
 0.82418775 0.85031871 0.86129336 0.86434151 0.88975507 0.89564604
 0.90099912]",,2003.0,13
1,arbitration act (2000),IL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.19024858 0.09678894 0.21166006 0.1501273  0.3130322  0.17860416
 0.06816483 0.08660275 0.07568634 0.03416596 0.3882839  0.11852739
 0.09721435]","[0.19024858 0.26862356 0.42342674 0.50998613 0.66337626 0.72349866
 0.74234632 0.76465984 0.78247187 0.78990393 0.87148085 0.88671389
 0.89772693]",,2004.0,13
1,arbitration act (2000),IN,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.20835282 0.03765414 0.13738233 0.08196583 0.21839537 0.08252542
 0.10772197 0.04639804 0.10950875 0.04681344 0.34560215 0.1484085
 0.11555196]","[0.20835282 0.23816161 0.34282474 0.39669066 0.52845063 0.56736544
 0.61396968 0.63188073 0.67219301 0.68753878 0.79552605 0.82587173
 0.84599259]",,2005.0,13
1,arbitration act (2000),IA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.163951   0.10462062 0.1101332  0.07191567 0.30120492 0.15401125
 0.08585694 0.06492972 0.12322011 0.05763268 0.16091599 0.10514073
 0.05853121]","[0.16395099 0.25141896 0.33386259 0.38176831 0.56798273 0.63451825
 0.6658974  0.68759059 0.72608571 0.74187212 0.78340902 0.80618156
 0.81752599]",,2005.0,13
1,arbitration act (2000),KS,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.18680638 0.12220016 0.13556607 0.08308    0.1561129  0.2078633
 0.07403515 0.04592644 0.06551664 0.058635   0.22595641 0.08262172
 0.07427263]","[0.18680638 0.28617877 0.38294871 0.43421333 0.52253993 0.62178635
 0.64978746 0.66587147 0.68776245 0.7060705  0.77248576 0.79128338
 0.80678531]",,2005.0,13
1,arbitration act (2000),KY,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.17697917 0.13841811 0.16201998 0.20268695 0.14392258 0.18178388
 0.05202765 0.06142862 0.0552819  0.03056934 0.14640263 0.13699025
 0.08052323]","[0.17697917 0.29090016 0.4057885  0.52622742 0.59441399 0.66814299
 0.68540873 0.70473364 0.72105653 0.72958364 0.76917331 0.80079431
 0.816835  ]",,2004.0,13
1,arbitration act (2000),LA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.12439866 0.08617701 0.09950488 0.05789402 0.20700951 0.20977941
 0.05887448 0.05592668 0.05035573 0.01989221 0.15852416 0.12085245
 0.0548052 ]","[0.12439866 0.19985537 0.27947366 0.32118783 0.46170841 0.5746309
 0.59967429 0.62206317 0.64109446 0.64823388 0.70399731 0.73976996
 0.75403192]",,2006.0,13
