fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,7.0,AL,"[1951. 1952. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962. 1963.
 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974. 1975.
 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986. 1987.
 1988. 1989. 1990.]","[0.02675805 0.02604298 0.02633949 0.0270728  0.02743814 0.02656715
 0.02878282 0.02491959 0.02404246 0.02408607 0.0234161  0.02277412
 0.02139982 0.02172836 0.01737038 0.01752372 0.01648423 0.0167723
 0.01773479 0.015952   0.01290688 0.0155416  0.01430502 0.01324199
 0.01297044 0.01310787 0.01280116 0.01226426 0.01207085 0.01161734
 0.01161734 0.01161734 0.01161734 0.01161734 0.01161734 0.01161734
 0.01161734 0.01161734 0.01161734]","[0.02675805 0.05210418 0.07707127 0.10205754 0.12669541 0.14989663
 0.174365   0.19493949 0.21429512 0.23321967 0.25117467 0.26822851
 0.28388829 0.29944822 0.31161707 0.3236801  0.33482871 0.34598517
 0.35758399 0.36783181 0.37599113 0.38568922 0.39447695 0.40249528
 0.41024518 0.41797561 0.42542619 0.43247292 0.43932345 0.44583702
 0.45227492 0.45863803 0.46492722 0.47114334 0.47728725 0.48335978
 0.48936177 0.49529403 0.50115737]",1981.0,1990.0,39
1,7.0,AR,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.]","[0.02585849 0.02525768 0.02455215 0.02566869 0.02624289 0.02652936
 0.02548991 0.02773718 0.02417919 0.02321307 0.02358342 0.02285073
 0.02220327 0.0208757  0.02116477 0.01712617 0.02032655 0.01907938
 0.01941436 0.02059068 0.02011394 0.01627707 0.01627707 0.01627707
 0.01627707 0.01627707 0.01627707 0.01627707 0.01627707 0.01627707
 0.01627707 0.01627707 0.01627707 0.01627707]","[0.02585849 0.05046305 0.07377622 0.09755117 0.12123404 0.14454713
 0.16635255 0.18947558 0.20907341 0.22743324 0.24565301 0.26289039
 0.27925664 0.29430266 0.30923858 0.32106868 0.33486901 0.34755929
 0.36022601 0.37339939 0.38600279 0.39599687 0.40582828 0.41549965
 0.42501361 0.43437271 0.44357946 0.45263636 0.46154584 0.4703103
 0.4789321  0.48741356 0.49575697 0.50396457]",1972.0,1984.0,34
1,7.0,AZ,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970.]","[0.04973148 0.04858145 0.04678052 0.04856661 0.04215506 0.04281183
 0.04121197 0.04427126 0.04519629 0.04404892 0.04408914 0.04262397
 0.05195282 0.04871622 0.041938   0.03378677 0.04536816 0.04332596
 0.05635296 0.04737451]","[0.04973148 0.0958969  0.13819131 0.18004644 0.21461163 0.24823554
 0.27921724 0.3111272  0.3422617  0.37123436 0.3989561  0.42457498
 0.45446993 0.4810461  0.50280999 0.51960843 0.54140291 0.56127207
 0.58599569 0.60560894]",1970.0,1965.0,20
1,7.0,CA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[0.05731626 0.05598872 0.05407838 0.05574318 0.05730012 0.05803249
 0.04927835 0.05260766 0.0393895  0.03815091 0.0382199  0.03727979
 0.03614974 0.03614974 0.03614974]","[0.05731626 0.11009592 0.15822048 0.20514395 0.25068931 0.29417367
 0.32895563 0.3642577  0.38929927 0.41259806 0.43504851 0.45610978
 0.47577127 0.49472201 0.51298768]",1963.0,1965.0,15
1,7.0,CO,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.05749582 0.05600264 0.05327468 0.05487944 0.03716925 0.03761024
 0.04177995 0.04511906 0.03940771 0.03829341 0.03851306 0.03720712
 0.04776876 0.04471913 0.04009026 0.03229812 0.03701374 0.03474848
 0.04481046]","[0.05749582 0.11027854 0.15767817 0.20390432 0.2334946  0.26232305
 0.29314316 0.32503588 0.35163466 0.37646278 0.40047711 0.42278363
 0.45035654 0.47493611 0.49598606 0.51226477 0.53031767 0.54663842
 0.56695376]",1969.0,1966.0,19
1,7.0,CT,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967.]","[0.04437174 0.04338187 0.0478916  0.04908726 0.03319361 0.03410926
 0.04165175 0.04165175 0.04165175 0.04165175 0.04165175 0.04165175
 0.04165175 0.04165175 0.04165175 0.04165175 0.04165175]","[0.04437174 0.08582868 0.12960981 0.17233487 0.19980806 0.22710202
 0.25929457 0.29014625 0.31971291 0.34804806 0.375203   0.40122689
 0.42616684 0.45006799 0.47297362 0.4949252  0.51596245]",1957.0,1967.0,17
1,7.0,DE,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.03452383 0.03353457 0.049303   0.05069867 0.04622492 0.04776397
 0.04437234 0.05983806 0.05180697 0.05027277 0.04286891 0.04183367
 0.0406573  0.03834233 0.0501005  0.04010507 0.0354748  0.03350824
 0.05129667]","[0.03452383 0.06690066 0.11290526 0.15787978 0.19680672 0.23517042
 0.26910769 0.31284287 0.3484424  0.38119801 0.40772538 0.4325024
 0.45557532 0.47644983 0.50267995 0.52262501 0.53955979 0.55498833
 0.57781595]",1969.0,1965.0,19
1,7.0,FL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982.]","[0.03101845 0.03016246 0.03739829 0.03050703 0.03108808 0.03153981
 0.03022694 0.03259401 0.0284378  0.02729998 0.02729532 0.0265049
 0.02572146 0.02424956 0.02465228 0.01987286 0.02378629 0.02266224
 0.02335245 0.01953911 0.01491672 0.01212393 0.01143234 0.01143234
 0.01143234 0.01143234 0.01143234 0.01143234 0.01143234 0.01143234
 0.01143234 0.01143234]","[0.03101845 0.06024532 0.09539053 0.12298748 0.15025212 0.17705301
 0.20192818 0.22794054 0.24989621 0.27037403 0.29028941 0.30910021
 0.32687116 0.34319424 0.359386   0.37211683 0.38705184 0.40094262
 0.41493208 0.42636379 0.43492056 0.44177154 0.4481534  0.4544623
 0.46069908 0.46686455 0.47295954 0.47898485 0.48494127 0.4908296
 0.49665061 0.50240508]",1973.0,1982.0,32
1,7.0,GA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.02740087 0.02666188 0.03293089 0.02684226 0.02750709 0.0278546
 0.02675779 0.02902396 0.02519373 0.0243504  0.02446691 0.03030516
 0.0295597  0.02778195 0.03601778 0.02914889 0.02962031 0.02786302
 0.02831323 0.02986915 0.02690668 0.0219028  0.02629793 0.02405244
 0.02196645 0.02151045 0.02175131 0.02131269 0.02037959 0.02005542
 0.02469251 0.02288843 0.02336838 0.02422254 0.02463747 0.02521031
 0.02542907 0.02581804 0.02592856 0.02586829 0.0256496  0.02601422
 0.02606453 0.02644783 0.02671842 0.02720792 0.02743853 0.02822982
 0.02857661 0.02918782 0.0291036  0.02879819 0.03364439 0.03384272
 0.03896201]","[0.02740087 0.05333219 0.08450681 0.10908071 0.13358731 0.15772089
 0.18025842 0.20405057 0.2241035  0.24299689 0.26151842 0.28389823
 0.30506598 0.3243726  0.3487072  0.36769166 0.38642083 0.403517
 0.42040536 0.43771736 0.45284652 0.46483072 0.47890456 0.49143818
 0.50260948 0.51330858 0.52389475 0.53404183 0.54353787 0.55269241
 0.56373756 0.57372292 0.58368432 0.59376855 0.60377706 0.61376597
 0.62358754 0.63330577 0.64281363 0.65205343 0.66097812 0.66979751
 0.67840408 0.68690959 0.69527487 0.70356581 0.71169953 0.7198382
 0.72784427 0.73578791 0.74347743 0.75086481 0.75924682 0.76739456
 0.77645733]",,1975.0,55
1,7.0,IA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968.]","[0.05074187 0.04945602 0.0470168  0.04992671 0.04905846 0.04959282
 0.0323111  0.0349111  0.03006622 0.02897333 0.04451059 0.04344366
 0.02812425 0.02638096 0.03116984 0.03116984 0.03116984 0.03116984]","[0.05074187 0.0976884  0.14011221 0.18304357 0.2231222  0.26164976
 0.28550667 0.31045042 0.33118256 0.35056043 0.37946737 0.40642558
 0.42311942 0.43833808 0.455845   0.47280622 0.48923877 0.50515912]",1965.0,1968.0,18
