fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,7.0,AL,"[1951. 1952. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962. 1963.
 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974. 1975.
 1976. 1977. 1978. 1979. 1980. 1981.]","[0.05013153 0.0310778  0.07791155 0.15161467 0.00709311 0.00773658
 0.01043104 0.01073482 0.01011005 0.00985802 0.00883164 0.00303008
 0.00252736 0.01028884 0.15327924 0.11831872 0.11556222 0.01539229
 0.02184917 0.04478992 0.00495925 0.00650168 0.00093186 0.00099422
 0.00344614 0.00491421 0.00081051 0.00309973 0.00217439 0.00072211]","[0.05013153 0.07965135 0.15135714 0.28002385 0.28513071 0.29066135
 0.2980605  0.30559569 0.31261615 0.3193924  0.32540328 0.32744736
 0.32914714 0.33604944 0.43781928 0.50433578 0.56161584 0.56836358
 0.57779448 0.59670503 0.59870507 0.60131416 0.60168568 0.60208169
 0.60345297 0.60540169 0.60572151 0.60694367 0.60779833 0.60808154]",1981.0,1967.0,30
1,7.0,AR,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991.]","[0.0019076  0.00220798 0.0032183  0.00504604 0.00298156 0.00720491
 0.00712852 0.00115111 0.00996162 0.0034523  0.00168168 0.00255
 0.00330787 0.00407707 0.00297334 0.00171364 0.01033119 0.00520474
 0.00973701 0.02347216 0.00034901 0.00022394 0.00022394 0.00022394
 0.00022394 0.00022394 0.00022394 0.00022394 0.00022394 0.00022394
 0.00022394 0.00022394 0.00022394 0.00022394 0.00022394 0.00022394
 0.00022394 0.00022394 0.00022394 0.00022394 0.00022394]","[0.0019076  0.00411137 0.00731644 0.01232556 0.01527037 0.02236526
 0.02933435 0.03045169 0.04010996 0.04342379 0.04503244 0.0474676
 0.05061846 0.05448916 0.05730048 0.05891593 0.06863846 0.07348595
 0.08250743 0.10404296 0.10435566 0.10455623 0.10475675 0.10495723
 0.10515767 0.10535806 0.10555841 0.10575871 0.10595897 0.10615918
 0.10635935 0.10655947 0.10675955 0.10695958 0.10715957 0.10735951
 0.10755941 0.10775927 0.10795907 0.10815884 0.10835856]",1972.0,,41
1,7.0,AZ,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989.]","[0.01529261 0.00751357 0.01831842 0.01842474 0.02112521 0.01826589
 0.00562351 0.00204942 0.00042753 0.00055078 0.00091641 0.00406746
 0.15297174 0.13176474 0.07231876 0.01874968 0.0025384  0.00173219
 0.00201533 0.00237118 0.00237118 0.00237118 0.00237118 0.00237118
 0.00237118 0.00237118 0.00237118 0.00237118 0.00237118 0.00237118
 0.00237118 0.00237118 0.00237118 0.00237118 0.00237118 0.00237118
 0.00237118 0.00237118 0.00237118]","[0.01529261 0.02269127 0.04059403 0.05827083 0.07816506 0.0950032
 0.10009246 0.10193674 0.10232069 0.10281512 0.10363731 0.10728323
 0.24384367 0.34347841 0.39095724 0.40237659 0.4038936  0.40492618
 0.40612545 0.40753363 0.40893847 0.41033998 0.41173817 0.41313304
 0.41452461 0.41591287 0.41729785 0.41867954 0.42005795 0.42143309
 0.42280498 0.42417361 0.425539   0.42690114 0.42826006 0.42961576
 0.43096824 0.43231752 0.43366359]",1970.0,,39
1,7.0,CA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963.]","[0.00958085 0.03074055 0.08320011 0.02174186 0.0023759  0.00364417
 0.00925153 0.00982957 0.02614414 0.0529821  0.34885082 0.25568295
 0.37312874]","[0.00958085 0.04002689 0.11989676 0.13903184 0.14107742 0.14420747
 0.15212487 0.16045912 0.18240819 0.22572592 0.49583206 0.62473921
 0.76475979]",1963.0,1962.0,13
1,7.0,CO,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971.]","[0.00538632 0.00634407 0.02721094 0.0133049  0.00375776 0.00645484
 0.00125015 0.00207022 0.00301858 0.00196917 0.00114497 0.00069922
 0.00590533 0.01055802 0.06828354 0.01700421 0.00375566 0.00832858
 0.17817667 0.17817667 0.17817667]","[0.00538632 0.01169622 0.03858889 0.05138037 0.05494505 0.06104523
 0.06221907 0.06416048 0.06698538 0.06882265 0.06988882 0.07053917
 0.07602794 0.08578326 0.14820922 0.16269325 0.16583789 0.17278528
 0.32017564 0.44130448 0.54085099]",1969.0,1971.0,21
1,7.0,CT,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966.]","[0.0030416  0.00596367 0.14798008 0.03865279 0.00031612 0.00020013
 0.04985238 0.04985238 0.04985238 0.04985238 0.04985238 0.04985238
 0.04985238 0.04985238 0.04985238 0.04985238]","[0.0030416  0.00898714 0.1556373  0.18827427 0.18853087 0.18869327
 0.22913884 0.26756811 0.30408158 0.33877477 0.37173842 0.40305876
 0.4328177  0.46109309 0.48795889 0.51348536]",1957.0,1966.0,16
1,7.0,DE,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[7.7994769e-03 2.9436690e-03 1.1137335e-03 5.7794218e-04 3.4132466e-04
 2.9051516e-04 3.9740061e-04 6.1189089e-02 5.5864644e-03 6.4729741e-03
 7.7773486e-03 3.6531948e-02 1.5932532e-01 7.4687564e-01 3.7479967e-02
 2.1247822e-03 1.5569148e-03 6.0705561e-04 5.4570820e-02]","[0.00779948 0.01072019 0.01182198 0.01239309 0.01273019 0.013017
 0.01340923 0.07377782 0.07895213 0.08491405 0.09203099 0.12520087
 0.26457851 0.81384691 0.82082392 0.82120463 0.821483   0.82159137
 0.83132728]",1969.0,1964.0,19
1,7.0,FL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985.]","[2.19010864e-03 2.43717898e-03 1.64235085e-02 5.67426486e-03
 2.00124690e-04 2.85822432e-04 1.99447299e-04 1.57946895e-04
 3.62021034e-04 3.10673582e-04 1.12266855e-04 4.91833780e-05
 9.99850308e-05 2.00675149e-05 7.40944670e-05 1.21540122e-03
 1.36285201e-01 3.37292179e-02 1.99485831e-02 5.30863665e-02
 3.80784064e-03 3.87100168e-02 2.81992275e-02 2.81992275e-02
 2.81992275e-02 2.81992275e-02 2.81992275e-02 2.81992275e-02
 2.81992275e-02 2.81992275e-02 2.81992275e-02 2.81992275e-02
 2.81992275e-02 2.81992275e-02 2.81992275e-02]","[0.00219011 0.00462195 0.02096955 0.02652483 0.02671964 0.02699783
 0.02719189 0.02734554 0.02769767 0.02799973 0.02810886 0.02815666
 0.02825383 0.02827333 0.02834533 0.02952628 0.16178748 0.19005974
 0.2062169  0.24835596 0.2512181  0.28020346 0.30050117 0.32022649
 0.33939558 0.35802411 0.37612734 0.39372007 0.41081669 0.42743121
 0.4435772  0.4592679  0.47451612 0.48933436 0.50373474]",1973.0,1985.0,35
1,7.0,GA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010.]","[0.01651597 0.01316252 0.05894681 0.0272612  0.00163684 0.00094003
 0.00112581 0.00081119 0.00148368 0.00026091 0.00038764 0.00184394
 0.00051779 0.00185086 0.00142737 0.00028343 0.00112114 0.00128828
 0.0012372  0.01584901 0.00661545 0.00612019 0.00377056 0.00033963
 0.00071551 0.00051094 0.004814   0.00137497 0.00156897 0.00228197
 0.00226482 0.00202392 0.00176098 0.01852191 0.00166366 0.00149845
 0.00101859 0.00150831 0.00403178 0.00396673 0.00436208 0.00327286
 0.00172163 0.00168586 0.00219187 0.003165   0.00838617 0.00345245
 0.00686187 0.07715715 0.09070975 0.03931025 0.01128985 0.00455154
 0.03870717 0.03870717 0.03870717 0.03870717 0.03870717 0.03870717]","[0.01651597 0.0294611  0.08667128 0.11156972 0.11302394 0.11385773
 0.11485535 0.11557338 0.11688558 0.117116   0.11745823 0.11908559
 0.11954172 0.12117132 0.12242573 0.12267446 0.12365807 0.12478704
 0.12586986 0.13972395 0.14541507 0.15064529 0.15384784 0.15413522
 0.15474044 0.15517232 0.15923932 0.16039534 0.16171266 0.16362561
 0.16551984 0.16720876 0.16867529 0.18407301 0.18543043 0.18665102
 0.18747949 0.18870503 0.19197599 0.1951812  0.19869189 0.20131446
 0.2026895  0.20403365 0.20577831 0.20829202 0.21493141 0.21764182
 0.22301026 0.28296057 0.34800304 0.3736332  0.38070478 0.38352353
 0.4073856  0.43032403 0.45237457 0.47357161 0.49394816 0.513536  ]",,2010.0,60
1,7.0,IA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[6.0414062e-03 6.9937240e-03 1.7898543e-02 1.0133850e-02 9.4181309e-03
 5.3316392e-03 8.4924269e-03 3.1593046e-03 3.6591009e-04 4.5249873e-04
 1.0572346e-03 5.9889053e-04 4.7137607e-03 8.9416644e-03 8.2384902e-01]","[0.00604141 0.01299288 0.03065887 0.04048203 0.04951889 0.05458651
 0.06261537 0.06557685 0.06591877 0.06634144 0.06732853 0.0678871
 0.07228086 0.08057621 0.8380426 ]",1965.0,1965.0,15
