fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,1,Alabama,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.03370428 0.03370428 0.03370428 0.03370428 0.03370428 0.03370428
 0.03370428 0.03370428 0.03370428 0.03370428 0.03370428 0.03370428
 0.03370428 0.03370428 0.03370428 0.03370428 0.03370428 0.03370428
 0.03370428 0.03370428]","[0.03370428 0.06627258 0.09774319 0.12815311 0.15753808 0.18593266
 0.21337021 0.239883   0.2655022  0.29025792 0.31417927 0.33729436
 0.35963038 0.38121358 0.40206933 0.42222215 0.44169574 0.46051298
 0.478696   0.49626618]",1997.0,,20
1,1,Alaska,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.00544918 0.00544918 0.00544918 0.00544918 0.00544918 0.00544918
 0.00544918 0.00544918 0.00544918 0.00544918 0.00544918 0.00544918
 0.00544918 0.00544918 0.00544918 0.00544918 0.00544918 0.00544918
 0.00544918 0.00544918]","[0.00544918 0.01086866 0.01625861 0.02161919 0.02695056 0.03225288
 0.03752631 0.042771   0.04798711 0.0531748  0.05833421 0.06346552
 0.06856886 0.07364439 0.07869227 0.08371264 0.08870565 0.09367145
 0.0986102  0.10352203]",1997.0,,20
1,1,Arizona,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00896196 0.00819358 0.00789762 0.00729047 0.00553452 0.00595883
 0.00601056 0.00572815 0.00490449 0.00435186 0.00331872 0.00333933
 0.00461806 0.00439682 0.00438496 0.00438021 0.00438021 0.00438021
 0.00438021 0.00438021 0.00438021 0.00438021 0.00438021 0.00438021
 0.00438021 0.00438021 0.00438021 0.00438021 0.00438021 0.00438021
 0.00438021 0.00438021 0.00438021 0.00438021 0.00438021]","[0.00896196 0.01708211 0.02484482 0.03195417 0.03731183 0.04304833
 0.04880015 0.05424876 0.05888718 0.06298277 0.06609247 0.06921109
 0.07350953 0.07758315 0.08162791 0.08565057 0.08965561 0.09364311
 0.09761314 0.10156578 0.10550111 0.10941921 0.11332014 0.11720398
 0.12107081 0.1249207  0.12875373 0.13256997 0.1363695  0.14015238
 0.14391869 0.14766851 0.1514019  0.15511893 0.15881969]",,,35
1,1,Arkansas,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020]","[0.03049114 0.04405694 0.04569903 0.04717371 0.0407975  0.03853208
 0.03454101 0.03104344 0.02826986 0.02741606 0.01746446 0.01778541
 0.0199482  0.01858269 0.01837773 0.02735147 0.02735147 0.02735147
 0.02735147 0.02735147 0.02735147 0.02735147 0.02735147 0.02735147]","[0.03049114 0.07320473 0.11555838 0.15728077 0.19166161 0.22280857
 0.24965355 0.27294689 0.29350058 0.31287001 0.32487036 0.33687782
 0.35010591 0.36218269 0.37390432 0.39102896 0.40768521 0.42388589
 0.43964345 0.45497002 0.46987739 0.48437702 0.49848007 0.51219737]",,2020.0,24
1,1,California,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.0096114  0.00992835 0.00618974 0.00560972 0.00479361 0.00472751
 0.00420332 0.00524162 0.00471058 0.00422281 0.00488294 0.00468758
 0.00440771 0.00489345 0.003933   0.00599603 0.00599603 0.00599603
 0.00599603 0.00599603 0.00599603 0.00599603 0.00599603 0.00599603
 0.00599603 0.00599603 0.00599603 0.00599603 0.00599603 0.00599603
 0.00599603 0.00599603 0.00599603 0.00599603 0.00599603]","[0.0096114  0.01944432 0.02551371 0.03098031 0.03562541 0.04018451
 0.04421892 0.04922876 0.05370744 0.05770345 0.06230463 0.06670016
 0.07081387 0.0753608  0.07899741 0.08451977 0.09000901 0.09546534
 0.10088896 0.10628005 0.11163882 0.11696546 0.12226016 0.12752311
 0.13275451 0.13795454 0.14312338 0.14826124 0.15336829 0.15844472
 0.16349071 0.16850644 0.1734921  0.17844786 0.18337391]",,,35
1,1,Colorado,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00707394 0.00790938 0.00948087 0.00951446 0.00725745 0.0074049
 0.00598301 0.00577076 0.00419611 0.00370857 0.00235442 0.00220916
 0.00241255 0.00198707 0.00241493 0.00303995 0.00303995 0.00303995
 0.00303995 0.00303995 0.00303995 0.00303995 0.00303995 0.00303995
 0.00303995 0.00303995 0.00303995 0.00303995 0.00303995 0.00303995
 0.00303995 0.00303995 0.00303995 0.00303995 0.00303995]","[0.00707394 0.01492738 0.02426672 0.03355029 0.04056425 0.04766878
 0.05336658 0.05882937 0.06277863 0.06625438 0.06845281 0.07051075
 0.07275318 0.07459569 0.07683047 0.07963686 0.08243471 0.08522406
 0.08800493 0.09077734 0.09354133 0.09629692 0.09904412 0.10178298
 0.10451351 0.10723574 0.1099497  0.1126554  0.11535288 0.11804216
 0.12072326 0.12339621 0.12606104 0.12871777 0.13136642]",,,35
1,1,Connecticut,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00826716 0.00769713 0.00674252 0.00685879 0.00571235 0.00547256
 0.00547465 0.00531567 0.00470411 0.00396202 0.00348634 0.00336925
 0.00289241 0.00271382 0.00213464 0.00318938 0.00318938 0.00318938
 0.00318938 0.00318938 0.00318938 0.00318938 0.00318938 0.00318938
 0.00318938 0.00318938 0.00318938 0.00318938 0.00318938 0.00318938
 0.00318938 0.00318938 0.00318938 0.00318938 0.00318938]","[0.00826716 0.01590066 0.02253597 0.02924019 0.03478552 0.04006772
 0.04532301 0.05039776 0.05486479 0.05860943 0.06189143 0.06505215
 0.0677564  0.07028634 0.07227095 0.07522983 0.07817928 0.08111932
 0.08404999 0.0869713  0.0898833  0.09278601 0.09567947 0.09856369
 0.10143872 0.10430458 0.10716129 0.1100089  0.11284742 0.11567689
 0.11849734 0.12130879 0.12411127 0.12690482 0.12968945]",,,35
1,1,Delaware,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00534045 0.00559928 0.00483375 0.00435704 0.00414736 0.00406755
 0.00348797 0.0035351  0.0027093  0.00258586 0.00240471 0.00267053
 0.00211202 0.00191702 0.00191073 0.0028902  0.0028902  0.0028902
 0.0028902  0.0028902  0.0028902  0.0028902  0.0028902  0.0028902
 0.0028902  0.0028902  0.0028902  0.0028902  0.0028902  0.0028902
 0.0028902  0.0028902  0.0028902  0.0028902  0.0028902 ]","[0.00534045 0.01090983 0.01569084 0.01997952 0.02404402 0.02801378
 0.03140404 0.03482813 0.03744306 0.03993211 0.04224079 0.04479851
 0.04681591 0.04864319 0.05046098 0.05320533 0.05594176 0.05867027
 0.0613909  0.06410367 0.0668086  0.0695057  0.07219502 0.07487656
 0.07755035 0.08021641 0.08287476 0.08552544 0.08816845 0.09080382
 0.09343158 0.09605174 0.09866433 0.10126937 0.10386688]",,,35
1,1,Florida,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012]","[0.02104826 0.0401651  0.04896008 0.04471891 0.04471891 0.04471891
 0.04471891 0.04471891 0.04471891 0.04471891 0.04471891 0.04471891
 0.04471891 0.04471891 0.04471891 0.04471891]","[0.02104826 0.06036795 0.10637241 0.14633446 0.18450945 0.2209773
 0.25581434 0.28909351 0.32088447 0.35125377 0.38026499 0.40797886
 0.4344534  0.45974403 0.48390368 0.50698294]",2000.0,2012.0,16
1,1,Georgia,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017]","[0.01798696 0.01687313 0.01687313 0.01687313 0.01687313 0.01687313
 0.01687313 0.01687313 0.01687313 0.01687313 0.01687313 0.01687313
 0.01687313 0.01687313 0.01687313 0.01687313 0.01687313 0.01687313
 0.01687313 0.01687313 0.01687313]","[0.01798696 0.03455659 0.05084664 0.06686183 0.08260679 0.09808608
 0.11330419 0.12826552 0.14297441 0.15743511 0.17165182 0.18562864
 0.19936963 0.21287877 0.22615997 0.23921707 0.25205386 0.26467405
 0.2770813  0.2892792  0.30127128]",1998.0,,21
