fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,1,Alabama,[1997 1998 1999 2000 2001],[0.14257086 0.14257086 0.14257086 0.14257086 0.14257086],[0.14257086 0.26481527 0.36963119 0.45950342 0.53656248],1997.0,2001.0,5
1,1,Alaska,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.02268407 0.02268407 0.02268407 0.02268407 0.02268407 0.02268407
 0.02268407 0.02268407 0.02268407 0.02268407 0.02268407 0.02268407
 0.02268407 0.02268407 0.02268407 0.02268407 0.02268407 0.02268407
 0.02268407 0.02268407]","[0.02268407 0.04485357 0.06652018 0.0876953  0.10839008 0.12861543
 0.14838197 0.16770014 0.18658008 0.20503176 0.22306487 0.24068892
 0.25791319 0.27474674 0.29119843 0.30727694 0.32299072 0.33834804
 0.353357   0.36802549]",1997.0,,20
1,1,Arizona,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012]","[0.05720209 0.04786138 0.11441928 0.09776618 0.04438801 0.04385734
 0.03070176 0.03278514 0.02901179 0.03537198 0.0257639  0.02513037
 0.08641903 0.08378766 0.10485637 0.06357848]","[0.05720209 0.1023257  0.20503695 0.28275745 0.31459442 0.34465448
 0.36477474 0.38560069 0.40342551 0.42452753 0.43935395 0.45344319
 0.5006761  0.54251328 0.59048368 0.6165201 ]",,2009.0,16
1,1,Arkansas,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012]","[0.06280658 0.14049368 0.12490861 0.10102661 0.15017136 0.13624721
 0.16198366 0.17245142 0.15255454 0.17903919 0.18899149 0.1663162
 0.15435476 0.12276778 0.10832915 0.11235081]","[0.06280658 0.19447634 0.29509317 0.36630752 0.46146998 0.53484319
 0.610191   0.67741411 0.72662605 0.7755707  0.81798593 0.84825782
 0.87167995 0.88743352 0.89962775 0.91090465]",,2002.0,16
1,1,California,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.0278736  0.01352684 0.00714932 0.0127382  0.00316335 0.00462354
 0.00389975 0.00380272 0.00211331 0.00517353 0.00470153 0.00448494
 0.00400394 0.00072554 0.00142892 0.00246318 0.00246318 0.00246318
 0.00246318 0.00246318 0.00246318 0.00246318 0.00246318 0.00246318
 0.00246318 0.00246318 0.00246318 0.00246318 0.00246318 0.00246318
 0.00246318 0.00246318 0.00246318 0.00246318 0.00246318]","[0.0278736  0.0410234  0.04787943 0.06000773 0.06298126 0.0673136
 0.07095084 0.07448376 0.07643966 0.08121772 0.08553741 0.08963871
 0.09328374 0.0939416  0.09523629 0.09746489 0.099688   0.10190563
 0.1041178  0.10632453 0.10852581 0.11072168 0.11291213 0.11509719
 0.11727687 0.11945118 0.12162013 0.12378375 0.12594203 0.12809499
 0.13024265 0.13238503 0.13452212 0.13665395 0.13878053]",,,35
1,1,Colorado,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.0322039  0.03905163 0.04433547 0.06018022 0.01204971 0.010288
 0.0098952  0.00992704 0.00830445 0.00706231 0.0038676  0.
 0.00236281 0.         0.00056919 0.009273   0.009273   0.009273
 0.009273   0.009273   0.009273   0.009273   0.009273   0.009273
 0.009273   0.009273   0.009273   0.009273   0.009273   0.009273
 0.009273   0.009273   0.009273   0.009273   0.009273  ]","[0.0322039  0.06999791 0.11122999 0.16471636 0.17478129 0.18327114
 0.19135284 0.19938031 0.20602902 0.21163629 0.21468536 0.21468536
 0.21654091 0.21654091 0.21698684 0.22424773 0.23144128 0.23856812
 0.24562888 0.25262416 0.25955458 0.26642073 0.27322321 0.27996261
 0.28663952 0.29325451 0.29980816 0.30630104 0.31273371 0.31910673
 0.32542065 0.33167603 0.33787339 0.34401329 0.35009626]",,,35
1,1,Connecticut,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00934286 0.01158572 0.01829124 0.02633956 0.01452321 0.01805609
 0.03012254 0.01635121 0.01151192 0.02214853 0.02390666 0.01419586
 0.01341647 0.01341647 0.0140699  0.01389799 0.01389799 0.01389799
 0.01389799 0.01389799 0.01389799 0.01389799 0.01389799 0.01389799
 0.01389799 0.01389799 0.01389799 0.01389799 0.01389799 0.01389799
 0.01389799 0.01389799 0.01389799 0.01389799 0.01389799]","[0.00934286 0.02082034 0.03873075 0.06405016 0.07764315 0.09429731
 0.12157937 0.13594261 0.14588957 0.16480685 0.18477353 0.19634637
 0.20712857 0.2177661  0.22877205 0.23949057 0.25006013 0.26048278
 0.27076059 0.28089555 0.29088966 0.30074487 0.31046311 0.32004629
 0.32949628 0.33881494 0.34800408 0.35706551 0.36600101 0.37481233
 0.38350118 0.39206927 0.40051829 0.40884988 0.41706568]",,,35
1,1,Delaware,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.02680643 0.0037467  0.00252838 0.00062779 0.00238218 0.00238218
 0.00381509 0.00448343 0.00548887 0.00870524 0.00792552 0.00353955
 0.00586334 0.01613832 0.00961346 0.0080271  0.0080271  0.0080271
 0.0080271  0.0080271  0.0080271  0.0080271  0.0080271  0.0080271
 0.0080271  0.0080271  0.0080271  0.0080271  0.0080271  0.0080271
 0.0080271  0.0080271  0.0080271  0.0080271  0.0080271 ]","[0.02680643 0.03045269 0.03290408 0.03351122 0.03581357 0.03811043
 0.04178013 0.04607625 0.05131221 0.05957076 0.06702415 0.07032647
 0.07577746 0.09069286 0.09943444 0.10666337 0.11383428 0.12094762
 0.12800386 0.13500346 0.14194688 0.14883455 0.15566694 0.16244449
 0.16916763 0.17583681 0.18245245 0.18901499 0.19552484 0.20198245
 0.20838821 0.21474256 0.2210459  0.22729864 0.2335012 ]",,,35
1,1,Florida,[1997 1998 1999 2000],[0.06964066 0.22845786 0.26192019 0.2457952 ],[0.06964066 0.28218856 0.47019787 0.60042069],2000.0,2000.0,4
1,1,Georgia,[1997 1998 1999 2000],[0.16569707 0.16999616 0.16999616 0.16999616],[0.16569707 0.30752536 0.42524339 0.52294981],1998.0,2000.0,4
