fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,1,Alabama,[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008],"[0.05879397 0.05879397 0.05879397 0.05879397 0.05879397 0.05879397
 0.05879397 0.05879397 0.05879397 0.05879397 0.05879397 0.05879397]","[0.05879397 0.11413121 0.16621495 0.21523648 0.26137585 0.30480249
 0.34567591 0.38414622 0.42035471 0.45443436 0.48651033 0.51670042]",1997.0,2008.0,12
1,1,Alaska,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.00125556 0.00125556 0.00125556 0.00125556 0.00125556 0.00125556
 0.00125556 0.00125556 0.00125556 0.00125556 0.00125556 0.00125556
 0.00125556 0.00125556 0.00125556 0.00125556 0.00125556 0.00125556
 0.00125556 0.00125556]","[0.00125556 0.00250955 0.00376196 0.0050128  0.00626206 0.00750976
 0.0087559  0.01000046 0.01124347 0.01248491 0.0137248  0.01496313
 0.0161999  0.01743512 0.0186688  0.01990092 0.02113149 0.02236052
 0.02358801 0.02481395]",1997.0,,20
1,1,Arizona,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012]","[0.04792985 0.15686822 0.4995021  0.10930134 0.01989587 0.02042221
 0.03848438 0.01478535 0.01894996 0.04058127 0.0011794  0.00154361
 0.16125222 0.0348293  0.58175343 0.28101295]","[0.04792985 0.1972794  0.59824002 0.64215292 0.6492726  0.65643523
 0.66965711 0.67454134 0.68070877 0.69366601 0.6940273  0.6944996
 0.74376222 0.7526868  0.8965621  0.92562949]",,1999.0,16
1,1,Arkansas,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012]","[0.02980158 0.1457408  0.19870166 0.21035692 0.22415735 0.10724548
 0.4059901  0.34349403 0.07799613 0.66136163 0.1443944  0.04825732
 0.02275401 0.35147607 0.0595911  0.15238906]","[0.02980158 0.17119908 0.3358832  0.47558477 0.59313629 0.63677059
 0.78423813 0.85835104 0.86939912 0.95577353 0.96215958 0.96398566
 0.96480513 0.97717529 0.97853544 0.9818064 ]",,2001.0,16
1,1,California,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00753523 0.00340391 0.00301987 0.01214907 0.00183436 0.00183124
 0.0005709  0.00080991 0.00057307 0.00120022 0.0023895  0.00111017
 0.00097898 0.00103495 0.00175627 0.0017636  0.0017636  0.0017636
 0.0017636  0.0017636  0.0017636  0.0017636  0.0017636  0.0017636
 0.0017636  0.0017636  0.0017636  0.0017636  0.0017636  0.0017636
 0.0017636  0.0017636  0.0017636  0.0017636  0.0017636 ]","[0.00753523 0.01091349 0.0139004  0.02588059 0.02766748 0.02944805
 0.03000214 0.03078776 0.03134319 0.03250579 0.03481762 0.03588913
 0.03683298 0.03782981 0.03951964 0.04121354 0.04290446 0.0445924
 0.04627736 0.04795935 0.04963837 0.05131443 0.05298754 0.0546577
 0.05632491 0.05798917 0.05965051 0.06130891 0.06296439 0.06461695
 0.0662666  0.06791333 0.06955717 0.0711981  0.07283614]",,,35
1,1,Colorado,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[6.4317040e-02 6.2423099e-02 3.9609406e-02 7.5714767e-02 6.4446672e-04
 9.7948697e-04 5.2202924e-04 3.3599895e-04 2.4270585e-04 8.3683111e-04
 1.7917705e-04 9.6510346e-05 2.4745055e-04 3.8322457e-04 2.2594589e-04
 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03
 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03
 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03
 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03 3.5349252e-03]","[0.06431704 0.12272527 0.1574736  0.22126529 0.22176716 0.22252943
 0.22293529 0.22319638 0.22338492 0.22403481 0.22417385 0.22424872
 0.22444068 0.2247379  0.22491307 0.22765294 0.23038313 0.23310367
 0.23581459 0.23851593 0.24120772 0.24388999 0.24656278 0.24922613
 0.25188006 0.2545246  0.2571598  0.25978569 0.26240229 0.26500964
 0.26760778 0.27019673 0.27277653 0.27534721 0.2779088 ]",,,35
1,1,Connecticut,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00077001 0.00097707 0.0010103  0.00575038 0.00177384 0.00578351
 0.00875287 0.00383635 0.00577184 0.00286011 0.00418816 0.00246448
 0.00053452 0.00111468 0.00076995 0.00082089 0.00082089 0.00082089
 0.00082089 0.00082089 0.00082089 0.00082089 0.00082089 0.00082089
 0.00082089 0.00082089 0.00082089 0.00082089 0.00082089 0.00082089
 0.00082089 0.00082089 0.00082089 0.00082089 0.00082089]","[0.00077001 0.00174633 0.00275486 0.0084894  0.01024819 0.01597242
 0.02458549 0.02832752 0.03393586 0.03669891 0.04073337 0.04309746
 0.04360894 0.04467501 0.04541057 0.04619418 0.04697716 0.04775949
 0.04854118 0.04932222 0.05010263 0.0508824  0.05166152 0.05244001
 0.05321785 0.05399506 0.05477163 0.05554757 0.05632286 0.05709752
 0.05787154 0.05864493 0.05941769 0.0601898  0.06096129]",,,35
1,1,Delaware,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.03071534 0.00474314 0.01098012 0.01513417 0.01496068 0.01506653
 0.01657534 0.01173222 0.00253625 0.0053411  0.00877362 0.00381311
 0.00582144 0.03133592 0.00555088 0.00473017 0.00473017 0.00473017
 0.00473017 0.00473017 0.00473017 0.00473017 0.00473017 0.00473017
 0.00473017 0.00473017 0.00473017 0.00473017 0.00473017 0.00473017
 0.00473017 0.00473017 0.00473017 0.00473017 0.00473017]","[0.03071534 0.0353128  0.04590517 0.0603446  0.07440249 0.08834803
 0.10345897 0.11397739 0.11622456 0.1209449  0.12865739 0.13197991
 0.13703304 0.1640749  0.16871502 0.17264714 0.17656067 0.18045567
 0.18433226 0.18819051 0.19203051 0.19585234 0.1996561  0.20344186
 0.20720972 0.21095975 0.21469205 0.21840669 0.22210376 0.22578334
 0.22944552 0.23309037 0.23671799 0.24032844 0.24392182]",,,35
1,1,Florida,[1997 1998 1999 2000],[0.06823101 0.25274655 0.43089196 0.71746707],[0.06823101 0.30373241 0.60374852 0.88804591],2000.0,1999.0,4
1,1,Georgia,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011]","[0.00430327 0.05020165 0.05020165 0.05020165 0.05020165 0.05020165
 0.05020165 0.05020165 0.05020165 0.05020165 0.05020165 0.05020165
 0.05020165 0.05020165 0.05020165]","[0.00430327 0.0542889  0.10176516 0.14685803 0.18968717 0.23036622
 0.2690031  0.30570036 0.34055535 0.37366056 0.40510384 0.43496861
 0.46333412 0.49027563 0.51586464]",1998.0,2011.0,15
