fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,compact on placement of children,AL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981]","[0.03238518 0.01949731 0.01701259 0.01482543 0.01475723 0.01045697
 0.01021366 0.01105969 0.01032123 0.01008057 0.01086895 0.01164228
 0.00975091 0.01096091 0.00932911 0.03202834 0.02966561 0.05597675
 0.09585775 0.09222361 0.09222361 0.09222361]","[0.03238518 0.05125106 0.06739173 0.08121805 0.09477673 0.10424262
 0.11339158 0.12319719 0.13224687 0.14099432 0.1503308  0.16022289
 0.16841148 0.17752645 0.1851994  0.21129611 0.23469349 0.27753287
 0.34678694 0.4070286  0.46171456 0.51135719]",1979.0,1981.0,22
1,compact on placement of children,AK,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994 1995]","[0.02705521 0.02408691 0.01809741 0.01710117 0.01415754 0.01386939
 0.01278513 0.0153956  0.01695442 0.01472087 0.01120179 0.01116791
 0.01216669 0.0134831  0.01274428 0.01299919 0.01147505 0.01147505
 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505
 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505
 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505 0.01147505]","[0.02705521 0.05049044 0.0676741  0.08361797 0.09659168 0.1091214
 0.1205114  0.13405165 0.1487333  0.16126469 0.17066003 0.17992202
 0.18989965 0.20082231 0.21100726 0.22126352 0.23019957 0.23903307
 0.24776521 0.25639714 0.26493002 0.27336499 0.28170317 0.28994566
 0.29809358 0.30614799 0.31410998 0.32198061 0.32976092 0.33745195
 0.34505472 0.35257025 0.35999955 0.36734359 0.37460335 0.38177981]",1976.0,,36
1,compact on placement of children,AZ,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990]","[0.03015362 0.01815817 0.01585925 0.01515883 0.01545932 0.01427722
 0.01353553 0.01469562 0.01312736 0.01302171 0.01489589 0.01482499
 0.01489599 0.01334681 0.01207365 0.02041161 0.02605468 0.02720467
 0.0421659  0.03660395 0.03958358 0.03895851 0.04261779 0.0479469
 0.04529492 0.03888925 0.06005937 0.06553193 0.06941045 0.10063625
 0.09933255]","[0.03015362 0.04776426 0.062866   0.07707185 0.0913397  0.10431284
 0.11643644 0.12942096 0.14084936 0.15203697 0.16466814 0.17705192
 0.18931055 0.20013067 0.20978801 0.22591751 0.24608598 0.26659596
 0.2975206  0.32323412 0.35002294 0.37534507 0.40196648 0.43064034
 0.45642944 0.47756849 0.5089454  0.54112515 0.57297586 0.61594997
 0.65409864]",,1986.0,31
1,compact on placement of children,AR,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982]","[0.02715411 0.01718828 0.0149933  0.01458313 0.0147768  0.01224622
 0.01186503 0.01176263 0.01054768 0.01157293 0.01190215 0.01512249
 0.01116673 0.01206496 0.01074819 0.02569859 0.04623559 0.07566027
 0.07317899 0.07179151 0.07179151 0.07179151 0.07179151]","[0.02715411 0.04387566 0.05821112 0.07194536 0.08565903 0.09685626
 0.10757209 0.11806939 0.12737171 0.13747058 0.14773653 0.16062487
 0.16999795 0.18001189 0.18882528 0.20967133 0.24621264 0.3032444
 0.35423227 0.40059291 0.44362525 0.48356823 0.52064364]",1979.0,1982.0,23
1,compact on placement of children,CA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.03536632 0.02763095 0.02413242 0.02158326 0.02015305 0.01970026
 0.01865082 0.01980285 0.02064966 0.01896688 0.01796859 0.01699958
 0.01709298 0.01641779 0.01536013 0.01536013 0.01536013 0.01536013
 0.01536013 0.01536013 0.01536013 0.01536013 0.01536013 0.01536013
 0.01536013 0.01536013 0.01536013 0.01536013 0.01536013 0.01536013
 0.01536013 0.01536013 0.01536013 0.01536013]","[0.03536632 0.06202007 0.0846558  0.10441191 0.12246074 0.1397485
 0.15579289 0.17251059 0.18959797 0.20496876 0.21925436 0.2325267
 0.24564511 0.25802995 0.2694267  0.2806484  0.29169774 0.30257735
 0.31328986 0.32383781 0.33422375 0.34445016 0.35451949 0.36443416
 0.37419653 0.38380896 0.39327373 0.40259312 0.41176937 0.42080467
 0.42970119 0.43846105 0.44708636 0.45557919]",1974.0,,34
1,compact on placement of children,CO,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984]","[0.0315366  0.0242358  0.02111816 0.01966907 0.02596165 0.02103214
 0.02140271 0.02473524 0.02597719 0.01963158 0.02089452 0.01981853
 0.01740075 0.02158401 0.02009607 0.03653482 0.03653482 0.03653482
 0.03653482 0.03653482 0.03653482 0.03653482 0.03653482 0.03653482
 0.03653482]","[0.0315366  0.05500808 0.07496457 0.09315916 0.11670224 0.13527989
 0.15378724 0.17471852 0.19615702 0.21193773 0.22840391 0.24369581
 0.25685607 0.2728961  0.28750802 0.31353879 0.33861852 0.36278197
 0.38606261 0.4084927  0.43010331 0.45092438 0.47098476 0.49031223
 0.50893358]",1975.0,1984.0,25
1,compact on placement of children,CT,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.03042341 0.05309202 0.04087573 0.03377863 0.02760083 0.0281072
 0.02651005 0.03559714 0.03559714 0.03559714 0.03559714 0.03559714
 0.03559714 0.03559714 0.03559714 0.03559714 0.03559714 0.03559714
 0.03559714 0.03559714]","[0.03042341 0.08190019 0.1194282  0.14917271 0.17265625 0.19591056
 0.21722702 0.24509149 0.27196407 0.29788007 0.32287353 0.34697729
 0.37022303 0.39264128 0.41426152 0.43511213 0.45522052 0.47461311
 0.49331538 0.5113519 ]",1967.0,1979.0,20
1,compact on placement of children,DE,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988]","[0.02780402 0.02363793 0.02061038 0.01908273 0.01572204 0.01712506
 0.01584606 0.01615521 0.01762535 0.0147896  0.0147896  0.0147896
 0.0147896  0.0147896  0.0147896  0.0147896  0.0147896  0.0147896
 0.0147896  0.0147896  0.0147896  0.0147896  0.0147896  0.0147896
 0.0147896  0.0147896  0.0147896  0.0147896  0.0147896 ]","[0.02780402 0.05078472 0.07034841 0.0880887  0.1024258  0.11779681
 0.13177625 0.1458026  0.16085812 0.17326869 0.18549571 0.1975419
 0.20940993 0.22110244 0.23262202 0.24397123 0.25515259 0.26616858
 0.27702165 0.28771421 0.29824863 0.30862725 0.31885237 0.32892627
 0.33885118 0.3486293  0.35826281 0.36775384 0.37710451]",1969.0,,29
1,compact on placement of children,FL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.02446571 0.01552862 0.01356295 0.01394601 0.01421311 0.01136972
 0.01109814 0.0119743  0.01153113 0.01101458 0.01190849 0.01309627
 0.01108668 0.01238188 0.01042159 0.01042159 0.01042159 0.01042159
 0.01042159 0.01042159 0.01042159 0.01042159 0.01042159 0.01042159
 0.01042159 0.01042159 0.01042159 0.01042159 0.01042159 0.01042159
 0.01042159 0.01042159 0.01042159 0.01042159]","[0.02446571 0.03961442 0.05264008 0.06585197 0.07912912 0.08959916
 0.09970292 0.11048334 0.12074048 0.13042515 0.14078047 0.15203304
 0.16143418 0.1718172  0.18044818 0.18898922 0.19744124 0.20580518
 0.21408195 0.22227247 0.23037762 0.23839831 0.24633541 0.2541898
 0.26196233 0.26965385 0.27726522 0.28479727 0.29225082 0.29962669
 0.30692569 0.31414863 0.32129629 0.32836947]",1974.0,,34
1,compact on placement of children,GA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.02553284 0.01526035 0.01334471 0.01610526 0.01630791 0.01106698
 0.01084562 0.01158813 0.0109075  0.01041768 0.0104873  0.01265558
 0.00919362 0.01077619 0.00962328 0.02608939 0.02451731 0.02593738
 0.02593738 0.02593738 0.02593738 0.02593738 0.02593738 0.02593738
 0.02593738 0.02593738 0.02593738 0.02593738 0.02593738 0.02593738
 0.02593738 0.02593738 0.02593738 0.02593738]","[0.02553284 0.04040355 0.05320909 0.0684574  0.08364891 0.09379015
 0.10361856 0.11400594 0.12366992 0.13279925 0.14189385 0.15275368
 0.16054294 0.16958909 0.17758036 0.19903679 0.21867425 0.23893979
 0.25867969 0.2779076  0.29663678 0.31488017 0.33265038 0.34995968
 0.36682002 0.38324305 0.3992401  0.41482224 0.43000021 0.44478451
 0.45918534 0.47321266 0.48687614 0.50018522]",1977.0,1993.0,34
