fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,compact on placement of children,AL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.03067431 0.01521333 0.00237148 0.0055971  0.00287657 0.00368554
 0.00627182 0.00867925 0.00257418 0.00813969 0.01136935 0.01267266
 0.00500193 0.01340091 0.00592399 0.06711914 0.06793138 0.2573233
 0.06579757 0.15875104]","[0.03067431 0.04542097 0.04768474 0.05301495 0.05573901 0.05921912
 0.06511953 0.07323359 0.07561926 0.08314343 0.09356749 0.10505441
 0.10953086 0.12146396 0.12666839 0.18528566 0.24063032 0.43603383
 0.47314143 0.55678078]",1979.0,1979.0,20
1,compact on placement of children,AK,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994 1995]","[0.05880092 0.02699286 0.014357   0.01099674 0.01891746 0.02986857
 0.03900089 0.02971918 0.00894945 0.00947781 0.03528045 0.04505517
 0.04962006 0.02425501 0.00654016 0.02131781 0.01301712 0.01301712
 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712
 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712
 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712 0.01301712]","[0.05880092 0.08420657 0.09735462 0.10728078 0.12416877 0.1503286
 0.18346654 0.20773325 0.2148236  0.22226535 0.24970418 0.28350889
 0.31906122 0.33557739 0.33992282 0.35399422 0.36240336 0.37070303
 0.37889466 0.38697967 0.39495943 0.40283531 0.41060868 0.41828085
 0.42585316 0.4333269  0.44070335 0.44798378 0.45516944 0.46226157
 0.46926137 0.47617006 0.48298882 0.48971882 0.49636121 0.50291713]",1976.0,1995.0,36
1,compact on placement of children,AZ,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990]","[0.04170975 0.02077351 0.00536611 0.00676067 0.00903483 0.01151774
 0.00933839 0.01390934 0.00725501 0.01535932 0.01302153 0.02479814
 0.017461   0.04266156 0.02068881 0.03679682 0.0549966  0.07203311
 0.05694702 0.06153702 0.04428865 0.03820974 0.04919475 0.05011532
 0.06867889 0.04221702 0.07624466 0.07136741 0.0996726  0.08079852
 0.07751914]","[0.04170975 0.0616168  0.06665226 0.07296232 0.08133794 0.09191886
 0.10039887 0.11291172 0.11934755 0.13287378 0.14416508 0.1653882
 0.17996135 0.21494548 0.23118732 0.25947718 0.30020342 0.35061195
 0.38759266 0.42527839 0.45073203 0.47171942 0.49770805 0.52288058
 0.55564861 0.5744078  0.60685694 0.63491454 0.67130355 0.69786174
 0.72128324]",,1983.0,31
1,compact on placement of children,AR,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.02393296 0.00773422 0.0026711  0.00283504 0.00608471 0.0049175
 0.00635848 0.0118249  0.00262548 0.01137729 0.00927386 0.02283362
 0.00976571 0.02042166 0.00862468 0.05182456 0.07799686 0.20385395
 0.1155906  0.17248201]","[0.02393296 0.03148208 0.03406909 0.03680754 0.04266829 0.04737597
 0.05343321 0.06462627 0.06708207 0.07769615 0.08624946 0.10711369
 0.11583337 0.13388952 0.14135944 0.18585811 0.24935862 0.40237983
 0.47145911 0.5626229 ]",1979.0,1979.0,20
1,compact on placement of children,CA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986]","[0.06629774 0.0243374  0.00822914 0.00838505 0.01684389 0.01728974
 0.02923456 0.05152149 0.02569514 0.03322544 0.02891126 0.04302599
 0.02170355 0.02683257 0.022591   0.022591   0.022591   0.022591
 0.022591   0.022591   0.022591   0.022591   0.022591   0.022591
 0.022591   0.022591   0.022591  ]","[0.06629774 0.08902162 0.09651819 0.10409393 0.11918448 0.13441355
 0.15971858 0.20301114 0.22348987 0.24928977 0.27099374 0.30235996
 0.31750122 0.33581442 0.35081904 0.36548468 0.37981902 0.39382953
 0.40752353 0.42090817 0.43399043 0.44677716 0.45927501 0.47149053
 0.48343009 0.49509992 0.50650612]",1974.0,1986.0,27
1,compact on placement of children,CO,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.02714566 0.01597749 0.00529465 0.00663195 0.00964513 0.01541558
 0.01661553 0.03468023 0.01477835 0.03438034 0.02430881 0.04943023
 0.0219188  0.06122408 0.04125317 0.06553298 0.06553298 0.06553298
 0.06553298 0.06553298]","[0.02714566 0.04268943 0.04775806 0.05407328 0.06319686 0.07763823
 0.09296376 0.12441999 0.13735961 0.16701748 0.18726629 0.22743991
 0.2443735  0.29063604 0.31989955 0.36446856 0.40611683 0.44503577
 0.48140423 0.51538935]",1975.0,1979.0,20
1,compact on placement of children,CT,[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972],"[0.03960127 0.03669003 0.03425235 0.03708864 0.04584635 0.03866235
 0.06206543 0.07527099 0.07527099 0.07527099 0.07527099 0.07527099
 0.07527099]","[0.03960127 0.07483833 0.10652729 0.13966498 0.1791082  0.21084581
 0.259825   0.3155387  0.36705878 0.41470089 0.45875693 0.49949683
 0.5371702 ]",1967.0,1972.0,13
1,compact on placement of children,DE,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987]","[0.08330387 0.03845157 0.00538138 0.00687311 0.01067012 0.0082947
 0.01029501 0.02228812 0.01081562 0.02608596 0.02608596 0.02608596
 0.02608596 0.02608596 0.02608596 0.02608596 0.02608596 0.02608596
 0.02608596 0.02608596 0.02608596 0.02608596 0.02608596 0.02608596
 0.02608596 0.02608596 0.02608596 0.02608596]","[0.08330387 0.11855228 0.12329568 0.12932137 0.13861161 0.14575657
 0.15455102 0.17339449 0.18233474 0.20366432 0.22443749 0.24466878
 0.26437232 0.28356187 0.30225085 0.3204523  0.33817895 0.35544319
 0.37225707 0.38863234 0.40458045 0.42011254 0.43523946 0.44997178
 0.46431979 0.47829352 0.49190273 0.50515693]",1969.0,1987.0,28
1,compact on placement of children,FL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.03861494 0.01608134 0.0065337  0.00609478 0.00999169 0.00869778
 0.01753257 0.02838535 0.01058019 0.0262599  0.01803777 0.02158
 0.0249698  0.02703337 0.01650812 0.01650812 0.01650812 0.01650812
 0.01650812 0.01650812 0.01650812 0.01650812 0.01650812 0.01650812
 0.01650812 0.01650812 0.01650812 0.01650812 0.01650812 0.01650812
 0.01650812 0.01650812 0.01650812 0.01650812]","[0.03861494 0.0540753  0.06025569 0.06598322 0.07531563 0.08335833
 0.09942942 0.12499243 0.13425018 0.15698468 0.1721908  0.19005492
 0.21027909 0.23162791 0.24431229 0.25678727 0.26905632 0.28112282
 0.29299014 0.30466154 0.31614027 0.32742951 0.33853239 0.34945197
 0.3601913  0.37075334 0.38114102 0.39135722 0.40140477 0.41128645
 0.421005   0.43056312 0.43996346 0.44920861]",1974.0,,34
1,compact on placement of children,GA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981]","[0.02159737 0.01221051 0.00381085 0.0044712  0.00487966 0.00583042
 0.00722389 0.01262069 0.00350495 0.00830729 0.00804708 0.01124454
 0.00391078 0.01613616 0.00686154 0.06557072 0.07634288 0.08647226
 0.08647226 0.08647226 0.08647226 0.08647226]","[0.02159737 0.03354416 0.03722719 0.04153194 0.04620894 0.05176994
 0.05861986 0.07050073 0.07375858 0.08145313 0.08884475 0.09909028
 0.10261354 0.11709391 0.123152   0.18064756 0.24319928 0.30864155
 0.36842488 0.4230386  0.47292976 0.51850671]",1977.0,1981.0,22
