fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,aborpreroe,AK,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987]","[0.03923616 0.03923616 0.03923616 0.03923616 0.03923616 0.03923616
 0.03923616 0.03923616 0.03923616 0.03923616 0.03923616 0.03923616
 0.03923616 0.03923616 0.03923616 0.03923616 0.03923616 0.03923616]","[0.03923616 0.07693285 0.11315046 0.14794703 0.18137832 0.21349789
 0.24435722 0.27400574 0.30249097 0.32985854 0.35615232 0.38141444
 0.40568536 0.42900398 0.45140768 0.47293233 0.49361245 0.51348115]",1970.0,1987.0,18
1,aborpreroe,AL,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987]","[0.14327945 0.06327278 0.03044601 0.03044601 0.03044601 0.03044601
 0.03044601 0.03044601 0.03044601 0.03044601 0.03044601 0.03044601
 0.03044601 0.03044601 0.03044601 0.03044601 0.03044601 0.03044601]","[0.14327945 0.19748654 0.22191987 0.24560931 0.26857749 0.29084639
 0.31243729 0.33337083 0.35366703 0.37334529 0.39242442 0.41092267
 0.42885773 0.44624673 0.46310631 0.47945258 0.49530117 0.51066723]",,1987.0,18
1,aborpreroe,AZ,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982],"[0.07548488 0.08029735 0.05021878 0.05021878 0.05021878 0.05021878
 0.05021878 0.05021878 0.05021878 0.05021878 0.05021878 0.05021878
 0.05021878]","[0.07548488 0.14972099 0.19242097 0.23297661 0.27149559 0.3080802
 0.34282757 0.37582997 0.40717503 0.43694598 0.46522186 0.49207777
 0.51758501]",,1982.0,13
1,aborpreroe,CT,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983],"[0.0551884  0.11936676 0.04510838 0.04510838 0.04510838 0.04510838
 0.04510838 0.04510838 0.04510838 0.04510838 0.04510838 0.04510838
 0.04510838 0.04510838]","[0.0551884  0.1679675  0.20549914 0.24133779 0.27555981 0.30823813
 0.33944239 0.36923907 0.39769168 0.42486083 0.45080443 0.47557775
 0.49923359 0.52182235]",,1983.0,14
1,aborpreroe,FL,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986]","[0.05247494 0.06679598 0.03862885 0.03862885 0.03862885 0.03862885
 0.03862885 0.03862885 0.03862885 0.03862885 0.03862885 0.03862885
 0.03862885 0.03862885 0.03862885 0.03862885 0.03862885]","[0.05247494 0.1157658  0.14992276 0.18276026 0.2143293  0.24467885
 0.27385604 0.30190615 0.32887271 0.35479759 0.37972102 0.40368168
 0.42671678 0.44886205 0.47015187 0.4906193  0.51029609]",1972.0,1986.0,17
1,aborpreroe,HI,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989]","[0.02866602 0.02866602 0.02866602 0.02866602 0.02866602 0.02866602
 0.02866602 0.02866602 0.02866602 0.02866602 0.02866602 0.02866602
 0.02866602 0.02866602 0.02866602 0.02866602 0.02866602 0.02866602
 0.02866602 0.02866602]","[0.02866602 0.05651029 0.08355638 0.10982717 0.13534487 0.16013109
 0.18420679 0.20759233 0.2303075  0.25237151 0.27380304 0.29462022
 0.31484064 0.33448143 0.3535592  0.37209008 0.39008975 0.40757345
 0.42455596 0.44105165]",1970.0,,20
1,aborpreroe,IA,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989 1990 1991]","[0.05307899 0.0312483  0.0176043  0.0176043  0.0176043  0.0176043
 0.0176043  0.0176043  0.0176043  0.0176043  0.0176043  0.0176043
 0.0176043  0.0176043  0.0176043  0.0176043  0.0176043  0.0176043
 0.0176043  0.0176043  0.0176043  0.0176043 ]","[0.05307899 0.08266867 0.09881764 0.11468232 0.13026772 0.14557875
 0.16062023 0.17539693 0.18991349 0.20417449 0.21818444 0.23194776
 0.24546878 0.25875177 0.27180093 0.28462036 0.29721412 0.30958617
 0.32174042 0.3336807  0.34541079 0.35693437]",,,22
1,aborpreroe,ID,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989 1990 1991]","[0.02147044 0.08064703 0.03031615 0.03031615 0.03031615 0.03031615
 0.03031615 0.03031615 0.03031615 0.03031615 0.03031615 0.03031615
 0.03031615 0.03031615 0.03031615 0.03031615 0.03031615 0.03031615
 0.03031615 0.03031615 0.03031615 0.03031615]","[0.02147044 0.10038595 0.12765879 0.15410482 0.17974911 0.20461596
 0.22872895 0.25211092 0.27478404 0.2967698  0.31808903 0.33876195
 0.35880815 0.37824662 0.39709579 0.41537353 0.43309715 0.45028347
 0.46694876 0.48310882 0.49877898 0.51397407]",,1991.0,22
1,aborpreroe,IL,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980],"[0.0404348  0.19022173 0.04890627 0.04890627 0.04890627 0.04890627
 0.04890627 0.04890627 0.04890627 0.04890627 0.04890627]","[0.0404348  0.22296496 0.26096684 0.29711019 0.33148591 0.36418044
 0.395276   0.4248508  0.4529792  0.47973194 0.50517631]",,1980.0,11
1,aborpreroe,IN,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985 1986 1987 1988 1989 1990 1991]","[0.02186191 0.03743145 0.02306208 0.02306208 0.02306208 0.02306208
 0.02306208 0.02306208 0.02306208 0.02306208 0.02306208 0.02306208
 0.02306208 0.02306208 0.02306208 0.02306208 0.02306208 0.02306208
 0.02306208 0.02306208 0.02306208 0.02306208]","[0.02186191 0.05847503 0.08018856 0.10140133 0.12212489 0.14237052
 0.16214924 0.18147182 0.20034879 0.21879041 0.23680674 0.25440756
 0.27160248 0.28840084 0.3048118  0.32084429 0.33650704 0.35180857
 0.36675722 0.38136112 0.39562822 0.40956629]",,,22
