fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,aborpreroe,AK,[1970 1971 1972 1973 1974],[0.15525664 0.15525664 0.15525664 0.15525664 0.15525664],[0.15525664 0.28640866 0.39719846 0.4907874  0.56984604],1970.0,1974,5
1,aborpreroe,AL,[1970 1971 1972],[0.44126174 0.31726533 0.15796454],[0.44126174 0.61853002 0.67878875],,1971,3
1,aborpreroe,AZ,[1970 1971 1972 1973],[0.15206134 0.20352392 0.17734116 0.17734116],[0.15206134 0.32463714 0.44440678 0.54293633],,1973,4
1,aborpreroe,CT,[1970 1971 1972],[0.22001988 0.36349732 0.24801783],[0.22001988 0.50354056 0.62667135],,1971,3
1,aborpreroe,FL,[1970 1971 1972 1973 1974],[0.10149555 0.14365722 0.1669646  0.1669646  0.1669646 ],[0.10149555 0.2305722  0.35903941 0.46605714 0.5552067 ],1972.0,1974,5
1,aborpreroe,HI,[1970 1971 1972 1973 1974 1975 1976],"[0.10334575 0.10334575 0.10334575 0.10334575 0.10334575 0.10334575
 0.10334575]","[0.10334575 0.19601116 0.27909999 0.35360194 0.42040444 0.48030318
 0.53401163]",1970.0,1976,7
1,aborpreroe,IA,[1970 1971 1972 1973 1974 1975 1976 1977],"[0.1636061  0.13193405 0.07117112 0.07117112 0.07117112 0.07117112
 0.07117112 0.07117112]","[0.16360611 0.27395494 0.32562838 0.37362416 0.41820403 0.4596111
 0.49807119 0.53379402]",,1977,8
1,aborpreroe,ID,[1970 1971 1972 1973],[0.11704995 0.29475382 0.16815609 0.16815609],[0.11704995 0.37730285 0.48201317 0.56911581],,1973,4
1,aborpreroe,IL,[1970 1971 1972 1973],[0.07023741 0.29398653 0.14564738 0.14564738],[0.07023741 0.34357509 0.43918166 0.52086338],,1973,4
1,aborpreroe,IN,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980],"[0.05065152 0.06606578 0.06402067 0.06402067 0.06402067 0.06402067
 0.06402067 0.06402067 0.06402067 0.06402067 0.06402067]","[0.05065152 0.11337097 0.17013356 0.22326216 0.27298944 0.31953315
 0.36309709 0.40387204 0.44203655 0.47775775 0.51119205]",,1980,11
1,aborpreroe,KY,[1970 1971 1972 1973],[0.11589237 0.27570167 0.14210361 0.14210361],[0.11589237 0.35964232 0.45063946 0.52870558],,1973,4
1,aborpreroe,LA,[1970 1971 1972],[0.37615794 0.18555948 0.14679658],[0.37615794 0.49191775 0.56650249],,1972,3
1,aborpreroe,MA,[1970 1971 1972 1973 1974],[0.12349503 0.16646726 0.16806486 0.16806486 0.16806486],[0.12349503 0.26940441 0.39219186 0.49434305 0.57932622],,1974,5
1,aborpreroe,ME,[1970 1971 1972 1973 1974],[0.09166096 0.18559751 0.12906362 0.12906362 0.12906362],[0.09166096 0.26024642 0.3557217  0.43887459 0.51129547],,1974,5
1,aborpreroe,MI,[1970 1971 1972 1973 1974],[0.07955533 0.2448488  0.12070676 0.12070676 0.12070676],[0.07955533 0.30492511 0.38882535 0.46259826 0.52746628],,1974,5
1,aborpreroe,MN,[1970 1971 1972 1973 1974 1975 1976 1977],"[0.04337568 0.0864448  0.09900831 0.09900831 0.09900831 0.09900831
 0.09900831 0.09900831]","[0.04337568 0.12607088 0.21259712 0.29055655 0.36079734 0.42408372
 0.48110421 0.53247921]",,1977,8
1,aborpreroe,MO,[1970 1971 1972 1973 1974 1975 1976 1977 1978],"[0.09635089 0.07967518 0.07642972 0.07642972 0.07642972 0.07642972
 0.07642972 0.07642972 0.07642972]","[0.09635089 0.16834929 0.23191213 0.29061687 0.34483483 0.39490892
 0.44115587 0.48386817 0.52331598]",,1978,9
1,aborpreroe,MT,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980],"[0.08363486 0.08018601 0.05979387 0.05979387 0.05979387 0.05979387
 0.05979387 0.05979387 0.05979387 0.05979387 0.05979387]","[0.08363486 0.15711452 0.20751391 0.25489973 0.29945216 0.34134063
 0.38072442 0.41775331 0.4525681  0.48530117 0.51607701]",,1980,11
1,aborpreroe,ND,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983],"[0.11593293 0.06389709 0.04470578 0.04470578 0.04470578 0.04470578
 0.04470578 0.04470578 0.04470578 0.04470578 0.04470578 0.04470578
 0.04470578 0.04470578]","[0.11593293 0.17242224 0.20941975 0.24476325 0.2785267  0.31078072
 0.34159281 0.37102741 0.39914612 0.42600776 0.45166853 0.47618212
 0.4995998  0.52197058]",,1983,14
1,aborpreroe,NH,[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981],"[0.08941119 0.10908089 0.04802774 0.04802774 0.04802774 0.04802774
 0.04802774 0.04802774 0.04802774 0.04802774 0.04802774 0.04802774]","[0.08941119 0.18873903 0.22770205 0.26479378 0.30010407 0.33371848
 0.36571847 0.39618158 0.42518161 0.45278884 0.47907015 0.50408923]",,1981,12
1,aborpreroe,NJ,[1970 1971 1972],[0.46359035 0.4002424  0.35188258],[0.46359035 0.67828423 0.79149041],,1971,3
1,aborpreroe,NV,[1970 1971 1972],[0.20922726 0.31771594 0.17121948],[0.20922726 0.46046837 0.5528467 ],,1972,3
1,aborpreroe,NY,[1970 1971 1972 1973],[0.19043723 0.19043723 0.19043723 0.19043723],[0.19043723 0.34460812 0.46941913 0.57046148],1970.0,1973,4
1,aborpreroe,OH,[1970 1971 1972 1973 1974 1975 1976],"[0.06849045 0.07864248 0.10514817 0.10514817 0.10514817 0.10514817
 0.10514817]","[0.06849045 0.14174667 0.23199044 0.31274524 0.38500882 0.44967402
 0.50753979]",,1976,7
1,aborpreroe,OK,[1970 1971 1972],[0.2950686  0.5060446  0.23524497],[0.29506859 0.65179534 0.73370874],,1971,3
1,aborpreroe,PA,[1970 1971 1972],[0.2873077  0.26947695 0.23597606],[0.28730771 0.47936185 0.60221999],,1972,3
1,aborpreroe,RI,[1970 1971 1972 1973 1974],[0.12144621 0.11344767 0.15376414 0.15376414 0.15376414],[0.12144621 0.22111608 0.3408805  0.44222945 0.52799456],,1974,5
1,aborpreroe,SC,[1970 1971 1972 1973 1974],[0.13220127 0.13220127 0.13220127 0.13220127 0.13220127],[0.13220127 0.24692536 0.34648279 0.43287859 0.50785276],1970.0,1974,5
1,aborpreroe,SD,"[1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983
 1984 1985]","[0.06099456 0.05094853 0.04068252 0.04068252 0.04068252 0.04068252
 0.04068252 0.04068252 0.04068252 0.04068252 0.04068252 0.04068252
 0.04068252 0.04068252 0.04068252 0.04068252]","[0.06099456 0.10883551 0.14509033 0.17987021 0.21323516 0.24524274
 0.27594817 0.30540443 0.33366233 0.36077063 0.38677609 0.41172359
 0.43565616 0.45861509 0.48063999 0.50176887]",,1985,16
1,aborpreroe,TN,[1970 1971 1972],[0.39889222 0.4397431  0.39205295],[0.39889222 0.66322522 0.79525877],,1971,3
1,aborpreroe,TX,[1970 1971 1972],[0.22392312 0.42907336 0.1692399 ],[0.22392312 0.55691704 0.63190435],,1971,3
1,aborpreroe,UT,[1970 1971 1972],[0.18020314 0.40854418 0.12431341],[0.18020314 0.51512638 0.57540267],,1971,3
1,aborpreroe,VA,[1970 1971 1972],[0.22749168 0.22749168 0.22749168],[0.22749168 0.40323089 0.5389909 ],1970.0,1972,3
1,aborpreroe,VT,[1970 1971 1972 1973 1974 1975 1976 1977],"[0.06805739 0.08947105 0.09320794 0.09320794 0.09320794 0.09320794
 0.09320794 0.09320794]","[0.06805739 0.15143927 0.23053187 0.30225241 0.36728803 0.42626181
 0.47973876 0.52823124]",,1977,8
