fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,amber,Alabama,[1999 2000 2001 2002 2003],[0.04092229 0.14305127 0.08042742 0.1610081  0.23610927],[0.04092229 0.17811957 0.2442213  0.36590779 0.51562284],2003.0,2003.0,5
1,amber,Arizona,[1999 2000 2001 2002 2003 2004 2005],"[0.04105102 0.05680303 0.05232609 0.13892032 0.13892032 0.13892032
 0.13892032]","[0.04105102 0.09552223 0.14285001 0.26192557 0.3644591  0.45274865
 0.52877298]",2002.0,2005.0,7
1,amber,Arkansas,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.05164295 0.02582172 0.0866568  0.0866568  0.0866568  0.0866568
 0.0866568  0.0866568  0.0866568 ]","[0.05164295 0.07613117 0.15619069 0.2293125  0.29609782 0.35709573
 0.41280776 0.46369196 0.5101667 ]",2001.0,2007.0,9
1,amber,California,[1999 2000 2001 2002 2003 2004],[0.02845667 0.05121401 0.06060924 0.23396827 0.23396827 0.23396827],[0.02845667 0.07821331 0.1340821  0.33667941 0.49187538 0.61076041],2002.0,2004.0,6
1,amber,Colorado,[1999 2000 2001 2002 2003],[0.04427433 0.08373376 0.08134668 0.23245364 0.23245364],[0.04427433 0.12430083 0.19553605 0.38253662 0.52606823],2002.0,2003.0,5
1,amber,Connecticut,[1999 2000 2001 2002 2003],[0.01952075 0.03773518 0.04687482 0.36977828 0.36977828],[0.01952075 0.05651931 0.1007448  0.43326984 0.64283435],2002.0,2003.0,5
1,amber,Delaware,[1999 2000 2001 2002 2003],[0.02572558 0.05820904 0.04308922 0.41358857 0.35083137],[0.02572558 0.08243715 0.12197422 0.48511565 0.66575323],2003.0,2003.0,5
1,amber,Florida,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010],"[0.03099885 0.05925738 0.05925738 0.05925738 0.05925738 0.05925738
 0.05925738 0.05925738 0.05925738 0.05925738 0.05925738 0.05925738]","[0.03099885 0.08841932 0.1424372  0.19325412 0.24105976 0.28603257
 0.3283404  0.36814119 0.40558348 0.44080705 0.47394335 0.50511609]",2000.0,2010.0,12
1,amber,Georgia,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.03657238 0.12251    0.09067011 0.08909994 0.08909994 0.08909994
 0.08909994 0.08909994]","[0.03657238 0.1546019  0.23125424 0.29974944 0.36214173 0.41897486
 0.47074417 0.51790083]",2002.0,2006.0,8
1,amber,Idaho,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.05426875 0.03764179 0.02115953 0.03912266 0.11898174 0.11898174
 0.11898174 0.11898174 0.11898174]","[0.05426875 0.08986777 0.10912574 0.14397911 0.24582997 0.33556243
 0.41461836 0.48426809 0.54563077]",2003.0,2007.0,9
1,amber,Illinois,[1999 2000 2001 2002 2003 2004 2005],"[0.02254457 0.03708846 0.06363409 0.14576775 0.14576775 0.14576775
 0.14576775]","[0.02254457 0.05879688 0.11868949 0.24715614 0.35689649 0.45064024
 0.53071918]",2002.0,2005.0,7
1,amber,Indiana,[1999 2000 2001 2002 2003 2004 2005],"[0.03446732 0.06594796 0.10735529 0.13029903 0.13029903 0.13029903
 0.13029903]","[0.03446732 0.09814223 0.19496143 0.29985718 0.39108511 0.47042613
 0.53942909]",2002.0,2005.0,7
1,amber,Iowa,[1999 2000 2001 2002 2003],[0.03242827 0.06761427 0.05737499 0.11552424 0.37259225],[0.03242827 0.09784993 0.14961078 0.24785135 0.5280961 ],2003.0,2003.0,5
1,amber,Kansas,[1999 2000 2001 2002 2003],[0.08446711 0.08783109 0.06149707 0.2038897  0.2038897 ],[0.08446711 0.16487936 0.21623683 0.37603807 0.50325748],2002.0,2003.0,5
1,amber,Kentucky,[1999 2000 2001 2002 2003 2004],[0.01875008 0.05403797 0.02742342 0.07979204 0.27322014 0.27322014],[0.01875008 0.07177483 0.09722994 0.1692638  0.39623766 0.56119769],2003.0,2004.0,6
1,amber,Louisiana,[1999 2000 2001 2002 2003],[0.05906517 0.06233199 0.08236896 0.23950747 0.23950747],[0.05906517 0.11771551 0.19038836 0.3842964  0.53176201],2002.0,2003.0,5
1,amber,Maine,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013 2014 2015 2016 2017 2018 2019 2020 2021]","[0.01737231 0.03438029 0.02395818 0.03186875 0.03186875 0.03186875
 0.03186875 0.03186875 0.03186875 0.03186875 0.03186875 0.03186875
 0.03186875 0.03186875 0.03186875 0.03186875 0.03186875 0.03186875
 0.03186875 0.03186875 0.03186875 0.03186875 0.03186875]","[0.01737231 0.05115534 0.07388793 0.10340197 0.13197543 0.15963829
 0.18641957 0.21234736 0.23744887 0.26175042 0.28527751 0.30805483
 0.33010625 0.35145493 0.37212325 0.3921329  0.41150487 0.43025947
 0.44841639 0.46599467 0.48301276 0.49948849 0.51543917]",2002.0,2021.0,23
1,amber,Maryland,[1999 2000 2001 2002 2003 2004],[0.01779128 0.03477154 0.04286308 0.21306717 0.21306717 0.21306717],[0.01779128 0.05194419 0.09258079 0.28592203 0.43806861 0.55779774],2002.0,2004.0,6
1,amber,Massachusetts,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008],"[0.00824986 0.01657116 0.02039998 0.09263857 0.09263857 0.09263857
 0.09263857 0.09263857 0.09263857 0.09263857]","[0.00824986 0.02468431 0.04458073 0.13308941 0.21339877 0.28626838
 0.35238746 0.41238136 0.46681752 0.51621078]",2002.0,2008.0,10
1,amber,Michigan,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013 2014 2015 2016]","[0.02695874 0.03522432 0.04112225 0.04112225 0.04112225 0.04112225
 0.04112225 0.04112225 0.04112225 0.04112225 0.04112225 0.04112225
 0.04112225 0.04112225 0.04112225 0.04112225 0.04112225 0.04112225]","[0.02695874 0.06123346 0.09983765 0.13685436 0.17234885 0.20638373
 0.23901902 0.27031228 0.30031868 0.32909115 0.35668044 0.38313519
 0.40850206 0.43282579 0.45614927 0.47851364 0.49995833 0.52052117]",2001.0,2016.0,18
1,amber,Minnesota,[1999 2000 2001 2002 2003],[0.03239821 0.04758834 0.05512754 0.10894664 0.37557635],[0.03239821 0.07844477 0.12924784 0.22411336 0.51551803],2003.0,2003.0,5
1,amber,Mississippi,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.04722708 0.06771141 0.07484787 0.09499462 0.09499462 0.09499462
 0.09499462 0.09499462]","[0.04722708 0.11174068 0.178225   0.25628921 0.32693773 0.39087503
 0.44873863 0.5011055 ]",2002.0,2006.0,8
1,amber,Missouri,[1999 2000 2001 2002 2003 2004],[0.04861682 0.07802473 0.10989572 0.19349266 0.19349266 0.19349266],[0.04861682 0.12284824 0.21924347 0.37031412 0.49215372 0.59041824],2002.0,2004.0,6
1,amber,Montana,[1999 2000 2001 2002 2003 2004 2005],"[0.02929577 0.00886893 0.04910224 0.01375036 0.2105699  0.2105699
 0.2105699 ]","[0.02929577 0.03790488 0.0851459  0.09772548 0.28771734 0.43770263
 0.55610553]",2003.0,2005.0,7
1,amber,Nevada,[1999 2000 2001 2002 2003 2004],[0.02377185 0.00870524 0.05724789 0.05988431 0.3326318  0.3326318 ],[0.02377185 0.03227015 0.08767063 0.14230485 0.42760153 0.61799946],2003.0,2004.0,6
1,amber,New Hampshire,[1999 2000 2001 2002 2003],[0.06511767 0.08133609 0.05993294 0.18026577 0.31370566],[0.06511767 0.14115734 0.1926303  0.33817142 0.54579079],2003.0,2003.0,5
1,amber,New Jersey,[1999 2000 2001 2002 2003 2004],[0.01766171 0.03801538 0.03719306 0.25525858 0.25525858 0.25525858],[0.01766171 0.05500567 0.0901529  0.32239918 0.4953626  0.62417563],2002.0,2004.0,6
1,amber,New Mexico,[1999 2000 2001 2002 2003],[0.04181086 0.08159351 0.07214969 0.34335329 0.32331932],[0.04181086 0.11999287 0.18348511 0.46383819 0.63718966],2003.0,2003.0,5
1,amber,New York,[1999 2000 2001 2002 2003 2004],[0.01317505 0.02738693 0.03413003 0.20754242 0.20754242 0.20754242],[0.01317505 0.04020115 0.07295911 0.26535942 0.4178285  0.53865378],2002.0,2004.0,6
1,amber,North Carolina,[1999 2000 2001 2002 2003],[0.03651496 0.07873872 0.07364312 0.24175103 0.39952808],[0.03651496 0.11237854 0.17774575 0.37652656 0.62562171],2003.0,2003.0,5
