fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,amber,Alabama,[1999 2000 2001 2002 2003],[0.04541225 0.1420015  0.07998829 0.15927216 0.22669479],[0.04541225 0.18096515 0.24647834 0.36649336 0.51010601],2003.0,2003.0,5
1,amber,Arizona,[1999 2000 2001 2002 2003 2004 2005],"[0.04666718 0.06160416 0.05502529 0.14362908 0.14362908 0.14362908
 0.14362908]","[0.04666718 0.10539644 0.15462226 0.27604309 0.38002436 0.46907089
 0.54532775]",2002.0,2005.0,7
1,amber,Arkansas,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.05612585 0.03029231 0.08748899 0.08748899 0.08748899 0.08748899
 0.08748899 0.08748899 0.08748899]","[0.05612585 0.08471798 0.16479508 0.23786632 0.30454463 0.36538932
 0.42091077 0.47157471 0.51780611]",2001.0,2007.0,9
1,amber,California,[1999 2000 2001 2002 2003 2004],[0.03151083 0.05339015 0.06062501 0.22907611 0.22907611 0.22907611],[0.03151083 0.08321861 0.13879849 0.33607918 0.48816758 0.60541616],2002.0,2004.0,6
1,amber,Colorado,[1999 2000 2001 2002 2003],[0.04879471 0.08509444 0.07819629 0.22440664 0.22440664],[0.04879471 0.12973699 0.19778833 0.37780996 0.51743354],2002.0,2003.0,5
1,amber,Connecticut,[1999 2000 2001 2002 2003],[0.02238576 0.04039336 0.04846387 0.36170345 0.36170345],[0.02238576 0.06187488 0.10734005 0.43021823 0.63631026],2002.0,2003.0,5
1,amber,Delaware,[1999 2000 2001 2002 2003],[0.02890504 0.06153201 0.04632098 0.40573132 0.34452281],[0.02890504 0.08865846 0.1308727  0.48350487 0.66144922],2003.0,2003.0,5
1,amber,Florida,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010],"[0.03585586 0.0631727  0.0631727  0.0631727  0.0631727  0.0631727
 0.0631727  0.0631727  0.0631727  0.0631727  0.0631727  0.0631727 ]","[0.03585586 0.09676345 0.15382335 0.20727861 0.25735696 0.30427173
 0.34822276 0.38939729 0.42797071 0.46410735 0.49796113 0.52967628]",2000.0,2010.0,12
1,amber,Georgia,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.04144904 0.12564444 0.0929356  0.09035208 0.09035208 0.09035208
 0.09035208 0.09035208]","[0.04144904 0.16188564 0.2397763  0.30846409 0.3709458  0.42778215
 0.47948322 0.52651299]",2002.0,2006.0,8
1,amber,Idaho,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.06368209 0.04345651 0.02515389 0.04465376 0.12351049 0.12351049
 0.12351049 0.12351049]","[0.06368209 0.1043712  0.12689975 0.16588696 0.26890867 0.35920611
 0.43835088 0.50772043]",2003.0,2006.0,8
1,amber,Illinois,[1999 2000 2001 2002 2003 2004 2005],"[0.02721772 0.04210846 0.07017229 0.15537212 0.15537212 0.15537212
 0.15537212]","[0.02721772 0.06818009 0.13356802 0.2681874  0.38189068 0.47792764
 0.55904313]",2002.0,2005.0,7
1,amber,Indiana,[1999 2000 2001 2002 2003 2004 2005],"[0.03823165 0.06964418 0.11009575 0.12932871 0.12932871 0.12932871
 0.12932871]","[0.03823165 0.10521322 0.20372544 0.30670661 0.39636935 0.47443612
 0.54240662]",2002.0,2005.0,7
1,amber,Iowa,[1999 2000 2001 2002 2003],[0.03609121 0.06881395 0.05909705 0.11572997 0.35748643],[0.03609121 0.10242158 0.15546582 0.25320373 0.52017327],2003.0,2003.0,5
1,amber,Kansas,[1999 2000 2001 2002 2003],[0.09220958 0.08931792 0.06440164 0.20909916 0.20909916],[0.09220958 0.17329154 0.22653292 0.38826424 0.51617767],2002.0,2003.0,5
1,amber,Kentucky,[1999 2000 2001 2002 2003 2004],[0.02175215 0.05059418 0.02555973 0.07233833 0.25788888 0.25788888],[0.02175215 0.07124579 0.0949845  0.16045181 0.37696195 0.53763653],2003.0,2004.0,6
1,amber,Louisiana,[1999 2000 2001 2002 2003],[0.06286138 0.06324879 0.08341751 0.2355325  0.2355325 ],[0.06286138 0.12213426 0.19536363 0.38488165 0.52976201],2002.0,2003.0,5
1,amber,Maine,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013 2014 2015 2016 2017 2018 2019]","[0.02008364 0.03631568 0.02608928 0.03342044 0.03342044 0.03342044
 0.03342044 0.03342044 0.03342044 0.03342044 0.03342044 0.03342044
 0.03342044 0.03342044 0.03342044 0.03342044 0.03342044 0.03342044
 0.03342044 0.03342044 0.03342044]","[0.02008364 0.05566996 0.08030685 0.1110434  0.14075272 0.16946915
 0.19722585 0.22405492 0.24998734 0.2750531  0.29928114 0.32269947
 0.34533516 0.36721434 0.38836232 0.40880352 0.42856157 0.44765929
 0.46611876 0.48396131 0.50120755]",2002.0,2019.0,21
1,amber,Maryland,[1999 2000 2001 2002 2003 2004],[0.0200327  0.03619575 0.04344059 0.20717024 0.20717024 0.20717024],[0.0200327  0.05550335 0.09653284 0.28370435 0.43209949 0.54975158],2002.0,2004.0,6
1,amber,Massachusetts,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.01097361 0.02052182 0.02403268 0.10313581 0.10313581 0.10313581
 0.10313581 0.10313581 0.10313581]","[0.01097361 0.03127023 0.0545514  0.152061   0.23951388 0.31794723
 0.38829129 0.45138036 0.50796269]",2002.0,2007.0,9
1,amber,Michigan,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013 2014]","[0.03108387 0.03886624 0.04416026 0.04416026 0.04416026 0.04416026
 0.04416026 0.04416026 0.04416026 0.04416026 0.04416026 0.04416026
 0.04416026 0.04416026 0.04416026 0.04416026]","[0.03108387 0.068742   0.1098666  0.14917513 0.18674778 0.22266121
 0.2569887  0.28980027 0.32116288 0.3511405  0.37979431 0.40718276
 0.43336172 0.45838462 0.4823025  0.50516415]",2001.0,2014.0,16
1,amber,Minnesota,[1999 2000 2001 2002 2003 2004],[0.03432721 0.04770798 0.05400582 0.10388378 0.35227316 0.35227316],[0.03432721 0.08039751 0.13006139 0.22043391 0.49505412 0.672933  ],2003.0,2004.0,6
1,amber,Mississippi,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.05483757 0.07327231 0.08037792 0.10074176 0.10074176 0.10074176
 0.10074176 0.10074176]","[0.05483757 0.12409181 0.19449549 0.27564343 0.34861639 0.41423792
 0.47324863 0.52631449]",2002.0,2006.0,8
1,amber,Missouri,[1999 2000 2001 2002 2003 2004],[0.05267535 0.08210792 0.1121205  0.1901499  0.1901499  0.1901499 ],[0.05267535 0.1304582  0.22795166 0.37475658 0.49364655 0.58992961],2002.0,2004.0,6
1,amber,Montana,[1999 2000 2001 2002 2003 2004 2005],"[0.03408976 0.01210507 0.05317791 0.01702474 0.2025086  0.2025086
 0.2025086 ]","[0.03408976 0.04578217 0.09652548 0.1119069  0.29175339 0.43517942
 0.54956045]",2003.0,2005.0,7
1,amber,Nevada,[1999 2000 2001 2002 2003 2004],[0.02674725 0.01126364 0.05915077 0.07157875 0.32710766 0.32710766],[0.02674725 0.03770962 0.09462983 0.1594351  0.43439032 0.61940558],2003.0,2004.0,6
1,amber,New Hampshire,[1999 2000 2001 2002 2003],[0.06703226 0.08141578 0.05921567 0.17404443 0.3004866 ],[0.06703226 0.14299056 0.19373895 0.3340642  0.53416898],2003.0,2003.0,5
1,amber,New Jersey,[1999 2000 2001 2002 2003 2004],[0.02037314 0.04055371 0.04025784 0.24296408 0.24296408 0.24296408],[0.02037314 0.06010064 0.09793896 0.31710739 0.48302577 0.60863194],2002.0,2004.0,6
1,amber,New Mexico,[1999 2000 2001 2002 2003],[0.04706922 0.08586438 0.07654022 0.34851115 0.32096899],[0.04706922 0.12889203 0.19556682 0.47592076 0.64413394],2003.0,2003.0,5
1,amber,New York,[1999 2000 2001 2002 2003 2004],[0.01716303 0.03313094 0.04003581 0.22680679 0.22680679 0.22680679],[0.01716303 0.04972534 0.08777036 0.29467023 0.45464381 0.5783343 ],2002.0,2004.0,6
1,amber,North Carolina,[1999 2000 2001 2002 2003],[0.03804168 0.07782232 0.0725133  0.227146   0.37834165],[0.03804168 0.11290351 0.1772298  0.36411876 0.60469911],2003.0,2003.0,5
1,amber,North Dakota,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013 2014 2015 2016 2017 2018 2019 2020 2021]","[0.01873017 0.00732677 0.03453425 0.00926625 0.00926625 0.00926625
 0.00926625 0.00926625 0.00926625 0.00926625 0.00926625 0.00926625
 0.00926625 0.00926625 0.00926625 0.00926625 0.00926625 0.00926625
 0.00926625 0.00926625 0.00926625 0.00926625 0.00926625]","[0.01873017 0.0259197  0.05955883 0.06827319 0.07690681 0.08546042
 0.09393477 0.10233059 0.11064862 0.11888957 0.12705415 0.13514309
 0.14315706 0.15109678 0.15896293 0.16675619 0.17447723 0.18212673
 0.18970535 0.19721374 0.20465255 0.21202244 0.21932403]",2002.0,,23
1,amber,Ohio,[1999 2000 2001 2002 2003],[0.03222385 0.05528305 0.09897937 0.21817243 0.3634486 ],[0.03222385 0.08572547 0.17621979 0.35594592 0.59002647],2003.0,2003.0,5
1,amber,Oklahoma,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.08587817 0.08587817 0.08587817 0.08587817 0.08587817 0.08587817
 0.08587817 0.08587817]","[0.08587817 0.16438128 0.23614269 0.30174136 0.36170653 0.41652201
 0.46663003 0.51243487]",1999.0,2006.0,8
1,amber,Oregon,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.02621307 0.04422797 0.04081601 0.12477283 0.12477283 0.12477283
 0.12477283 0.12477283]","[0.02621307 0.06928169 0.1072699  0.21865836 0.31614857 0.40147465
 0.47615435 0.54151605]",2002.0,2006.0,8
1,amber,Pennsylvania,[1999 2000 2001 2002 2003 2004],[0.02980927 0.0521012  0.05387169 0.22049402 0.22049402 0.22049402],[0.02980927 0.08035737 0.12990007 0.32175191 0.47130156 0.5878764 ],2002.0,2004.0,6
1,amber,Rhode Island,[1999 2000 2001 2002 2003 2004 2005],"[0.01529347 0.01723873 0.01758441 0.18406704 0.18406704 0.18406704
 0.18406704]","[0.01529347 0.03226856 0.04928555 0.22428075 0.3670651  0.48356755
 0.57862574]",2002.0,2005.0,7
1,amber,South Carolina,[1999 2000 2001 2002 2003 2004 2005],"[0.02993976 0.05519468 0.05729243 0.14311402 0.14311402 0.14311402
 0.14311402]","[0.02993976 0.08348193 0.13599148 0.25964322 0.36559865 0.45639038
 0.53418854]",2002.0,2005.0,7
1,amber,South Dakota,[1999 2000 2001 2002 2003 2004],[0.03275763 0.05869496 0.04618041 0.08208987 0.25079354 0.25079354],[0.03275763 0.08952988 0.13157577 0.2028646  0.40278101 0.55255968],2003.0,2004.0,6
1,amber,Tennessee,[1999 2000 2001 2002 2003],[0.03763057 0.08551382 0.07084092 0.13866758 0.34863132],[0.03763057 0.11992645 0.18227168 0.29566409 0.54121765],2003.0,2003.0,5
1,amber,Texas,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008],"[0.08584805 0.03096014 0.16935835 0.05871306 0.05871306 0.05871306
 0.05871306 0.05871306 0.05871306 0.05871306]","[0.08584805 0.11415032 0.26417636 0.30737882 0.34804473 0.38632302
 0.42235387 0.45626924 0.48819334 0.51824307]",2002.0,2008.0,10
1,amber,Utah,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011],"[0.05501431 0.06779675 0.03528548 0.05516313 0.05516313 0.05516313
 0.05516313 0.05516313 0.05516313 0.05516313 0.05516313 0.05516313
 0.05516313]","[0.05501431 0.11908126 0.1501649  0.19704447 0.24133801 0.28318819
 0.32272977 0.36009012 0.39538956 0.42874177 0.46025416 0.49002823
 0.51815987]",2002.0,2011.0,13
1,amber,Vermont,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.01470803 0.01982456 0.02012282 0.04761146 0.13670111 0.13670111
 0.13670111 0.13670111 0.13670111]","[0.01470803 0.03424102 0.05367481 0.09873073 0.22193524 0.32829755
 0.42012002 0.49939026 0.56782416]",2003.0,2007.0,9
1,amber,Virginia,[1999 2000 2001 2002 2003 2004 2005],"[0.04651341 0.07790003 0.05961788 0.13271506 0.13271506 0.13271506
 0.13271506]","[0.04651341 0.12079005 0.17320668 0.28293461 0.37809999 0.46063549
 0.53221728]",2002.0,2005.0,7
1,amber,Washington,[1999 2000 2001 2002 2003 2004],[0.04589595 0.0778035  0.06614325 0.17558864 0.17558864 0.17558864],[0.04589595 0.12012858 0.17832614 0.32260273 0.44154599 0.53960417],2002.0,2004.0,6
1,amber,West Virginia,[1999 2000 2001 2002 2003 2004 2005],"[0.01574574 0.03593504 0.03367777 0.14370709 0.14370709 0.14370709
 0.14370709]","[0.01574574 0.05111495 0.08307128 0.21484044 0.32767343 0.42429153
 0.50702492]",2002.0,2005.0,7
1,amber,Wisconsin,[1999 2000 2001 2002 2003],[0.03167262 0.04510029 0.09519743 0.15031579 0.34138618],[0.03167262 0.07534447 0.1633693  0.28912811 0.53180995],2003.0,2003.0,5
1,amber,Wyoming,[1999 2000 2001 2002 2003 2004],[0.06897498 0.05716467 0.03204081 0.06799241 0.20519025 0.30849347],[0.06897498 0.12219672 0.15032225 0.20809389 0.3705853  0.56475562],2004.0,2004.0,6
1,compcrime,Alabama,[1978 1979 1980 1981 1982 1983 1984 1985],"[0.12106504 0.1057697  0.07819604 0.12895168 0.10467069 0.13886702
 0.12563247 0.22273177]","[0.12106504 0.21402972 0.27548949 0.36891634 0.4349723  0.51343602
 0.57456425 0.66932231]",1985.0,1983.0,8
1,compcrime,Arizona,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989],"[0.06066075 0.06066075 0.06066075 0.06066075 0.06066075 0.06066075
 0.06066075 0.06066075 0.06066075 0.06066075 0.06066075 0.06066075]","[0.06066075 0.11764178 0.17116629 0.22144397 0.26867176 0.31303468
 0.35470652 0.39385051 0.43061999 0.46515901 0.49760287 0.52807866]",1978.0,1989.0,12
1,compcrime,Arkansas,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988],"[0.01730592 0.06940741 0.01045129 0.06145949 0.01829265 0.08233132
 0.02676491 0.13354779 0.04060627 0.15533011 0.15533011]","[0.01730592 0.08551217 0.09506975 0.1506863  0.1662225  0.2348685
 0.25534718 0.35479392 0.38099334 0.47714371 0.55835904]",1987.0,1988.0,11
1,compcrime,California,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987],"[0.06619867 0.07985981 0.11147751 0.11883572 0.10966011 0.09676153
 0.09077057 0.15538036 0.18072359 0.21941815]","[0.06619867 0.14077187 0.23655648 0.32728084 0.4010513  0.4590065
 0.50811278 0.5845424  0.65962538 0.73430975]",1987.0,1984.0,10
1,compcrime,Colorado,[1978 1979 1980 1981 1982 1983 1984 1985 1986],"[0.05366831 0.0769724  0.0769724  0.0769724  0.0769724  0.0769724
 0.0769724  0.0769724  0.0769724 ]","[0.05366831 0.12650973 0.19374437 0.2558038  0.31308636 0.36595975
 0.41476335 0.45981042 0.50139011]",1979.0,1986.0,9
1,compcrime,Connecticut,"[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991
 1992 1993 1994]","[0.0175241  0.03422448 0.05004285 0.05815415 0.02719477 0.04436533
 0.0424266  0.03860589 0.06851225 0.10679454 0.10690785 0.13436757
 0.15573533 0.14463806 0.1750744  0.17274989 0.37626082]","[0.0175241  0.05114883 0.09863204 0.15105033 0.17413732 0.21077699
 0.24426104 0.27343702 0.32321548 0.39549237 0.46011898 0.53266148
 0.6054426  0.66251062 0.72159637 0.76969057 0.85634698]",1994.0,1989.0,17
1,compcrime,Delaware,[1978 1979 1980 1981 1982 1983 1984 1985],"[0.0450444  0.04109317 0.04211118 0.03962261 0.03152936 0.10635242
 0.19288534 0.19288534]","[0.0450444  0.08428656 0.12284833 0.15760337 0.1841636  0.27092977
 0.41155673 0.52505881]",1984.0,1985.0,8
1,compcrime,Florida,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987],"[0.07092667 0.07092667 0.07092667 0.07092667 0.07092667 0.07092667
 0.07092667 0.07092667 0.07092667 0.07092667]","[0.07092667 0.13682275 0.19804504 0.25492504 0.30777072 0.35686824
 0.40248344 0.4448633  0.4842373  0.52081863]",1978.0,1987.0,10
1,compcrime,Georgia,[1978 1979 1980 1981 1982 1983 1984],"[0.09687867 0.10800704 0.09540251 0.10346922 0.10346922 0.10346922
 0.10346922]","[0.09687867 0.19442213 0.27127628 0.34667675 0.4142756  0.47488005
 0.5292138 ]",1981.0,1984.0,7
1,compcrime,Idaho,[1978 1979 1980 1981 1982 1983 1984 1985],"[0.04399771 0.05924217 0.05667559 0.08779293 0.11174093 0.07822653
 0.1139451  0.1139451 ]","[0.04399771 0.10063336 0.1516055  0.22608853 0.31256612 0.36634169
 0.43854395 0.50251911]",1984.0,1985.0,8
1,compcrime,Illinois,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987],"[0.03088575 0.05098929 0.08060123 0.1105428  0.11411658 0.11880159
 0.21751671 0.20171448 0.30011079 0.36852202]","[0.03088575 0.0803002  0.15442913 0.24790091 0.33372788 0.41288207
 0.54059003 0.63325967 0.7433224  0.83791375]",1987.0,1984.0,10
1,compcrime,Indiana,[1978 1979 1980 1981 1982 1983 1984 1985 1986],"[0.04510211 0.0873064  0.08435806 0.09716688 0.06956604 0.08655191
 0.1447378  0.15254649 0.23193428]","[0.04510211 0.12847081 0.20199132 0.27953133 0.32965149 0.38767143
 0.47629852 0.55618734 0.65912271]",1986.0,1985.0,9
1,compcrime,Iowa,[1978 1979 1980 1981 1982 1983 1984],"[0.0292489  0.03994583 0.04737403 0.07630906 0.11274553 0.18047528
 0.20394147]","[0.0292489  0.06802636 0.11217771 0.17992659 0.27238621 0.40370251
 0.52531229]",1984.0,1984.0,7
1,compcrime,Kansas,[1978 1979 1980 1981 1982 1983 1984 1985],"[0.04324302 0.10060329 0.06835364 0.0810486  0.14350637 0.12471279
 0.19026191 0.21494864]","[0.04324302 0.13949591 0.1983145  0.26328998 0.36901256 0.44770477
 0.55278551 0.64891366]",1985.0,1984.0,8
1,compcrime,Kentucky,[1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989],"[0.04717933 0.01589561 0.05809808 0.0138182  0.07234243 0.02480646
 0.08587536 0.08587536 0.08587536 0.08587536 0.08587536 0.08587536]","[0.04717933 0.062325   0.11680211 0.12900632 0.19201612 0.21205934
 0.27972402 0.34157798 0.3981202  0.44980684 0.49705488 0.54024547]",1984.0,1989.0,12
