policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
amber,Alabama,[1999 2000 2001 2002 2003 2004],[0.01200743 0.07438713 0.06647098 0.1413742  0.18383886 0.18383886],[0.01200743 0.08550136 0.14628898 0.2669817  0.40173895 0.51172258],2003,2004.0,6
amber,Arizona,[1999 2000 2001 2002 2003 2004],[0.02179142 0.05494468 0.05224311 0.19393222 0.19393222 0.19393222],[0.02179142 0.07553878 0.12383551 0.29375203 0.43071627 0.54111873],2002,2004.0,6
amber,Arkansas,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013]","[0.01392716 0.04300601 0.04913649 0.04913649 0.04913649 0.04913649
 0.04913649 0.04913649 0.04913649 0.04913649 0.04913649 0.04913649
 0.04913649 0.04913649 0.04913649]","[0.01392716 0.05633422 0.10270264 0.14679268 0.18871629 0.22857993
 0.2664848  0.30252716 0.33679852 0.36938592 0.40037208 0.42983569
 0.45785156 0.48449083 0.50982114]",2001,2013.0,15
amber,California,[1999 2000 2001 2002],[0.13140467 0.27599742 0.23757839 0.25469626],[0.13140467 0.37113474 0.52053954 0.64265632],2002,2001.0,4
amber,Colorado,[1999 2000 2001 2002 2003 2004],[0.02705928 0.07784882 0.11956665 0.19262946 0.19262946 0.19262946],[0.02705928 0.10280156 0.21007658 0.3622391  0.48509063 0.58427734],2002,2004.0,6
amber,Connecticut,[1999 2000 2001 2002 2003 2004],[0.04584995 0.04220741 0.0506098  0.2198651  0.2198651  0.2198651 ],[0.04584995 0.08612216 0.13237333 0.32313416 0.47195334 0.58805237],2002,2004.0,6
amber,Delaware,[1999 2000 2001 2002 2003 2004],[0.02666972 0.05955101 0.06158922 0.23504022 0.20429158 0.20429158],[0.02666972 0.08463252 0.14100929 0.34290666 0.47714529 0.58396011],2003,2004.0,6
amber,Florida,[1999 2000 2001 2002 2003 2004 2005 2006 2007],"[0.02147099 0.08659411 0.08659411 0.08659411 0.08659411 0.08659411
 0.08659411 0.08659411 0.08659411]","[0.02147099 0.10620584 0.18360316 0.25429832 0.31887169 0.37785339
 0.43172763 0.48093667 0.5258845 ]",2000,2007.0,9
amber,Georgia,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.01309001 0.07574469 0.08018483 0.09936697 0.09936697 0.09936697
 0.09936697 0.09936697]","[0.01309001 0.0878432  0.16098434 0.24435479 0.31944096 0.38706605
 0.44797144 0.50282484]",2002,2006.0,8
amber,Idaho,[1999 2000 2001 2002 2003 2004 2005],"[0.03163023 0.03515116 0.07321355 0.15915201 0.16118156 0.16118156
 0.16118156]","[0.03163023 0.06566955 0.1340752  0.27188888 0.38924697 0.4876891
 0.57026417]",2003,2005.0,7
amber,Illinois,[1999 2000 2001 2002 2003],[0.07880302 0.03882649 0.08098321 0.21703843 0.21703843],[0.07880302 0.11456986 0.18627484 0.36288447 0.50116302],2002,2003.0,5
amber,Indiana,[1999 2000 2001 2002 2003 2004 2005],"[0.0176235  0.02623244 0.08356238 0.14068983 0.14068983 0.14068983
 0.14068983]","[0.0176235  0.04339363 0.12332994 0.24666851 0.35265459 0.44372951
 0.52199111]",2002,2005.0,7
amber,Iowa,[1999 2000 2001 2002 2003 2004],[0.00946481 0.0256115  0.03509428 0.15750037 0.29355457 0.29355457],[0.00946481 0.0348339  0.06870572 0.21538491 0.44571225 0.60842595],2003,2004.0,6
amber,Kansas,[1999 2000 2001 2002 2003],[0.04858468 0.11637852 0.07603161 0.27701011 0.27701011],[0.04858468 0.15930899 0.22322808 0.43840175 0.59397015],2002,2003.0,5
amber,Kentucky,[1999 2000 2001 2002 2003],[0.02036314 0.03573555 0.09317821 0.25405741 0.25856414],[0.02036314 0.055371   0.14338984 0.361018   0.52623584],2003,2003.0,5
amber,Louisiana,[1999 2000 2001 2002 2003],[0.02048995 0.0487846  0.10998653 0.25090879 0.25090879],[0.02048995 0.06827495 0.17075216 0.37881773 0.53467782],2002,2003.0,5
amber,Maine,"[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
 2013]","[0.02450453 0.02792875 0.11159463 0.04543673 0.04543673 0.04543673
 0.04543673 0.04543673 0.04543673 0.04543673 0.04543673 0.04543673
 0.04543673 0.04543673 0.04543673]","[0.02450453 0.0517489  0.15756863 0.19584596 0.23238409 0.26726205
 0.30055527 0.33233575 0.36267224 0.39163033 0.41927266 0.44565901
 0.47084646 0.49488947 0.51784004]",2002,2013.0,15
amber,Maryland,[1999 2000 2001 2002 2003],[0.02593391 0.04892854 0.13961694 0.29650085 0.29650085],[0.02593391 0.07359354 0.20293558 0.43926586 0.60552401],2002,2003.0,5
amber,Massachusetts,[1999 2000 2001 2002 2003 2004],[0.02798587 0.05409323 0.04068212 0.22545123 0.22545123 0.22545123],[0.02798587 0.08056526 0.11796982 0.31682461 0.47084735 0.59014547],2002,2004.0,6
