fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,amber,Alabama,[1999 2000 2001 2002 2003],[0.01217642 0.09677484 0.08918767 0.15801366 0.26942882],[0.01217642 0.10777289 0.18734854 0.31575857 0.50011293],2003.0,2003.0,5
1,amber,Arizona,[1999 2000 2001 2002 2003 2004],[0.02062005 0.03486275 0.04203645 0.23343061 0.23343061 0.23343061],[0.02062005 0.05476393 0.0944983  0.30587011 0.46790127 0.5921094 ],2002.0,2004.0,6
1,amber,Arkansas,[1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010],"[0.02027453 0.02154124 0.06319141 0.06319141 0.06319141 0.06319141
 0.06319141 0.06319141 0.06319141 0.06319141 0.06319141 0.06319141]","[0.02027453 0.04137903 0.10195564 0.15870434 0.211867   0.26167024
 0.30832634 0.35203418 0.39298005 0.4313385  0.46727302 0.5009368 ]",2001.0,2010.0,12
1,amber,California,[1999 2000 2001 2002],[0.02987302 0.12262607 0.24756902 0.22045895],[0.02987302 0.14883587 0.35955775 0.50074898],2002.0,2002.0,4
1,amber,Colorado,[1999 2000 2001 2002 2003 2004],[0.01724971 0.06831311 0.10494392 0.2037752  0.2037752  0.2037752 ],[0.01724971 0.08438444 0.18047273 0.34747206 0.48044107 0.58631429],2002.0,2004.0,6
1,amber,Connecticut,[1999 2000 2001 2002 2003 2004],[0.0105819  0.01554308 0.0379528  0.23849033 0.23849033 0.23849033],[0.0105819  0.0259605  0.06292802 0.28641063 0.45659479 0.58619168],2002.0,2004.0,6
1,amber,Delaware,[1999 2000 2001 2002 2003 2004],[0.01588737 0.03239235 0.0382367  0.22860421 0.24447693 0.24447693],[0.01588737 0.04776509 0.08417541 0.29353677 0.46625073 0.59674011],2003.0,2004.0,6
1,amber,Florida,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.01397291 0.09377704 0.09377704 0.09377704 0.09377704 0.09377704
 0.09377704 0.09377704]","[0.01397291 0.10643961 0.19023506 0.26617242 0.33498859 0.39735139
 0.453866   0.50508082]",2000.0,2006.0,8
1,amber,Georgia,[1999 2000 2001 2002 2003 2004 2005],"[0.01166303 0.10609893 0.11118135 0.11250456 0.11250456 0.11250456
 0.11250456]","[0.01166303 0.11652452 0.21475052 0.30309466 0.38149969 0.45108379
 0.51283937]",2002.0,2005.0,7
1,amber,Idaho,[1999 2000 2001 2002 2003 2004 2005 2006],"[0.02837356 0.03039278 0.033078   0.11611699 0.14655001 0.14655001
 0.14655001 0.14655001]","[0.02837356 0.05790398 0.08906663 0.19484147 0.31283747 0.41354114
 0.4994867  0.57283693]",2003.0,2006.0,8
1,amber,Illinois,[1999 2000 2001 2002 2003 2004],[0.00995359 0.02048499 0.09836788 0.21181148 0.21181148 0.21181148],[0.00995359 0.03023468 0.12562844 0.31083038 0.45680442 0.57185948],2002.0,2004.0,6
1,amber,Indiana,[1999 2000 2001 2002 2003 2004 2005],"[0.01161499 0.03070595 0.09822524 0.1608512  0.1608512  0.1608512
 0.1608512 ]","[0.01161499 0.04196428 0.13606757 0.27503213 0.39164408 0.48949886
 0.57161358]",2002.0,2005.0,7
1,amber,Iowa,[1999 2000 2001 2002 2003 2004],[0.01025069 0.02870246 0.03054821 0.13423023 0.31559572 0.31559572],[0.01025069 0.03865894 0.06802619 0.19312524 0.44777146 0.62205242],2003.0,2004.0,6
1,amber,Kansas,[1999 2000 2001 2002 2003],[0.06621826 0.12262224 0.07057583 0.19544007 0.19544007],[0.06621826 0.18072066 0.23854198 0.38736139 0.50709552],2002.0,2003.0,5
