fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,arbitration act (2000),AL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.]","[0.04294981 0.04154434 0.03601442 0.040819   0.04820707 0.05910614
 0.04031267 0.03011514 0.0392131  0.02410209 0.04247971 0.03813888
 0.0432683  0.02530104 0.02530104 0.02530104 0.02530104 0.02530104
 0.02530104 0.02530104]","[0.04294981 0.08270983 0.11574551 0.15183989 0.1927272  0.24044199
 0.27106179 0.29301387 0.32073699 0.33710865 0.36526808 0.38947604
 0.41589237 0.4306709  0.44507552 0.45911568 0.47280061 0.4861393
 0.49914051 0.51181278]",,2020.0,20
1,arbitration act (2000),AK,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.04569245 0.06563905 0.04633603 0.03406339 0.05955662 0.06189188
 0.06282622 0.04959311 0.06776255 0.04270271 0.07118673 0.0370115
 0.0834985 ]","[0.04569245 0.1083323  0.14964864 0.17861449 0.22753343 0.27534284
 0.3208703  0.35455046 0.39828776 0.4239825  0.46498731 0.48478893
 0.52780828]",2004.0,2013.0,13
1,arbitration act (2000),AZ,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016.]","[0.04582339 0.09334868 0.04400231 0.04085695 0.07093477 0.07393813
 0.04216673 0.0313742  0.03947956 0.02313494 0.03909977 0.01999715
 0.04613774 0.02701258 0.02701258 0.02701258]","[0.04582339 0.13489452 0.17296116 0.20675144 0.26302035 0.31751124
 0.34628956 0.36679921 0.3917977  0.40586842 0.42909883 0.44051522
 0.46632859 0.48074443 0.49477086 0.50841841]",2010.0,2016.0,16
1,arbitration act (2000),AR,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017.]","[0.04835208 0.0537661  0.0361945  0.04033129 0.05783625 0.07473133
 0.04231402 0.03167229 0.04134392 0.02461504 0.04727929 0.02428147
 0.05570424 0.03274969 0.03274969 0.03274969 0.03274969]","[0.04835208 0.09951847 0.13211095 0.16711404 0.21528504 0.27392783
 0.30465086 0.32667416 0.35451209 0.3704008  0.40016781 0.41473261
 0.44733449 0.46543411 0.48294098 0.49987451 0.51625346]",2011.0,2017.0,17
1,arbitration act (2000),CA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.06721081 0.09111847 0.05310034 0.08657362 0.08740257 0.08587072
 0.0646737  0.04868978 0.06340418 0.039393   0.07832642 0.03344207
 0.07156587]","[0.06721081 0.15220514 0.19722333 0.26672261 0.33081294 0.38827651
 0.42783893 0.45569733 0.49020839 0.51029061 0.54864779 0.56374195
 0.59496313]",,2010.0,13
1,arbitration act (2000),CO,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.],"[0.05405601 0.12905756 0.04471676 0.06726255 0.11465303 0.11887558
 0.12055962 0.09641717]","[0.05405601 0.17613722 0.2129777  0.26591483 0.35007992 0.42733955
 0.49637927 0.54493696]",2004.0,2008.0,8
1,arbitration act (2000),CT,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017.]","[0.0482156  0.04922744 0.03565289 0.07535127 0.05124262 0.04916941
 0.04438733 0.03310366 0.04289424 0.02569665 0.04833544 0.02160751
 0.04640766 0.0271738  0.0271738  0.0271738  0.0271738 ]","[0.0482156  0.0950695  0.12733289 0.19308947 0.23443768 0.27207993
 0.30439035 0.32741758 0.35626749 0.37280926 0.4031248  0.41602179
 0.44312285 0.45825532 0.47297658 0.48729781 0.50122987]",,2017.0,17
1,arbitration act (2000),DE,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.]","[0.04429482 0.05362742 0.03226792 0.07103092 0.04473316 0.04913822
 0.03977042 0.02971538 0.03764363 0.02229983 0.03916997 0.01954535
 0.04123326 0.02408977 0.02408977 0.02408977 0.02408977 0.02408977
 0.02408977 0.02408977]","[0.04429482 0.09554683 0.12473165 0.18690277 0.22327517 0.26144205
 0.29081481 0.31188852 0.33779153 0.35255867 0.37791892 0.39007772
 0.4152268  0.42931385 0.44306155 0.45647807 0.46957139 0.48234929
 0.49481938 0.50698907]",,2020.0,20
1,arbitration act (2000),FL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.05819578 0.08065742 0.04452076 0.05578713 0.06818025 0.07509705
 0.05457738 0.04077921 0.05288094 0.03216288 0.06899635 0.03328339
 0.05966118]","[0.05819578 0.13415927 0.17270716 0.21885945 0.27211781 0.32677962
 0.36352222 0.38947728 0.4217623  0.44036009 0.4789732  0.49631473
 0.52636519]",2013.0,2013.0,13
1,arbitration act (2000),GA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018.]","[0.04734485 0.05013136 0.0370267  0.04972809 0.04834908 0.05951298
 0.0428472  0.03200156 0.04182985 0.02501246 0.04777568 0.02918265
 0.04658492 0.02727969 0.02727969 0.02727969 0.02727969 0.02727969]","[0.04734485 0.09510274 0.1286081  0.17194076 0.21197666 0.25887428
 0.29062944 0.3133304  0.34205369 0.35851054 0.38915814 0.40698412
 0.43460972 0.4500334  0.46503632 0.47962996 0.4938255  0.50763379]",,2018.0,18
1,arbitration act (2000),HI,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016.]","[0.04072823 0.04137191 0.03376715 0.02783552 0.04890374 0.05084388
 0.05162061 0.04064538 0.05572886 0.03495245 0.05858317 0.0302615
 0.06887679 0.04072823 0.04072823 0.04072823]","[0.04072823 0.08041513 0.1114669  0.13619967 0.17844274 0.2202139
 0.26046693 0.29052553 0.33006374 0.35347965 0.39135486 0.40977337
 0.45042629 0.47280945 0.49428099 0.51487803]",2001.0,2016.0,16
