fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,arbitration act (2000),AL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022.]","[0.04376456 0.02539666 0.05137781 0.04120906 0.03559314 0.05684199
 0.01959003 0.02737505 0.03096565 0.01741746 0.06045961 0.06468072
 0.02468243 0.02222767 0.02222767 0.02222767 0.02222767 0.02222767
 0.02222767 0.02222767 0.02222767 0.02222767]","[0.04376456 0.06804975 0.11593132 0.15236296 0.18253303 0.22899947
 0.2441034  0.26479611 0.28756217 0.29997103 0.34229451 0.38483538
 0.40001913 0.41335531 0.42639506 0.43914496 0.45161146 0.46380086
 0.47571932 0.48737286 0.49876736 0.5099086 ]",,2022.0,22
1,arbitration act (2000),AK,[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.],"[0.02463271 0.04785087 0.06817928 0.03530335 0.06177022 0.05959459
 0.06173069 0.06066957 0.10840556 0.05398968 0.06788681 0.0514575 ]","[0.02463271 0.07130489 0.13462266 0.16517337 0.21674079 0.26341881
 0.30888847 0.35081791 0.42119286 0.45244247 0.4896144  0.51587757]",2004.0,2012.0,12
1,arbitration act (2000),AZ,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021.]","[0.04970284 0.08672309 0.07013185 0.04290122 0.07256057 0.10589481
 0.02161099 0.01689673 0.02196172 0.01459863 0.02192415 0.01505671
 0.01592709 0.01591344 0.01591344 0.01591344 0.01591344 0.01591344
 0.01591344 0.01591344 0.01591344]","[0.04970284 0.13211555 0.1929819  0.22760396 0.28364946 0.35950726
 0.37334894 0.38393729 0.39746709 0.40626325 0.41928042 0.42802415
 0.43713406 0.44609119 0.45490579 0.46358012 0.4721164  0.48051685
 0.48878362 0.49691883 0.50492459]",2010.0,2021.0,21
1,arbitration act (2000),AR,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017.]","[0.03888732 0.03092615 0.04521617 0.0521447  0.06326522 0.05407519
 0.05516034 0.02005886 0.01891274 0.012942   0.05279282 0.03611967
 0.04678933 0.04550109 0.04550109 0.04550109 0.04550109]","[0.03888732 0.06861084 0.11072469 0.15709568 0.21042221 0.25311878
 0.294317   0.30847219 0.32155087 0.33033136 0.36568506 0.3885963
 0.41720347 0.44372135 0.46903264 0.49319223 0.51625254]",2011.0,2017.0,17
1,arbitration act (2000),CA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013.]","[0.12542052 0.19764228 0.05225205 0.07269712 0.08956556 0.03865482
 0.01432092 0.01219402 0.01616552 0.0124664  0.07845423 0.01535859
 0.0192896 ]","[0.12542052 0.2982744  0.334941   0.38328888 0.43852496 0.46022867
 0.4679587  0.47444642 0.48294226 0.48938811 0.52944778 0.5366748
 0.54561215]",,2011.0,13
1,arbitration act (2000),CO,[2001. 2002. 2003. 2004. 2005. 2006. 2007.],"[0.06221727 0.12441872 0.06794412 0.07062139 0.10777307 0.10999205
 0.12724516]","[0.06221727 0.178895   0.23468426 0.28873192 0.36538746 0.43518979
 0.50705916]",2004.0,2007.0,7
1,arbitration act (2000),CT,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.]","[0.07637612 0.02887968 0.03378419 0.10785218 0.04179434 0.02595529
 0.0168775  0.01675167 0.01786306 0.01403827 0.07190128 0.0163789
 0.02403481 0.02619731 0.02619731 0.02619731 0.02619731 0.02619731
 0.02619731 0.02619731]","[0.07637612 0.10305008 0.1333528  0.22682259 0.25913703 0.27836634
 0.29054571 0.30243026 0.31489099 0.32450874 0.37307742 0.38334573
 0.3981669  0.4139333  0.42928668 0.44423783 0.45879731 0.47297536
 0.48678199 0.50022692]",,2020.0,20
1,arbitration act (2000),DE,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021.]","[0.06537569 0.06284363 0.04593209 0.09171987 0.03415295 0.04729301
 0.01853964 0.01637847 0.02499357 0.02385739 0.03026842 0.0195311
 0.02828596 0.02387601 0.02387601 0.02387601 0.02387601 0.02387601
 0.02387601 0.02387601 0.02387601]","[0.06537569 0.12411087 0.16434229 0.24098871 0.26691118 0.30158115
 0.31452959 0.32575655 0.3426083  0.35829195 0.37771545 0.38986935
 0.40712747 0.42128291 0.43510036 0.44858791 0.46175343 0.47460461
 0.48714896 0.49939379 0.51134627]",,2021.0,21
1,arbitration act (2000),FL,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019.]","[0.0566811  0.07161564 0.04171749 0.04924104 0.04935844 0.05616288
 0.02104521 0.02042346 0.02499342 0.01746362 0.08224835 0.04502458
 0.02069423 0.02158361 0.02158361 0.02158361 0.02158361 0.02158361
 0.02158361]","[0.0566811  0.12423749 0.1607721  0.20209655 0.24147982 0.2840805
 0.29914718 0.31346101 0.33061997 0.34230977 0.39640371 0.42358038
 0.43550894 0.4476927  0.45961348 0.47127697 0.48268873 0.49385417
 0.50477862]",2013.0,2019.0,19
1,arbitration act (2000),GA,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024.
 2025. 2026. 2027. 2028. 2029. 2030.]","[0.04196207 0.02629111 0.0292892  0.05851235 0.02800773 0.05410146
 0.01851338 0.01745558 0.01823669 0.01412327 0.03805504 0.04510627
 0.01674323 0.0167791  0.0167791  0.0167791  0.0167791  0.0167791
 0.0167791  0.0167791  0.0167791  0.0167791  0.0167791  0.0167791
 0.0167791  0.0167791  0.0167791  0.0167791  0.0167791  0.0167791 ]","[0.04196207 0.06714996 0.09447239 0.14745694 0.17133474 0.21616674
 0.23067814 0.2441071  0.25789209 0.26837308 0.29621517 0.32796028
 0.33921239 0.35029982 0.3612012  0.37191968 0.3824583  0.3928201
 0.40300803 0.41302502 0.42287394 0.43255759 0.44207877 0.45144019
 0.46064453 0.46969443 0.47859248 0.48734123 0.49594319 0.50440081]",,2030.0,30
1,arbitration act (2000),HI,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015.]","[0.04381159 0.03184778 0.04403596 0.05880069 0.04178359 0.05999176
 0.05913162 0.04328225 0.0488129  0.03752786 0.05988447 0.03233675
 0.03442171 0.04381159 0.04381159]","[0.04381159 0.07426406 0.11502974 0.1670666  0.20186955 0.2497508
 0.29411425 0.32466657 0.35763155 0.38173827 0.41876255 0.43755788
 0.4569181  0.48071138 0.50346223]",2001.0,2015.0,15
1,arbitration act (2000),ID,"[2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011. 2012.
 2013. 2014. 2015. 2016.]","[0.06569833 0.09039989 0.07673956 0.08286323 0.06849864 0.05787864
 0.01877664 0.02280926 0.01766807 0.0140492  0.0518757  0.04464571
 0.01976893 0.01587652 0.01587652 0.01587652]","[0.06569833 0.1501591  0.21537552 0.28039204 0.32968421 0.36848117
 0.38033898 0.39447299 0.40517148 0.41352834 0.44395197 0.46877713
 0.47927884 0.48754608 0.49568207 0.50368888]",,2016.0,16
