fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,7.0,AL,"[1951. 1952. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962. 1963.
 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974. 1975.
 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986. 1987.
 1988. 1989. 1990. 1991.]","[0.02653465 0.02581892 0.02612214 0.02687588 0.02725813 0.02638162
 0.02861063 0.02472037 0.02384142 0.02388643 0.02321317 0.02257161
 0.02120202 0.02154418 0.01717689 0.01733346 0.01629911 0.0165911
 0.01756049 0.01577282 0.01272656 0.01536094 0.01411428 0.01304867
 0.01279028 0.01292314 0.01261879 0.01207522 0.0118679  0.01140825
 0.01140825 0.01140825 0.01140825 0.01140825 0.01140825 0.01140825
 0.01140825 0.01140825 0.01140825 0.01140825]","[0.02653465 0.05166848 0.07644092 0.10126239 0.1257603  0.14882416
 0.17317683 0.1936162  0.21284154 0.23164394 0.24947992 0.26642037
 0.28197374 0.29744303 0.30951077 0.32147933 0.33253862 0.34361254
 0.35513902 0.3653103  0.37338771 0.38301306 0.39172139 0.39965862
 0.40733716 0.41499622 0.42237827 0.42935318 0.43612555 0.44255837
 0.4489178  0.45520469 0.46141984 0.4675641  0.47363826 0.47964312
 0.48557948 0.49144812 0.4972498  0.5029853 ]",1981.0,1991.0,40
1,7.0,AR,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985.]","[0.02558561 0.02498154 0.02427723 0.02539572 0.02598805 0.02628147
 0.02523626 0.02751147 0.02394243 0.02296848 0.02334965 0.02261716
 0.02197154 0.02064814 0.02094204 0.01691053 0.01979432 0.01856869
 0.01890741 0.02006412 0.01991919 0.01607854 0.01607854 0.01607854
 0.01607854 0.01607854 0.01607854 0.01607854 0.01607854 0.01607854
 0.01607854 0.01607854 0.01607854 0.01607854 0.01607854]","[0.02558561 0.04992798 0.07299309 0.09653511 0.12001439 0.14314171
 0.16476561 0.18774413 0.20719151 0.22540112 0.24348773 0.26059789
 0.27684369 0.29177553 0.30660719 0.31833283 0.33182597 0.34423309
 0.35663194 0.36954055 0.3820988  0.39203375 0.40180895 0.41142699
 0.42089039 0.43020162 0.43936315 0.44837737 0.45724666 0.46597334
 0.47455971 0.48300802 0.4913205  0.49949932 0.50754664]",1972.0,1985.0,35
1,7.0,AZ,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970.]","[0.04878086 0.04763649 0.04598906 0.04775834 0.04197689 0.04266039
 0.04105542 0.04414077 0.04434858 0.04321954 0.04329864 0.04184542
 0.05114028 0.0479083  0.04183886 0.03361507 0.04534292 0.04327364
 0.05654548 0.04742562]","[0.04878086 0.09409359 0.13575538 0.17703027 0.21157597 0.24521045
 0.27619866 0.30814781 0.33883047 0.36740591 0.39479638 0.42012138
 0.44977654 0.47613681 0.49805465 0.51492757 0.53692217 0.55696124
 0.58201308 0.60183637]",1970.0,1966.0,20
1,7.0,CA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[0.05752451 0.05619275 0.05430235 0.05599454 0.05753136 0.05830032
 0.04875552 0.05210517 0.03943303 0.03817903 0.03824163 0.03729846
 0.03615046 0.03615046 0.03615046]","[0.05752451 0.11048481 0.15878757 0.20589087 0.25157705 0.29521035
 0.32957273 0.36450546 0.38956494 0.41287076 0.43532354 0.4563851
 0.47603703 0.49497854 0.5132353 ]",1963.0,1965.0,15
1,7.0,CO,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.05757764 0.05606502 0.05328885 0.05490594 0.03664616 0.03710653
 0.04172409 0.04512453 0.03931843 0.03819276 0.03848409 0.03715273
 0.04775632 0.04466143 0.0394222  0.03166267 0.03686892 0.03457951
 0.04478074]","[0.05757764 0.11041457 0.15781955 0.20406026 0.2332284  0.26168063
 0.29248633 0.32441255 0.35097559 0.37576363 0.39978679 0.42208635
 0.44968538 0.47426322 0.49498892 0.51097892 0.5290086  0.54529525
 0.56565726]",1969.0,1966.0,19
1,7.0,CT,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967.]","[0.0439498  0.0429628  0.04816804 0.04937728 0.03290071 0.03385323
 0.04166146 0.04166146 0.04166146 0.04166146 0.04166146 0.04166146
 0.04166146 0.04166146 0.04166146 0.04166146 0.04166146]","[0.0439498  0.0850244  0.12909698 0.1720998  0.1993383  0.22644329
 0.25867079 0.28955565 0.3191538  0.34751885 0.37470217 0.40075299
 0.4257185  0.4496439  0.47257254 0.49454594 0.5156039 ]",1957.0,1967.0,17
1,7.0,DE,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.03411673 0.03310636 0.04938361 0.05076415 0.04551172 0.04706695
 0.04369799 0.0592142  0.05113256 0.0495369  0.04287856 0.04184884
 0.04068595 0.03836209 0.05024333 0.04010047 0.03519543 0.0332233
 0.05168001]","[0.03411673 0.06609361 0.11221328 0.15728102 0.19563461 0.23349363
 0.26698842 0.31039312 0.34565448 0.37806873 0.40473625 0.42964735
 0.45285268 0.4738424  0.50027831 0.52031738 0.53720002 0.55257576
 0.57569865]",1969.0,1965.0,19
1,7.0,FL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983.]","[0.03080658 0.02994864 0.03725794 0.03031233 0.03091621 0.03138252
 0.03005149 0.03244033 0.02824903 0.02709527 0.02708743 0.02628569
 0.02551397 0.0240397  0.02444568 0.01964366 0.02329257 0.02218583
 0.02288327 0.0190994  0.01476755 0.01197095 0.01129045 0.01129045
 0.01129045 0.01129045 0.01129045 0.01129045 0.01129045 0.01129045
 0.01129045 0.01129045 0.01129045]","[0.03080658 0.05983261 0.09486131 0.12229817 0.14943339 0.17612631
 0.20088494 0.2268085  0.24865041 0.26900842 0.2888091  0.30750325
 0.32517159 0.34139426 0.35749433 0.3701155  0.38478712 0.39843613
 0.41220188 0.42342847 0.43194302 0.43874321 0.44508004 0.45134534
 0.45753989 0.46366451 0.46971998 0.47570707 0.48162657 0.48747924
 0.49326583 0.49898708 0.50464374]",1973.0,1983.0,33
1,7.0,GA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.02711701 0.02638582 0.03269352 0.02657687 0.02726838 0.02762284
 0.02651475 0.0287985  0.02495301 0.02410154 0.02421924 0.03009078
 0.02935448 0.02756839 0.03591479 0.02900987 0.0294965  0.02773882
 0.02819809 0.0297661  0.02677461 0.02173837 0.02618768 0.02390035
 0.02177365 0.02131945 0.02154868 0.02111438 0.02016272 0.01981721
 0.02445989 0.02264444 0.02314415 0.024011   0.02445107 0.0250479
 0.02526928 0.02566464 0.02578957 0.02572735 0.02549471 0.0258627
 0.02594337 0.02634776 0.02666683 0.02716287 0.02741709 0.02822017
 0.02857571 0.02920562 0.02914725 0.02886335 0.03326517 0.0334791
 0.03917842]","[0.02711701 0.05278732 0.08375504 0.10810596 0.13242647 0.15639131
 0.17875938 0.20240988 0.22231215 0.24105562 0.25943668 0.2817208
 0.30280552 0.32202604 0.34637534 0.3653369  0.38405724 0.40114277
 0.4180294  0.4353524  0.45047062 0.46241649 0.47649456 0.48900652
 0.50013271 0.51078961 0.52133145 0.53143823 0.54088571 0.54998408
 0.56099142 0.57093252 0.58086293 0.59092682 0.6009291  0.61092499
 0.62075663 0.63048978 0.64001929 0.64928064 0.65822212 0.66706142
 0.67569897 0.68424358 0.6926638  0.70101193 0.70920932 0.71741548
 0.72549053 0.73350775 0.74127526 0.74874293 0.75710104 0.76523308
 0.77443087]",,1975.0,55
1,7.0,IA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968.]","[0.05107694 0.04977416 0.04734012 0.05033975 0.04935311 0.0499117
 0.03202228 0.03463662 0.0297153  0.02861237 0.04466691 0.0435744
 0.02783786 0.02609268 0.03110912 0.03110912 0.03110912 0.03110912]","[0.05107694 0.09830879 0.14099497 0.18423706 0.2244975  0.26320415
 0.28679803 0.31150094 0.3319599  0.35107411 0.38005962 0.40707315
 0.42357897 0.43861934 0.45608339 0.47300416 0.48939854 0.5052829 ]",1965.0,1968.0,18
