fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,7.0,AL,"[1951. 1952. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962. 1963.
 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974. 1975.
 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986. 1987.
 1988. 1989. 1990.]","[0.02672967 0.02602671 0.02631735 0.02704801 0.02741062 0.02655165
 0.02873267 0.02492606 0.02405895 0.02410048 0.02344055 0.02280896
 0.02145406 0.02178283 0.0174685  0.01762094 0.01659229 0.016881
 0.01786602 0.01609292 0.01306121 0.01571495 0.01447735 0.0134132
 0.01314354 0.0132805  0.01297515 0.01243555 0.01223625 0.01178075
 0.01178075 0.01178075 0.01178075 0.01178075 0.01178075 0.01178075
 0.01178075 0.01178075 0.01178075]","[0.02672967 0.05206069 0.07700794 0.10197304 0.12658851 0.14977903
 0.17420814 0.19479188 0.21416434 0.23310336 0.25107984 0.26816193
 0.28386282 0.29946232 0.31169966 0.32382816 0.3350474  0.34627246
 0.35795197 0.3682844  0.37653537 0.38633309 0.39521736 0.40332943
 0.41117179 0.41899172 0.42653039 0.4336618  0.44059166 0.44718191
 0.45369452 0.46013041 0.46649049 0.47277563 0.47898673 0.48512466
 0.49119028 0.49718444 0.50310799]",1981.0,1990.0,39
1,7.0,AR,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.]","[0.02583151 0.02524182 0.02454726 0.02564698 0.02621919 0.02650345
 0.02547646 0.02769165 0.02418866 0.02323259 0.02360221 0.02287953
 0.02224112 0.02093229 0.02122085 0.01722585 0.02045326 0.01921751
 0.01955484 0.0207582  0.02026293 0.01644864 0.01644864 0.01644864
 0.01644864 0.01644864 0.01644864 0.01644864 0.01644864 0.01644864
 0.01644864 0.01644864 0.01644864 0.01644864]","[0.02583151 0.05042129 0.07373084 0.09748685 0.12115001 0.14444256
 0.16623914 0.18932735 0.20893644 0.2273149  0.24555198 0.26281339
 0.27920925 0.29429705 0.30927267 0.32117104 0.3350553  0.34783388
 0.36058688 0.37385995 0.38654739 0.39663784 0.40656233 0.41632357
 0.42592425 0.43536701 0.44465446 0.45378913 0.46277356 0.4716102
 0.48030149 0.48884982 0.49725755 0.50552698]",1972.0,1984.0,34
1,7.0,AZ,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970.]","[0.04947983 0.04835684 0.04661693 0.04836649 0.0419389  0.04258999
 0.0410189  0.0440143  0.04504392 0.04391947 0.04396463 0.0425202
 0.05176598 0.04858405 0.04179701 0.03377376 0.04511557 0.04312329
 0.05600413 0.04719448]","[0.04947983 0.09544398 0.13761161 0.17932231 0.21374062 0.2472274
 0.27810531 0.30987899 0.34096474 0.36990922 0.39761093 0.42322463
 0.45308198 0.47965347 0.5014024  0.51824191 0.53997671 0.55981442
 0.58446663 0.60407751]",1970.0,1965.0,20
1,7.0,CA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[0.05679824 0.05550876 0.05365067 0.05527083 0.05679435 0.05751955
 0.04916613 0.05243133 0.03929944 0.03808149 0.03814146 0.03721963
 0.03610471 0.03610471 0.03610471]","[0.05679824 0.1091542  0.15694868 0.20354482 0.24877897 0.29198887
 0.32679904 0.36209586 0.38716514 0.4105028  0.43298709 0.4540911
 0.47380098 0.49279924 0.51111158]",1963.0,1965.0,15
1,7.0,CO,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.05692592 0.0554695  0.05279065 0.0543471  0.0372533  0.03769333
 0.04159814 0.04487231 0.03926219 0.03816877 0.03839781 0.03710855
 0.04739444 0.04440603 0.04004375 0.03235652 0.03684691 0.03462236
 0.04457841]","[0.05692592 0.10923777 0.15626168 0.20211641 0.23184021 0.26079471
 0.29154427 0.32333432 0.34990169 0.37471515 0.39872472 0.42103717
 0.44847679 0.47296775 0.4940721  0.51044216 0.52848086 0.54480596
 0.56509779]",1969.0,1966.0,19
1,7.0,CT,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967.]","[0.04431301 0.04334461 0.04758388 0.04874257 0.03335933 0.03427815
 0.04184969 0.04184969 0.04184969 0.04184969 0.04184969 0.04184969
 0.04184969 0.04184969 0.04184969 0.04184969 0.04184969]","[0.04431301 0.08573689 0.12924108 0.1716841  0.19931616 0.22676212
 0.25912189 0.29012741 0.31983536 0.34830004 0.37557348 0.40170554
 0.42674398 0.45073457 0.47372116 0.49574576 0.51684865]",1957.0,1967.0,17
1,7.0,DE,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.03463799 0.03365955 0.04890048 0.05025323 0.04606887 0.04760036
 0.04424668 0.05950718 0.05161072 0.05010031 0.04270812 0.04169497
 0.04053724 0.03826633 0.04989493 0.04005951 0.0357071  0.03376081
 0.05105113]","[0.03463799 0.06713164 0.11274935 0.15733656 0.19615711 0.23442033
 0.26829469 0.31183641 0.34735303 0.38005084 0.40652771 0.43127252
 0.45432716 0.47520805 0.50139251 0.52136648 0.5384571  0.55403916
 0.57680596]",1969.0,1965.0,19
1,7.0,FL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982.]","[0.03093362 0.03009496 0.03727542 0.03043895 0.03101875 0.03146885
 0.03017284 0.03249963 0.02841196 0.02728712 0.02728104 0.0265021
 0.02573233 0.02428316 0.02468284 0.01995891 0.02392215 0.02281431
 0.02350541 0.01971788 0.01506689 0.01228404 0.01159588 0.01159588
 0.01159588 0.01159588 0.01159588 0.01159588 0.01159588 0.01159588
 0.01159588 0.01159588]","[0.03093362 0.06009764 0.09513289 0.1226761  0.14988959 0.17664159
 0.20148465 0.2274361  0.24938616 0.26986825 0.289787   0.30860914
 0.32640023 0.34275737 0.35897998 0.37177405 0.38680256 0.40079224
 0.41487686 0.42641425 0.4350564  0.44199619 0.44846674 0.45486225
 0.46118361 0.46743166 0.47360726 0.47971125 0.48574446 0.49170771
 0.4976018  0.50342756]",1973.0,1982.0,32
1,7.0,GA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.02735651 0.02663097 0.03285413 0.02680701 0.0274703  0.0278155
 0.02673167 0.02896276 0.02519163 0.02435918 0.02447273 0.03027543
 0.02954422 0.02779498 0.03598066 0.02921183 0.0296793  0.0279464
 0.0283949  0.02998169 0.02704409 0.02208161 0.0264947  0.02425237
 0.02216415 0.02171182 0.02194946 0.0215146  0.02057892 0.02024627
 0.02489417 0.02309576 0.02357812 0.02443678 0.02485369 0.02542813
 0.02564513 0.02603301 0.02614251 0.02607662 0.02585061 0.0262138
 0.02626696 0.02665073 0.02692588 0.02741482 0.02764547 0.02843951
 0.02878412 0.0293957  0.02931498 0.02901069 0.03391604 0.03412019
 0.03904425]","[0.02735651 0.05325895 0.0843633  0.10890879 0.13338733 0.1574926
 0.18001422 0.20376327 0.22382178 0.24272885 0.26126134 0.28362697
 0.30479165 0.32411496 0.34843375 0.36746719 0.38624032 0.40339269
 0.4203333  0.43771268 0.45291923 0.46499966 0.47917434 0.49180559
 0.50306929 0.51385856 0.52452911 0.53475867 0.54433284 0.5535584
 0.56467219 0.57472642 0.58475357 0.59490086 0.60496907 0.61501397
 0.62488699 0.63465231 0.64420341 0.65348138 0.6624391  0.67128786
 0.67992213 0.68845243 0.69684113 0.70515217 0.71330338 0.72145689
 0.72947451 0.7374268  0.74512413 0.75251825 0.76091185 0.76906959
 0.77808609]",,1975.0,55
1,7.0,IA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968.]","[0.05039073 0.04913633 0.04674771 0.04961507 0.04873236 0.04926068
 0.03250154 0.03507664 0.03025827 0.02917196 0.04426502 0.04322111
 0.02835234 0.02662042 0.031196   0.031196   0.031196   0.031196  ]","[0.05039073 0.09705104 0.13926184 0.18196743 0.22183209 0.26016517
 0.28421094 0.30931842 0.33021725 0.34975613 0.37853918 0.40539941
 0.42225773 0.43763747 0.45518093 0.4721771  0.48864307 0.50459536]",1965.0,1968.0,18
1,7.0,ID,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971.]","[0.05253102 0.05176939 0.04898784 0.05084681 0.05119394 0.05217212
 0.04461682 0.04788974 0.04162548 0.03993282 0.04542412 0.0443933
 0.05448028 0.05108796 0.05309904 0.04219648 0.05401989 0.05048268
 0.06557155 0.05504442 0.04187718]","[0.05253102 0.10158091 0.14559252 0.18903642 0.23055284 0.27069653
 0.30323573 0.33660359 0.36421778 0.38960636 0.41733296 0.44319947
 0.47353412 0.50043019 0.52695686 0.54691762 0.57139308 0.5930303
 0.61971594 0.64064845 0.65569708]",1971.0,1964.0,21
1,7.0,IL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973.]","[0.03008037 0.02908426 0.04257732 0.04381946 0.04457355 0.04574106
 0.04394569 0.04649855 0.0360715  0.0348576  0.03365398 0.03281786
 0.03174273 0.02989517 0.03882682 0.03155599 0.03182423 0.02984251
 0.04524618 0.04725219 0.04771137 0.0389953  0.02810768]","[0.03008037 0.05828977 0.09838527 0.13789353 0.17632068 0.21399664
 0.2485381  0.28347999 0.30932594 0.33340118 0.35583488 0.37697501
 0.39675152 0.41478574 0.43750775 0.45525775 0.47259375 0.48833288
 0.51148386 0.53456732 0.55677375 0.57405749 0.58602975]",1973.0,1969.0,23
1,7.0,IN,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.02770062 0.0268028  0.03961359 0.0400335  0.04077573 0.04120418
 0.03950661 0.04204638 0.03257448 0.03157898 0.03025462 0.02975045
 0.02887027 0.02711549 0.03152078 0.02541869 0.02250298 0.02114004
 0.04077451 0.03333852 0.03011029 0.02450221 0.02991965 0.03442868
 0.02795355 0.02754891 0.02806662 0.02744027 0.02957906 0.02862983
 0.02747645 0.02518491 0.0253844  0.02618822 0.0263939  0.0268418
 0.02710075 0.02739675 0.01855194 0.01845754 0.0181852  0.01856436
 0.01859989 0.01888483 0.01889951 0.01908938 0.01927433 0.01988483
 0.01991318 0.02021576 0.02006844 0.02005161 0.02020946 0.02026936
 0.03010452]","[0.02770062 0.05376096 0.09124488 0.12762553 0.16319724 0.19767701
 0.22937407 0.2617761  0.28582336 0.30837634 0.32930115 0.34925474
 0.36804193 0.38517779 0.40455746 0.41969283 0.43275148 0.44474313
 0.46738346 0.48514011 0.50064269 0.51287804 0.52745256 0.54372175
 0.55647634 0.56869494 0.58080021 0.59230317 0.60436246 0.61568949
 0.62624898 0.63566187 0.64491037 0.65420953 0.66333629 0.67237296
 0.6812519  0.68998456 0.69573595 0.70135191 0.70678289 0.71222627
 0.71757884 0.72291231 0.72814913 0.7333386  0.73847832 0.74367863
 0.74878281 0.75386135 0.75880097 0.7636374  0.76841416 0.77310826
 0.77993872]",,1971.0,55
1,7.0,KS,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.05201151 0.05197659 0.04929016 0.05163642 0.05140157 0.05176416
 0.0337278  0.03718024 0.03192527 0.03097719 0.04651741 0.04522559
 0.04390188 0.04136979 0.04220517 0.03426287 0.02305371 0.02167741
 0.02809776]","[0.05201151 0.10128473 0.14558255 0.18970161 0.23135222 0.27114063
 0.29572345 0.32190862 0.34355687 0.36389163 0.39348174 0.42091189
 0.44633495 0.46923995 0.49164077 0.50905862 0.52037664 0.53077363
 0.54395784]",1969.0,1966.0,19
1,7.0,KY,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975.]","[0.02639308 0.02575158 0.02512464 0.02606197 0.02640615 0.02681672
 0.02589742 0.02801369 0.02426    0.0234211  0.02373454 0.02310182
 0.02249409 0.0210155  0.02147687 0.01740767 0.01765475 0.01952477
 0.02528707 0.03393499 0.0487288  0.04290772 0.0512453  0.04761183
 0.04761183]","[0.02639308 0.051465   0.0752966  0.09939619 0.12317767 0.14669117
 0.16878967 0.19207494 0.2116752  0.23013863 0.24841094 0.26577401
 0.28228975 0.2973728  0.31246303 0.32443144 0.33635843 0.34931588
 0.36576977 0.38729237 0.41714888 0.44215769 0.47074449 0.49594331
 0.51994237]",1974.0,1975.0,25
1,7.0,LA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.02872729 0.02792762 0.02720729 0.02826721 0.02860162 0.02902953
 0.02824966 0.03039734 0.02628361 0.02525984 0.02540362 0.02461635
 0.02397789 0.02240706 0.02274569 0.01839504 0.01869485 0.01758909
 0.01760992 0.01459853 0.01308913 0.01343776 0.01267091 0.01182107
 0.01398112 0.0137344  0.01393779 0.01373735 0.01327144 0.01556804
 0.01517464 0.01398116 0.0139015  0.01193954 0.01195191 0.01179463
 0.01168753 0.01185025 0.01197965 0.0121616  0.01434825 0.01234687
 0.01240501 0.01267283 0.01271699 0.01510182 0.01532245 0.0156278
 0.01555669 0.01570139 0.01618753 0.01620063 0.01624703 0.01397127
 0.01430729]","[0.02872729 0.05585263 0.08154032 0.10750262 0.13302949 0.15819723
 0.18197788 0.20684357 0.22769059 0.247199   0.26632287 0.28438333
 0.30154231 0.31719269 0.33272362 0.34499819 0.35724335 0.36854885
 0.37966865 0.38872458 0.39672564 0.40483229 0.41237361 0.41931998
 0.42743854 0.43530232 0.44317296 0.45082229 0.45811067 0.46654682
 0.47464178 0.4819869  0.48918806 0.49528692 0.5013192  0.50720096
 0.51296056 0.5187321  0.52449752 0.5302804  0.53702005 0.54273641
 0.54840877 0.5541317  0.55980181 0.5664496  0.57309266 0.57976428
 0.58630176 0.59279739 0.599389   0.60587915 0.61228244 0.61769935
 0.62316903]",,1985.0,55
1,7.0,MA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[0.03898677 0.0378034  0.05436191 0.05597969 0.05091279 0.05164941
 0.0602657  0.06425386 0.07934161 0.07690592 0.09026554 0.08833585
 0.07338679 0.06900932 0.08165802]","[0.03898677 0.07531634 0.12558391 0.17453345 0.21656025 0.25702445
 0.30180039 0.34666241 0.39849926 0.44475823 0.49487743 0.53949786
 0.57329263 0.60273942 0.63517893]",1965.0,1962.0,15
1,7.0,MD,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.03981804 0.03894761 0.0378874  0.03864591 0.03939228 0.04006875
 0.03861895 0.05155359 0.03815571 0.0370178  0.03740006 0.03650668
 0.03534314 0.03331832 0.03387024 0.03387024 0.03387024 0.03387024
 0.03387024]","[0.03981804 0.07721483 0.11217676 0.1464875  0.1801093  0.21296129
 0.2433559  0.28236362 0.30974554 0.33529725 0.36015717 0.38351571
 0.4053042  0.42511846 0.44458984 0.46340171 0.48157643 0.49913556
 0.51609996]",1965.0,1969.0,19
1,7.0,ME,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971.]","[0.04069157 0.03981993 0.03830576 0.03962368 0.02707024 0.02734003
 0.02630942 0.02841498 0.03109979 0.04496261 0.04459665 0.04330488
 0.04192057 0.03964074 0.04533175 0.03652724 0.02762475 0.02591636
 0.02635991 0.02192946 0.01949235]","[0.04069157 0.07889117 0.11417495 0.14927459 0.17230394 0.19493318
 0.21611401 0.23838812 0.26207409 0.29525316 0.32668251 0.35584044
 0.38284398 0.4073085  0.43417624 0.45484423 0.46990402 0.48364218
 0.49725332 0.50827829 0.5178631 ]",1971.0,1970.0,21
