fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,7.0,AL,"[1951. 1952. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962. 1963.
 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974. 1975.
 1976. 1977. 1978. 1979. 1980. 1981.]","[0.177      0.1685     0.13943333 0.21       0.026      0.008
 0.002      0.012      0.016      0.0137     0.008      0.006
 0.00733333 0.006      0.154      0.064      0.03       0.014
 0.05       0.072      0.03       0.134      0.02       0.022
 0.02       0.034      0.014      0.05       0.024      0.018     ]","[0.177      0.3156755  0.41109315 0.53476359 0.54685973 0.55048485
 0.55138388 0.55676728 0.563859   0.56983413 0.57327546 0.57583581
 0.57894634 0.58147267 0.64592588 0.66858662 0.67852902 0.68302962
 0.69887813 0.72055891 0.72894214 0.76526389 0.76995862 0.77501953
 0.77951914 0.78701549 0.78999727 0.80049741 0.80528547 0.80879033]",1981.0,1955.0,30
1,7.0,AR,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991.]","[0.0925 0.0925 0.078  0.0685 0.0625 0.0325 0.016  0.     0.0104 0.0074
 0.     0.     0.0004 0.0004 0.     0.012  0.014  0.006  0.012  0.028
 0.002  0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.    ]","[0.0925     0.17644375 0.24068114 0.29269448 0.33690107 0.35845179
 0.36871656 0.36871656 0.37528191 0.37990482 0.37990482 0.37990482
 0.38015286 0.3804008  0.3804008  0.38783599 0.39640629 0.40002785
 0.40722751 0.42382514 0.42497749 0.42497749 0.42497749 0.42497749
 0.42497749 0.42497749 0.42497749 0.42497749 0.42497749 0.42497749
 0.42497749 0.42497749 0.42497749 0.42497749 0.42497749 0.42497749
 0.42497749 0.42497749 0.42497749 0.42497749 0.42497749]",1972.0,,41
1,7.0,AZ,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970.]","[0.044 0.052 0.046 0.052 0.036 0.05  0.052 0.026 0.034 0.05  0.056 0.088
 0.294 0.19  0.138 0.07  0.044 0.026 0.076 0.04 ]","[0.044      0.093712   0.13540125 0.18036038 0.20986741 0.24937404
 0.28840659 0.30690802 0.33047314 0.36394949 0.39956832 0.4524063
 0.61339885 0.68685307 0.73006735 0.74896263 0.76000828 0.76624806
 0.78401321 0.79265268]",1970.0,1963.0,20
1,7.0,CA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963.]","[0.032 0.05  0.098 0.072 0.04  0.033 0.052 0.07  0.144 0.166 0.24  0.212
 0.284]","[0.032      0.0804     0.1705208  0.2302433  0.26103357 0.28541946
 0.32257765 0.36999721 0.46071762 0.55023849 0.65818125 0.73064683
 0.80714313]",1963.0,1960.0,13
1,7.0,CO,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.036 0.044 0.046 0.048 0.032 0.04  0.022 0.006 0.036 0.036 0.032 0.024
 0.042 0.068 0.208 0.044 0.042 0.064 0.278]","[0.036      0.078416   0.12080886 0.16301004 0.18979372 0.22220197
 0.23931353 0.24387764 0.27109805 0.29733852 0.31982369 0.33614792
 0.36402971 0.40727569 0.53056234 0.5512176  0.57006646 0.59758221
 0.70945435]",1969.0,1965.0,19
1,7.0,CT,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966.]","[0.006      0.008      0.038      0.009      0.01333333 0.00933333
 0.06       0.06       0.06       0.06       0.06       0.06
 0.06       0.06       0.06       0.06      ]","[0.006      0.013952   0.05142182 0.05995903 0.07249291 0.08114964
 0.13628066 0.18810382 0.23681759 0.28260854 0.32565202 0.3661129
 0.40414613 0.43989736 0.47350352 0.50509331]",1957.0,1966.0,16
1,7.0,DE,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969.]","[0.04333333 0.0188     0.02       0.008      0.002      0.006
 0.004      0.19       0.118      0.138      0.062      0.076
 0.118      0.202      0.106      0.034      0.012      0.038
 0.302     ]","[0.04333333 0.06131867 0.08009229 0.08745155 0.08927665 0.09474099
 0.09836203 0.26967324 0.3558518  0.44474425 0.47917011 0.51875318
 0.5755403  0.66128116 0.69718536 0.70748106 0.71099128 0.72197362
 0.80593758]",1969.0,1962.0,19
1,7.0,FL,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976.]","[0.008 0.006 0.09  0.018 0.008 0.002 0.004 0.    0.006 0.006 0.006 0.004
 0.004 0.    0.    0.048 0.17  0.048 0.012 0.044 0.016 0.034 0.038 0.038
 0.038 0.038]","[0.008      0.013952   0.10269632 0.11884779 0.125897   0.12764521
 0.13113463 0.13113463 0.13634782 0.14152973 0.14668056 0.15009383
 0.15349346 0.15349346 0.15349346 0.19412577 0.33112439 0.36323042
 0.37087166 0.3985533  0.40817645 0.42829845 0.45002311 0.47092223
 0.49102719 0.51036815]",1973.0,1976.0,26
1,7.0,GA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965. 1966. 1967. 1968. 1969. 1970. 1971. 1972. 1973. 1974.
 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984. 1985. 1986.
 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996. 1997. 1998.
 1999. 2000. 2001. 2002. 2003. 2004. 2005.]","[0.10933333 0.03733333 0.018      0.02133333 0.         0.
 0.004      0.         0.002      0.         0.002      0.006
 0.002      0.004      0.032      0.008      0.006      0.004
 0.008      0.016      0.044      0.142      0.042      0.012
 0.012      0.014      0.012      0.016      0.02       0.016
 0.044      0.036      0.032      0.074      0.018      0.018
 0.014      0.014      0.02       0.01       0.008      0.012
 0.024      0.024      0.006      0.008      0.012      0.006
 0.01       0.106      0.036      0.056      0.014      0.008
 0.032     ]","[0.10933333 0.14258489 0.15801836 0.17598064 0.17598064 0.17598064
 0.17927671 0.17927671 0.18091816 0.18091816 0.18255632 0.18746099
 0.18908606 0.19232972 0.21817517 0.22442977 0.22908319 0.23216686
 0.23830952 0.25049657 0.28347472 0.38522131 0.41104201 0.41810951
 0.4250922  0.43314091 0.43994321 0.44890412 0.45992604 0.46856722
 0.49195027 0.51024006 0.52591237 0.56099486 0.56889695 0.57665681
 0.58258361 0.58842744 0.59665889 0.6006923  0.60388676 0.60864012
 0.61803276 0.62719997 0.62943677 0.63240128 0.63681246 0.63899159
 0.64260167 0.6804859  0.6919884  0.70923705 0.71330773 0.71560127
 0.72470203]",,1982.0,55
1,7.0,IA,"[1951. 1952. 1953. 1954. 1955. 1956. 1957. 1958. 1959. 1960. 1961. 1962.
 1963. 1964. 1965.]","[0.006 0.014 0.02  0.04  0.008 0.01  0.024 0.006 0.016 0.014 0.016 0.008
 0.01  0.042 0.64 ]","[0.006      0.019916   0.03951768 0.07793697 0.08531348 0.09446034
 0.11619329 0.12149613 0.1355522  0.14765447 0.16129199 0.16800166
 0.17632164 0.21091613 0.71592981]",1965.0,1965.0,15
