fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,1,Alabama,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.03082432 0.03082432 0.03082432 0.03082432 0.03082432 0.03082432
 0.03082432 0.03082432 0.03082432 0.03082432 0.03082432 0.03082432
 0.03082432 0.03082432 0.03082432 0.03082432 0.03082432 0.03082432
 0.03082432 0.03082432]","[0.03082432 0.06069851 0.08965184 0.1177127  0.14490861 0.17126622
 0.19681138 0.22156912 0.24556373 0.26881871 0.29135688 0.31320032
 0.33437046 0.35488804 0.37477318 0.39404537 0.41272351 0.43082591
 0.44837032 0.46537393]",1997.0,,20
1,1,Alaska,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016]","[0.00454367 0.00454367 0.00454367 0.00454367 0.00454367 0.00454367
 0.00454367 0.00454367 0.00454367 0.00454367 0.00454367 0.00454367
 0.00454367 0.00454367 0.00454367 0.00454367 0.00454367 0.00454367
 0.00454367 0.00454367]","[0.00454367 0.00906669 0.01356917 0.01805118 0.02251284 0.02695421
 0.03137541 0.03577652 0.04015764 0.04451884 0.04886023 0.0531819
 0.05748393 0.06176641 0.06602943 0.07027309 0.07449746 0.07870264
 0.08288871 0.08705576]",1997.0,,20
1,1,Arizona,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00823179 0.00732696 0.00706208 0.0064075  0.00474393 0.00521575
 0.00528961 0.00496957 0.00420872 0.00369963 0.00279322 0.00282576
 0.00395266 0.00373963 0.00374538 0.00375852 0.00375852 0.00375852
 0.00375852 0.00375852 0.00375852 0.00375852 0.00375852 0.00375852
 0.00375852 0.00375852 0.00375852 0.00375852 0.00375852 0.00375852
 0.00375852 0.00375852 0.00375852 0.00375852 0.00375852]","[0.00823179 0.01549844 0.02245107 0.02871471 0.03332242 0.03836437
 0.04345105 0.04820469 0.05221052 0.055717   0.05835459 0.06101546
 0.06472694 0.06822452 0.07171437 0.07520335 0.07867922 0.08214203
 0.08559182 0.08902865 0.09245255 0.09586359 0.09926181 0.10264726
 0.10601998 0.10938002 0.11272744 0.11606227 0.11938457 0.12269439
 0.12599176 0.12927674 0.13254938 0.13580971 0.13905779]",,,35
1,1,Arkansas,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023]","[0.02828645 0.04077468 0.04193624 0.0433868  0.03663488 0.03475639
 0.03114549 0.02748989 0.02477857 0.02401786 0.01493163 0.01537141
 0.01767568 0.0163047  0.01618796 0.02432198 0.02432198 0.02432198
 0.02432198 0.02432198 0.02432198 0.02432198 0.02432198 0.02432198
 0.02432198 0.02432198 0.02432198]","[0.02828645 0.06790776 0.10699621 0.14574079 0.17703647 0.20563971
 0.23038045 0.2515372  0.27008304 0.28761408 0.29825117 0.30903804
 0.32125126 0.33231805 0.34312646 0.35910293 0.37469081 0.38989957
 0.40473843 0.41921637 0.43334218 0.44712442 0.46057145 0.47369143
 0.48649229 0.49898182 0.51116758]",,2023.0,27
1,1,California,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00853068 0.00876718 0.00535229 0.00475355 0.00403412 0.00397965
 0.00349391 0.00435743 0.00385613 0.00338528 0.00393955 0.00376259
 0.0035604  0.00402173 0.00325559 0.00501075 0.00501075 0.00501075
 0.00501075 0.00501075 0.00501075 0.00501075 0.00501075 0.00501075
 0.00501075 0.00501075 0.00501075 0.00501075 0.00501075 0.00501075
 0.00501075 0.00501075 0.00501075 0.00501075 0.00501075]","[0.00853068 0.01722306 0.02248317 0.02712984 0.03105452 0.03491059
 0.03828252 0.04247314 0.04616549 0.04939449 0.05313944 0.05670209
 0.06006061 0.0638408  0.06688855 0.07156414 0.0762163  0.08084515
 0.08545081 0.09003338 0.094593   0.09912977 0.10364381 0.10813523
 0.11260414 0.11705066 0.1214749  0.12587697 0.13025698 0.13461505
 0.13895128 0.14326578 0.14755866 0.15183003 0.15608   ]",,,35
1,1,Colorado,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00607752 0.00666971 0.00790024 0.00793524 0.00596103 0.00613468
 0.00488211 0.00468883 0.00338574 0.0029016  0.00178231 0.00167603
 0.00189526 0.00151763 0.00186593 0.00235416 0.00235416 0.00235416
 0.00235416 0.00235416 0.00235416 0.00235416 0.00235416 0.00235416
 0.00235416 0.00235416 0.00235416 0.00235416 0.00235416 0.00235416
 0.00235416 0.00235416 0.00235416 0.00235416 0.00235416]","[0.00607752 0.01270669 0.02050655 0.02827907 0.03407153 0.03999719
 0.04468403 0.04916334 0.05238262 0.05513223 0.05681628 0.05839708
 0.06018166 0.06160796 0.06335893 0.06556394 0.06776375 0.06995838
 0.07214784 0.07433215 0.07651132 0.07868536 0.08085428 0.08301809
 0.08517681 0.08733045 0.08947902 0.09162253 0.093761   0.09589443
 0.09802283 0.10014623 0.10226463 0.10437804 0.10648647]",,,35
1,1,Connecticut,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.00702236 0.00643357 0.00548665 0.00560401 0.00456124 0.00436958
 0.00434239 0.00421846 0.00369023 0.0030031  0.00261312 0.00252349
 0.0021602  0.00201238 0.00159311 0.00240107 0.00240107 0.00240107
 0.00240107 0.00240107 0.00240107 0.00240107 0.00240107 0.00240107
 0.00240107 0.00240107 0.00240107 0.00240107 0.00240107 0.00240107
 0.00240107 0.00240107 0.00240107 0.00240107 0.00240107]","[0.00702236 0.01341075 0.01882382 0.02432235 0.02877265 0.0330165
 0.03721553 0.041277   0.04481491 0.04768342 0.05017194 0.05256882
 0.05461546 0.05651794 0.05802101 0.06028277 0.0625391  0.06479002
 0.06703553 0.06927564 0.07151038 0.07373975 0.07596377 0.07818245
 0.08039581 0.08260384 0.08480658 0.08700403 0.0891962  0.09138311
 0.09356476 0.09574118 0.09791237 0.10007835 0.10223913]",,,35
1,1,Delaware,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025 2026 2027 2028 2029 2030 2031]","[0.0045771  0.00485202 0.00405143 0.0035671  0.00340852 0.0033455
 0.0028682  0.00293095 0.00219091 0.00207966 0.00191201 0.00218574
 0.00170673 0.00152302 0.00152448 0.0023269  0.0023269  0.0023269
 0.0023269  0.0023269  0.0023269  0.0023269  0.0023269  0.0023269
 0.0023269  0.0023269  0.0023269  0.0023269  0.0023269  0.0023269
 0.0023269  0.0023269  0.0023269  0.0023269  0.0023269 ]","[0.0045771  0.00940691 0.01342023 0.01693946 0.02029024 0.02356786
 0.02636846 0.02922213 0.03134901 0.03336347 0.03521169 0.03732047
 0.0389635  0.04042718 0.04189003 0.04411945 0.04634369 0.04856275
 0.05077664 0.05298539 0.05518899 0.05738747 0.05958083 0.06176909
 0.06395225 0.06613034 0.06830336 0.07047132 0.07263423 0.07479212
 0.07694498 0.07909283 0.08123569 0.08337356 0.08550645]",,,35
1,1,Florida,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014]","[0.01939393 0.03686471 0.04464082 0.04001402 0.04001402 0.04001402
 0.04001402 0.04001402 0.04001402 0.04001402 0.04001402 0.04001402
 0.04001402 0.04001402 0.04001402 0.04001402 0.04001402 0.04001402]","[0.01939393 0.05554368 0.09770498 0.13380943 0.16846919 0.20174208
 0.23368358 0.26434698 0.29378341 0.32204197 0.3491698  0.37521213
 0.4002124  0.42421231 0.44725189 0.46936956 0.49060221 0.51098527]",2000.0,2014.0,18
1,1,Georgia,"[1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017]","[0.01572748 0.01456399 0.01456399 0.01456399 0.01456399 0.01456399
 0.01456399 0.01456399 0.01456399 0.01456399 0.01456399 0.01456399
 0.01456399 0.01456399 0.01456399 0.01456399 0.01456399 0.01456399
 0.01456399 0.01456399 0.01456399]","[0.01572748 0.03006242 0.04418858 0.05810902 0.07182671 0.08534462
 0.09866566 0.11179269 0.12472853 0.13747598 0.15003778 0.16241662
 0.17461518 0.18663608 0.19848191 0.21015521 0.22165851 0.23299427
 0.24416494 0.25517291 0.26602057]",1998.0,,21
