fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,animcruel,AK,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.
 2021. 2022.]","[0.02269627 0.01453646 0.01025981 0.00822886 0.01232751 0.00967881
 0.01078558 0.00663962 0.00903919 0.00836781 0.01267951 0.00969633
 0.0111208  0.00958994 0.00869432 0.00819854 0.01703862 0.00713502
 0.0085504  0.00864867 0.00621347 0.00848201 0.00753459 0.0122638
 0.00813261 0.00531363 0.00605836 0.0037139  0.00576444 0.008564
 0.00521844 0.00402913 0.00620062 0.00753576 0.00560703 0.00432365
 0.0054871  0.00349452 0.0064657  0.00518368 0.00958284 0.00427379
 0.00594797 0.00594797 0.00594797 0.00594797 0.00594797 0.00594797
 0.00594797 0.00594797]","[0.02269627 0.0369028  0.04678399 0.05462787 0.06628196 0.07531924
 0.08529246 0.09136577 0.09957909 0.10711364 0.118435   0.12698294
 0.13669159 0.14497067 0.15240456 0.15935361 0.17367706 0.17957289
 0.18658787 0.1936228  0.1986332  0.2054304  0.21141716 0.22108818
 0.22742277 0.23152796 0.23618364 0.23902037 0.24340699 0.24988646
 0.25380088 0.25680741 0.26141567 0.26698146 0.27109151 0.27424306
 0.27822537 0.28074762 0.28539809 0.28910235 0.29591477 0.29892388
 0.30309386 0.30723903 0.31135955 0.31545556 0.31952721 0.32357464
 0.32759799 0.33159742]",,,50
1,animcruel,AL,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019.]","[0.02511119 0.01689154 0.01426072 0.01035872 0.01285993 0.00902776
 0.00970493 0.0060115  0.00771954 0.00804293 0.01068132 0.00767119
 0.0091784  0.0079193  0.00652194 0.00660505 0.0077006  0.00809244
 0.01069971 0.01066147 0.00928415 0.01028261 0.00878741 0.00797928
 0.00967041 0.00648641 0.01641689 0.00515626 0.00812637 0.00675626
 0.00672866 0.00519696 0.00799279 0.00971005 0.00722888 0.00557637
 0.00707451 0.0045081  0.00833384 0.0066839  0.01234044 0.00551213
 0.00766768 0.00766768 0.00766768 0.00766768 0.00766768]","[0.02511119 0.04157857 0.05524634 0.06503278 0.07705639 0.0853885
 0.09426474 0.09970957 0.1066594  0.11384448 0.12330978 0.13003504
 0.13801993 0.1448462  0.15042346 0.15603496 0.162534   0.16931114
 0.17819927 0.18696088 0.19450925 0.2027918  0.20979719 0.21610244
 0.22368305 0.22871856 0.2413806  0.24529224 0.25142527 0.25648284
 0.26148571 0.26532374 0.27119585 0.27827258 0.28348986 0.28748538
 0.29252608 0.29571544 0.30158484 0.30625297 0.31481411 0.31859095
 0.32381577 0.32900054 0.33414554 0.3392511  0.34431751]",2000.0,,47
1,animcruel,AR,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.
 2021. 2022.]","[0.02233859 0.01551436 0.01387461 0.00969781 0.01189747 0.00826674
 0.00955857 0.0060158  0.00857622 0.00870697 0.01354096 0.00803062
 0.010187   0.00838306 0.00713459 0.00664869 0.01513501 0.01154201
 0.00842132 0.00787545 0.00588019 0.00786666 0.00986555 0.01257621
 0.02660357 0.01505016 0.01492496 0.01730039 0.0148078  0.01957614
 0.01348582 0.01043208 0.015999   0.01940275 0.01448105 0.0111894
 0.01417404 0.00905562 0.01667592 0.01339671 0.02459361 0.01106122
 0.01535326 0.01535326 0.01535326 0.01535326 0.01535326 0.01535326
 0.01535326 0.01535326]","[0.02233859 0.03750639 0.05086061 0.06006518 0.07124803 0.07892578
 0.08772993 0.09321796 0.10099472 0.10882234 0.12088973 0.12794954
 0.13683312 0.1440691  0.15017581 0.15582603 0.16860261 0.17819861
 0.18511926 0.19153681 0.19629073 0.20261324 0.21047989 0.22040906
 0.24114897 0.2525698  0.26372516 0.27646301 0.28717699 0.30113131
 0.31055613 0.31774846 0.3286638  0.34168957 0.3512226  0.35848202
 0.36757493 0.37330193 0.38375269 0.39200838 0.40696109 0.41352082
 0.42252519 0.43139131 0.4401213  0.44871726 0.45718125 0.46551528
 0.47372136 0.48180145]",,,50
1,animcruel,AZ,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018.]","[0.02070952 0.01449654 0.01180859 0.00861454 0.01095419 0.00794415
 0.00874682 0.0057223  0.00777086 0.00851518 0.01126323 0.00817082
 0.01081555 0.00928826 0.00936016 0.0079593  0.01320751 0.01820608
 0.01243571 0.01295204 0.01269109 0.01465827 0.01282539 0.01045792
 0.0115831  0.00766645 0.00860695 0.0059045  0.00930157 0.00773487
 0.0077033  0.00595106 0.00914886 0.01111172 0.00827538 0.00638518
 0.00809885 0.00516277 0.00953876 0.00765211 0.01411639 0.00631169
 0.00877714 0.00877714 0.00877714 0.00877714]","[0.02070952 0.03490584 0.04630224 0.0545179  0.0648749  0.07230367
 0.08041806 0.08568019 0.09278524 0.10051034 0.1106415  0.11790829
 0.12744859 0.13555308 0.14364444 0.15046043 0.16168074 0.17694325
 0.18717854 0.19770623 0.20788822 0.2194992  0.22950943 0.23756716
 0.24639849 0.25217594 0.25861242 0.26298995 0.2698453  0.27549295
 0.28107405 0.28535242 0.29189063 0.29975894 0.3055537  0.30998787
 0.31557617 0.31910969 0.32560454 0.33076509 0.34021227 0.34437664
 0.35013114 0.35583512 0.36148905 0.36709334]",1999.0,,46
1,animcruel,CA,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007.]","[0.02959227 0.01917915 0.01897549 0.01231825 0.01627746 0.01228244
 0.01315543 0.00972243 0.01296769 0.01399901 0.01682713 0.01244969
 0.01635157 0.01438133 0.01258384 0.0127918  0.01615857 0.01170451
 0.01604363 0.01813571 0.01372969 0.02055086 0.0188152  0.01724694
 0.02171099 0.0162518  0.0198613  0.01367389 0.02144455 0.01786944
 0.01779726 0.01378087 0.02109672 0.02555684 0.01910451]","[0.02959227 0.04820386 0.06626466 0.07776665 0.09277826 0.10392116
 0.11570946 0.12430691 0.13566263 0.1477625  0.16210321 0.17253476
 0.18606512 0.19777059 0.20786571 0.21799854 0.23063456 0.23963961
 0.25183855 0.26540699 0.27549273 0.29038197 0.30373358 0.31574204
 0.33059796 0.34147695 0.35455607 0.3633818  0.3770338  0.38816585
 0.39905482 0.40733637 0.41983963 0.4346667  0.44546711]",1988.0,,35
1,animcruel,CO,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020.
 2021.]","[0.02374065 0.01538468 0.0135034  0.00980925 0.01201206 0.00873531
 0.01015374 0.00656716 0.00867397 0.00898424 0.01157369 0.00820748
 0.0104333  0.00876196 0.0073359  0.0075138  0.00927191 0.01266825
 0.01002091 0.01003876 0.00755212 0.00990473 0.00833596 0.00706133
 0.01501387 0.00564893 0.01284773 0.00793798 0.02137049 0.00977197
 0.00973217 0.00752193 0.01155402 0.01402559 0.01045333 0.0080697
 0.01023082 0.00652692 0.01204517 0.00966762 0.01780401 0.00797698
 0.01108566 0.01108566 0.01108566 0.01108566 0.01108566 0.01108566
 0.01108566]","[0.02374065 0.03876009 0.05174009 0.06104181 0.07232063 0.08042419
 0.08976133 0.09573901 0.10358254 0.11163617 0.12191782 0.12912466
 0.13821077 0.14576174 0.15202835 0.15839983 0.16620307 0.17676582
 0.18501537 0.1931968  0.19928988 0.2072207  0.21382928 0.21938069
 0.23110081 0.23544427 0.24526708 0.25125813 0.26725911 0.27441943
 0.2814809  0.28688555 0.29512489 0.30501118 0.31227612 0.31782585
 0.32480505 0.32921199 0.33729175 0.34369856 0.35538336 0.36052545
 0.36761445 0.37462487 0.38155756 0.38841341 0.39519325 0.40189794
 0.40852829]",2002.0,,49
1,animcruel,CT,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015.]","[0.02813022 0.01632619 0.01677897 0.01031775 0.01270503 0.00901031
 0.01033046 0.00650586 0.00948266 0.00967549 0.01200107 0.00847044
 0.01029163 0.00814815 0.00834712 0.00719972 0.00900913 0.0129186
 0.00948079 0.00853177 0.00713299 0.009405   0.00813015 0.00657242
 0.0082969  0.00618932 0.00758118 0.00519911 0.0081937  0.00681231
 0.00678449 0.00524014 0.00805903 0.00979037 0.00728883 0.00562269
 0.00713319 0.00454559 0.00840287 0.00673936 0.01244224 0.00555793
 0.00773124]","[0.02813022 0.04399715 0.06003789 0.06973618 0.08155521 0.08983069
 0.09923316 0.10509343 0.11357952 0.12215608 0.13269114 0.14003763
 0.14888805 0.15582303 0.16286948 0.16889659 0.17638411 0.18702407
 0.19473173 0.20160209 0.20729705 0.21475242 0.2211366  0.22625562
 0.2326753  0.23742451 0.24320573 0.24714039 0.2533091  0.25839579
 0.26342719 0.26728694 0.27319189 0.28030762 0.28555333 0.28957044
 0.29463807 0.29784436 0.30374448 0.30843679 0.31704139 0.32083723
 0.32608799]",1996.0,,43
1,animcruel,DE,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013.]","[0.02391063 0.0163348  0.01702261 0.01038239 0.01280198 0.00926254
 0.01025231 0.00665523 0.00893806 0.00885546 0.01244499 0.00902702
 0.010983   0.00920899 0.00757156 0.00751031 0.01837277 0.00800653
 0.00961499 0.01010203 0.00752816 0.01002384 0.00916894 0.00839781
 0.01059613 0.00790916 0.00968401 0.00664564 0.01046464 0.00870375
 0.00866827 0.00669801 0.01029303 0.01249827 0.00931133 0.00718622
 0.0091129  0.00581135 0.01073116 0.00861071 0.01587185]","[0.02391063 0.03985486 0.05619903 0.06599794 0.07795502 0.08649549
 0.09586103 0.10187828 0.10990574 0.11778793 0.12876705 0.13663169
 0.14611406 0.15397749 0.16038321 0.16668899 0.18199922 0.18854857
 0.19635067 0.20446916 0.21045804 0.21837228 0.22553898 0.23204276
 0.24018014 0.24618967 0.25348958 0.25845062 0.26621067 0.27259739
 0.27890271 0.28373262 0.29110518 0.29996514 0.30648339 0.31146716
 0.31774169 0.32170653 0.32898541 0.33476332 0.34532186]",1994.0,,41
1,animcruel,FL,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.]","[0.03095354 0.02154273 0.01593668 0.01150032 0.01396223 0.01005771
 0.01267719 0.0079304  0.01125454 0.01119725 0.01363561 0.01032497
 0.01263975 0.01041532 0.00908199 0.0088797  0.02068711 0.01500381
 0.02054063 0.02320529 0.01758969 0.02627749 0.02407007 0.02207365
 0.02775175 0.02080592 0.02540076 0.01751849 0.02741325 0.02286632
 0.02277442 0.01765501 0.02697127 0.03263194 0.02443816 0.01892664]","[0.03095354 0.05182945 0.06694014 0.07767062 0.09054839 0.09969539
 0.11110872 0.11815799 0.12808271 0.13784579 0.14960179 0.15838212
 0.16901996 0.17767488 0.18514323 0.19237892 0.20908627 0.22095299
 0.23695511 0.25466178 0.26777205 0.28701316 0.3041748  0.31953421
 0.33841832 0.35218314 0.36863818 0.37969868 0.39670315 0.41049834
 0.42392389 0.43409452 0.44935771 0.46732624 0.48034381 0.49017915]",1989.0,,36
1,animcruel,GA,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008.
 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016.]","[0.02398101 0.01659583 0.01379693 0.01054282 0.01298978 0.00938336
 0.01070723 0.00681448 0.00938506 0.00948818 0.0122224  0.00840009
 0.01101751 0.00882722 0.00744084 0.00717387 0.0168908  0.01810448
 0.01382799 0.01310842 0.00970352 0.0131677  0.01114626 0.00971597
 0.01164155 0.01424664 0.01393072 0.01546514 0.02422874 0.02019905
 0.02011764 0.01558592 0.02383685 0.02885919 0.02159159 0.01671106
 0.02113706 0.01353874 0.02483702 0.01998561 0.03648582 0.01652069
 0.02288212 0.02288212]","[0.02398101 0.04017886 0.05342144 0.06340104 0.07556726 0.08424154
 0.09404678 0.10022038 0.10866487 0.11712201 0.1279129  0.13523851
 0.14476602 0.15231536 0.15862285 0.16465877 0.17876836 0.19363633
 0.20478671 0.21521071 0.22282593 0.23305952 0.24160804 0.24897655
 0.25771962 0.26829463 0.27848781 0.2896461  0.30685708 0.3208579
 0.33452064 0.34489275 0.36050844 0.37896365 0.39237281 0.4025269
 0.41515573 0.42307378 0.43740291 0.44864676 0.46876333 0.47753973
 0.48949472 0.50117617]",2000.0,2016.0,44
