fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,animcruel,AK,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003.]","[0.01127296 0.01311451 0.00967887 0.00901613 0.00529387 0.01235553
 0.00938942 0.03836263 0.01213574 0.01127227 0.01280585 0.05174336
 0.01121924 0.02038224 0.0165532  0.02741663 0.03854842 0.02961203
 0.04240171 0.04121257 0.04144833 0.05184589 0.04762752 0.05190452
 0.04848225 0.09402285 0.03864055 0.0496649  0.05085303 0.11135765
 0.05339618]","[0.01127296 0.02423963 0.0336839  0.04239633 0.04746576 0.05923483
 0.06806807 0.10381943 0.11469524 0.12467463 0.13588392 0.18059619
 0.18978927 0.20630319 0.2194414  0.24084169 0.27010604 0.29171968
 0.32175198 0.34970432 0.37665799 0.40897571 0.43712473 0.4663405
 0.49221351 0.53995705 0.55773336 0.57969849 0.6010721  0.64549577
 0.66442494]",,1998.0,31
1,animcruel,AL,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000.]","[0.00310465 0.01373976 0.01339811 0.01065403 0.03228306 0.0267406
 0.03248115 0.06326232 0.08590092 0.06945472 0.08392391 0.07108922
 0.08051511 0.06750693 0.08970863 0.07282736 0.08343027 0.14230745
 0.16167168 0.14109872 0.15057671 0.12652768 0.14620169 0.10148605
 0.11642902 0.10041639 0.09458271 0.18353705]","[0.00310465 0.01680175 0.02997475 0.04030943 0.07129117 0.09612541
 0.1254843  0.18080819 0.25117752 0.30318678 0.36166606 0.40704472
 0.45478658 0.49159227 0.53720083 0.57090527 0.60670476 0.6626736
 0.71720973 0.75711108 0.79368449 0.81978911 0.84613625 0.86175127
 0.87784744 0.89011356 0.90050691 0.91876758]",2000.0,1987.0,28
1,animcruel,AR,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002. 2003.]","[0.01444966 0.00591747 0.00725847 0.00397037 0.01291813 0.01858811
 0.01745858 0.04767277 0.06425666 0.0486165  0.0630608  0.05315064
 0.05951423 0.05388219 0.07135174 0.05657713 0.04754379 0.06910025
 0.0404608  0.04136046 0.04542709 0.05468515 0.0966927  0.06532436
 0.05960804 0.06007111 0.09574169 0.06151512 0.08619685 0.12630559
 0.09839308]","[0.01444966 0.02028162 0.02739288 0.03125449 0.04376887 0.06154339
 0.07792751 0.12188526 0.17830998 0.21825767 0.26755497 0.30648489
 0.34775891 0.38290309 0.42693402 0.45935645 0.48506069 0.52064313
 0.5400383  0.55906253 0.57909303 0.60211039 0.64058341 0.66406207
 0.68408667 0.70306394 0.7314931  0.74801033 0.76973105 0.7988153
 0.81861049]",,1990.0,31
1,animcruel,AZ,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999.]","[0.006487   0.00765011 0.0064666  0.00643611 0.01090192 0.01715043
 0.02238925 0.03453916 0.04104021 0.0313624  0.02364343 0.02657573
 0.05940103 0.01848469 0.02703975 0.01845118 0.02155002 0.03372132
 0.02538497 0.01268715 0.03611074 0.08263837 0.05022491 0.0336392
 0.03898854 0.06606568 0.09489585]","[0.006487   0.01408748 0.02046299 0.0267674  0.0373775  0.05388689
 0.07506965 0.10701596 0.14366422 0.17052097 0.1901327  0.21165551
 0.25848398 0.27219068 0.29187046 0.30493628 0.31991492 0.34284829
 0.35953007 0.3676558  0.39049022 0.44085912 0.46894192 0.48680629
 0.50681496 0.53939756 0.58310682]",1999.0,1997.0,27
1,animcruel,CA,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988.]","[0.01902277 0.03817873 0.02134421 0.02016921 0.03666063 0.04379389
 0.0538707  0.04230525 0.05201808 0.0513565  0.07137743 0.07924484
 0.12095932 0.18297039 0.10771355 0.13001987]","[0.01902277 0.05647523 0.07661402 0.09523799 0.12840713 0.16657758
 0.21147463 0.2448334  0.28411571 0.32088102 0.36935479 0.41933017
 0.4895676  0.58296162 0.6278823  0.676265  ]",1988.0,1986.0,16
1,animcruel,CO,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000. 2001. 2002.]","[0.00518058 0.01064956 0.0096401  0.00539478 0.00637489 0.01042448
 0.01524873 0.02771454 0.01964419 0.0251221  0.02561384 0.01823093
 0.01738291 0.01670742 0.01812028 0.03920715 0.02605939 0.13168105
 0.05834946 0.03269875 0.0279705  0.02931567 0.02350581 0.02223312
 0.04232626 0.04290098 0.06173816 0.07306108 0.09392911 0.11812369]","[0.00518058 0.01577497 0.02526299 0.03052149 0.03670181 0.04674369
 0.06127964 0.08729584 0.10522517 0.12770379 0.15004665 0.16554209
 0.1800474  0.19374669 0.20835623 0.23939432 0.25921524 0.35676255
 0.39429511 0.4141009  0.43048879 0.44718439 0.46017877 0.47218068
 0.49452129 0.51620683 0.54607533 0.57923955 0.6187612  0.66379454]",2002.0,1998.0,30
1,animcruel,CT,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.]","[0.04120971 0.08956092 0.06071952 0.01807727 0.01451489 0.02581853
 0.02068852 0.01729988 0.02092135 0.02405778 0.01590086 0.01593777
 0.01936701 0.01291457 0.01780139 0.01608226 0.01552213 0.04475322
 0.03674993 0.02739039 0.03979531 0.03854437 0.04932615 0.09036057]","[0.04120971 0.12707985 0.18008314 0.194905   0.20659087 0.22707552
 0.24306619 0.25616106 0.27172317 0.28924389 0.30054553 0.31169327
 0.32502371 0.33374074 0.34560108 0.35612529 0.3661196  0.39448779
 0.41674032 0.43271604 0.45529128 0.47628673 0.50211949 0.54710825]",1996.0,1995.0,24
1,animcruel,DE,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.]","[0.00967006 0.0120556  0.02719443 0.01026613 0.01418242 0.01393609
 0.01652735 0.03517434 0.03369638 0.03207673 0.02015667 0.02102054
 0.01915361 0.0217657  0.02590988 0.02585005 0.03845702 0.03761577
 0.02570371 0.02417523 0.0209742  0.09093941 0.06894987 0.05995078]","[0.00967006 0.02160908 0.04821587 0.05798701 0.07134703 0.08428882
 0.09942311 0.13110031 0.16037908 0.18731138 0.20369248 0.22043129
 0.23536284 0.25200571 0.27138615 0.29022086 0.31751684 0.34318898
 0.36007146 0.37554188 0.38863939 0.44423616 0.482556   0.51357717]",1994.0,1996.0,24
1,animcruel,FL,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989.]","[0.01017138 0.01001467 0.0102847  0.00936571 0.02181498 0.01674417
 0.0220477  0.03503646 0.04836363 0.03499682 0.04510418 0.05499072
 0.06664522 0.06479179 0.06420818 0.10600311 0.17653577]","[0.01017138 0.02008418 0.03016233 0.03924554 0.06020438 0.07594048
 0.09631386 0.12797582 0.17015007 0.19919218 0.23531196 0.2773627
 0.32552302 0.36922359 0.4097246  0.47229563 0.56545433]",1989.0,1989.0,17
1,animcruel,GA,"[1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981. 1982. 1983. 1984.
 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993. 1994. 1995. 1996.
 1997. 1998. 1999. 2000.]","[0.00568851 0.02132661 0.01382989 0.03734613 0.04002667 0.03968686
 0.03663008 0.06575815 0.08059376 0.07030365 0.07398621 0.10348544
 0.08537026 0.1303631  0.10530933 0.09185242 0.03900871 0.09563899
 0.06752388 0.0907934  0.06855987 0.08741691 0.09374608 0.03856996
 0.05276888 0.10891342 0.12380835 0.14279051]","[0.00568851 0.0268938  0.04035176 0.07619091 0.11316791 0.14836349
 0.17955901 0.23350968 0.29528402 0.34482813 0.39330182 0.45608625
 0.50252031 0.56737331 0.61293294 0.64848598 0.66219809 0.69450512
 0.71513332 0.74099733 0.75875452 0.77984346 0.80048227 0.80817766
 0.81829991 0.83808949 0.85813536 0.87839229]",2000.0,1985.0,28
