fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,compact on placement of children,AL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981]","[0.0324819  0.01941977 0.01692423 0.01475682 0.01467254 0.0103362
 0.01007772 0.01082338 0.01007385 0.0099173  0.01071363 0.01146894
 0.00957467 0.01078397 0.00922337 0.03179062 0.02940124 0.05557575
 0.09592157 0.09220493 0.09220493 0.09220493]","[0.0324819  0.05127088 0.06732739 0.08109067 0.09457341 0.10393208
 0.1129624  0.12256315 0.13140232 0.14001646 0.14923001 0.15898744
 0.16703986 0.17602247 0.18362232 0.20957547 0.23281493 0.27545181
 0.34495161 0.40535031 0.46017994 0.50995401]",1979.0,1981.0,22
1,compact on placement of children,AK,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994 1995]","[0.02770212 0.02472952 0.01848392 0.01750325 0.01440855 0.01415439
 0.01300625 0.01557686 0.01717661 0.01498013 0.01132074 0.01125702
 0.01230407 0.01365899 0.0130164  0.01327856 0.01169144 0.01169144
 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144
 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144
 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144 0.01169144]","[0.02770212 0.05174658 0.06927401 0.08556474 0.09874043 0.1114972
 0.12305329 0.13671337 0.15154171 0.16425172 0.17371301 0.18301455
 0.19306679 0.20408868 0.21444858 0.22487957 0.23394185 0.24289817
 0.25174978 0.2604979  0.26914374 0.27768851 0.28613337 0.29447949
 0.30272804 0.31088016 0.31893696 0.32689957 0.33476908 0.34254658
 0.35023316 0.35782987 0.36533776 0.37275788 0.38009124 0.38733887]",1976.0,,36
1,compact on placement of children,AZ,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990]","[0.03022281 0.01807332 0.01576357 0.01510754 0.01539641 0.01423607
 0.01346244 0.01449887 0.01290446 0.01290937 0.01481933 0.01471103
 0.01480089 0.01320754 0.01202285 0.02033637 0.02585923 0.02697816
 0.04213758 0.03645551 0.03955294 0.03885671 0.0426773  0.04836169
 0.04548288 0.03885349 0.06017779 0.06565737 0.06920374 0.10076967
 0.09960304]","[0.03022281 0.04774991 0.06276077 0.07692014 0.09113225 0.10407096
 0.11613235 0.12894743 0.14018789 0.15128752 0.16386488 0.17616528
 0.18835877 0.19907856 0.20870791 0.22479992 0.244846   0.26521866
 0.29618057 0.32183867 0.34866194 0.3739708  0.40068803 0.42967177
 0.45561194 0.47676331 0.50825054 0.54053751 0.57233404 0.61542979
 0.65373415]",,1986.0,31
1,compact on placement of children,AR,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982]","[0.02674673 0.01683862 0.01466836 0.01431521 0.01449569 0.01198998
 0.01159706 0.01137223 0.01015891 0.01126901 0.011598   0.01479982
 0.01085732 0.01174541 0.0105266  0.02525128 0.04536884 0.07446126
 0.07242488 0.07101584 0.07101584 0.07101584 0.07101584]","[0.02674673 0.04313497 0.05717062 0.07066741 0.08413873 0.09511988
 0.10561383 0.115785   0.12476766 0.13463066 0.14466721 0.15732598
 0.16647516 0.17626525 0.18493637 0.20551777 0.24156252 0.29803673
 0.34887633 0.39511643 0.43807275 0.47797848 0.51505028]",1979.0,1982.0,23
1,compact on placement of children,CA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.03513782 0.02744241 0.02393656 0.02142999 0.01995172 0.01954642
 0.01845791 0.01942132 0.02025459 0.01872533 0.0177115  0.01668119
 0.01679604 0.01609562 0.01516879 0.01516879 0.01516879 0.01516879
 0.01516879 0.01516879 0.01516879 0.01516879 0.01516879 0.01516879
 0.01516879 0.01516879 0.01516879 0.01516879 0.01516879 0.01516879
 0.01516879 0.01516879 0.01516879 0.01516879]","[0.03513782 0.06161597 0.08407765 0.10370585 0.12158847 0.13875827
 0.15465499 0.17107271 0.18786228 0.20306983 0.21718466 0.23024296
 0.24317183 0.25535345 0.26664883 0.27777288 0.2887282  0.29951733
 0.31014281 0.3206071  0.33091267 0.34106192 0.35105721 0.36090089
 0.37059525 0.38014256 0.38954505 0.39880491 0.40792431 0.41690539
 0.42575023 0.4344609  0.44303945 0.45148786]",1974.0,,34
1,compact on placement of children,CO,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984]","[0.03111738 0.02389627 0.02079069 0.0194038  0.02557286 0.02065486
 0.02100351 0.02412982 0.0253481  0.01917525 0.02044317 0.01931827
 0.0169243  0.02108759 0.01977395 0.0358986  0.0358986  0.0358986
 0.0358986  0.0358986  0.0358986  0.0358986  0.0358986  0.0358986
 0.0358986 ]","[0.03111738 0.05427006 0.07393244 0.09190167 0.11512434 0.13340132
 0.15160293 0.1720746  0.19306094 0.2085342  0.22471427 0.23969144
 0.25255914 0.26832086 0.28278905 0.30853592 0.33335851 0.35729
 0.38036239 0.40260651 0.4240521  0.44472782 0.46466131 0.48387922
 0.50240723]",1975.0,1984.0,25
1,compact on placement of children,CT,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.03067116 0.05366462 0.04113366 0.03395579 0.02756949 0.02816828
 0.02649954 0.03551685 0.03551685 0.03551685 0.03551685 0.03551685
 0.03551685 0.03551685 0.03551685 0.03551685 0.03551685 0.03551685
 0.03551685 0.03551685]","[0.03067116 0.08268982 0.12042214 0.1502889  0.173715   0.19699003
 0.21826943 0.24603404 0.27281253 0.29863993 0.32355003 0.3475754
 0.37074746 0.39309653 0.41465183 0.43544155 0.45549288 0.47483206
 0.49348437 0.5114742 ]",1967.0,1979.0,20
1,compact on placement of children,DE,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988]","[0.02798944 0.02384905 0.02076774 0.01926721 0.01577718 0.01727574
 0.01593178 0.01607726 0.01756195 0.01479911 0.01479911 0.01479911
 0.01479911 0.01479911 0.01479911 0.01479911 0.01479911 0.01479911
 0.01479911 0.01479911 0.01479911 0.01479911 0.01479911 0.01479911
 0.01479911 0.01479911 0.01479911 0.01479911 0.01479911]","[0.02798944 0.05117098 0.07087601 0.08877764 0.10315416 0.11864784
 0.13268935 0.14663333 0.16162011 0.17402739 0.18625105 0.19829381
 0.21015835 0.2218473  0.23336327 0.24470881 0.25588645 0.26689867
 0.27774791 0.2884366  0.29896711 0.30934177 0.3195629  0.32963276
 0.3395536  0.34932762 0.35895699 0.36844386 0.37779033]",1969.0,,29
1,compact on placement of children,FL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.02456912 0.01550637 0.01352594 0.01397391 0.01423338 0.01135418
 0.01106343 0.01183498 0.01137707 0.010949   0.01186174 0.01305003
 0.01101445 0.01232212 0.01041672 0.01041672 0.01041672 0.01041672
 0.01041672 0.01041672 0.01041672 0.01041672 0.01041672 0.01041672
 0.01041672 0.01041672 0.01041672 0.01041672 0.01041672 0.01041672
 0.01041672 0.01041672 0.01041672 0.01041672]","[0.02456912 0.03969451 0.05268355 0.06592126 0.07921636 0.0896711
 0.09974246 0.11039698 0.12051806 0.13014751 0.14046547 0.15168242
 0.16102618 0.17136412 0.17999579 0.18853754 0.19699032 0.20535505
 0.21363265 0.22182402 0.22993006 0.23795167 0.24588971 0.25374507
 0.2615186  0.26921116 0.27682358 0.28435671 0.29181137 0.29918837
 0.30648853 0.31371265 0.32086151 0.32793591]",1974.0,,34
1,compact on placement of children,GA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994]","[0.02549288 0.01512858 0.01321459 0.01609293 0.01628287 0.0109741
 0.01073803 0.0113772  0.01068213 0.01027698 0.01034647 0.01251628
 0.00902982 0.01061607 0.00953737 0.02592835 0.0243369  0.02573397
 0.02573397 0.02573397 0.02573397 0.02573397 0.02573397 0.02573397
 0.02573397 0.02573397 0.02573397 0.02573397 0.02573397 0.02573397
 0.02573397 0.02573397 0.02573397 0.02573397 0.02573397]","[0.02549288 0.04023579 0.05291868 0.06815999 0.08333302 0.09339261
 0.10312779 0.11333168 0.12280319 0.13181813 0.14080074 0.15155472
 0.15921603 0.16814185 0.17607559 0.19743859 0.21697045 0.23712091
 0.25675282 0.27587953 0.29451402 0.31266898 0.33035674 0.34758932
 0.36437844 0.38073551 0.39667164 0.41219768 0.42732417 0.44206139
 0.45641937 0.47040786 0.48403637 0.49731416 0.51025027]",1977.0,1994.0,35
1,compact on placement of children,HI,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 2002 2003 2004]","[0.02439614 0.0242208  0.01816547 0.01612154 0.01320201 0.01262844
 0.01173193 0.01382441 0.0132401  0.0134652  0.01103072 0.01329747
 0.01615348 0.01401263 0.01244253 0.01198138 0.01299767 0.01140576
 0.0126652  0.01251354 0.0105217  0.00971823 0.00937984 0.00947949
 0.00952674 0.01178855 0.01178855 0.01178855 0.01178855 0.01178855
 0.01178855 0.01178855 0.01178855 0.01178855 0.01178855 0.01178855
 0.01178855 0.01178855 0.01178855 0.01178855 0.01178855 0.01178855
 0.01178855 0.01178855 0.01178855]","[0.02439614 0.04802604 0.06531909 0.08038759 0.09252832 0.10398827
 0.11450021 0.12674172 0.13830375 0.14990666 0.1592838  0.17046319
 0.1838631  0.19529933 0.20531184 0.21483329 0.22503863 0.23387765
 0.24358074 0.25304623 0.26090545 0.26808815 0.27495337 0.28182644
 0.28866829 0.29705386 0.30534057 0.3135296  0.32162208 0.32961917
 0.33752199 0.34533164 0.35304923 0.36067584 0.36821254 0.3756604
 0.38302045 0.39029374 0.39748129 0.40458411 0.4116032  0.41853954
 0.42539412 0.43216789 0.4388618 ]",1985.0,,45
1,compact on placement of children,IL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985]","[0.03374944 0.02288623 0.01996702 0.01870346 0.01787917 0.01668751
 0.01611209 0.01718543 0.02661811 0.02563222 0.02548677 0.02427198
 0.02235937 0.02299775 0.02016143 0.02011543 0.03357094 0.03022955
 0.04688106 0.06417455 0.06533076 0.06537965 0.05989867 0.0614541
 0.0596659  0.07314873]","[0.03374944 0.05586328 0.07471487 0.09202091 0.10825482 0.12313583
 0.13726395 0.15209044 0.17466019 0.19581548 0.21631155 0.23533322
 0.25243069 0.2696231  0.28434855 0.29874418 0.322286   0.34277299
 0.37358449 0.41378442 0.45208233 0.487905   0.51857881 0.54816411
 0.57512331 0.6062025 ]",1985.0,1982.0,26
1,compact on placement of children,IA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986]","[0.0328218  0.02095451 0.01826273 0.0173884  0.01784844 0.01555632
 0.01460845 0.01589454 0.01589454 0.01589454 0.01589454 0.01589454
 0.01589454 0.01589454 0.01589454 0.01589454 0.01589454 0.01589454
 0.01589454 0.01589454 0.01589454 0.01589454 0.01589454 0.01589454
 0.01589454 0.01589454 0.01589454]","[0.0328218  0.05308854 0.07038173 0.0865463  0.10285002 0.11680638
 0.12970847 0.14354135 0.15715437 0.17055101 0.18373472 0.19670888
 0.20947683 0.22204183 0.23440711 0.24657586 0.25855119 0.27033618
 0.28193385 0.29334718 0.3045791  0.3156325  0.3265102  0.33721501
 0.34774968 0.3581169  0.36831933]",1967.0,,27
