fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,compact on placement of children,AL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981]","[0.03236499 0.01949858 0.01701759 0.01483441 0.01476751 0.0104677
 0.01022522 0.01107134 0.01033372 0.01009411 0.01088396 0.01165813
 0.00976597 0.01097705 0.00934498 0.03204105 0.02967778 0.05596131
 0.09579481 0.09215983 0.09215983 0.09215983]","[0.03236499 0.0512325  0.06737823 0.08121312 0.09478132 0.10425688
 0.11341605 0.12323171 0.13229199 0.14105073 0.1503995  0.16030425
 0.1685047  0.17763206 0.18531707 0.21142037 0.23482366 0.27764393
 0.34684189 0.40703683 0.46168422 0.51129531]",1979.0,1981.0,22
1,compact on placement of children,AK,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993 1994 1995]","[0.02705487 0.02409808 0.01811113 0.01711866 0.01417475 0.01388844
 0.01280445 0.01541684 0.01697878 0.0147449  0.0112226  0.01118878
 0.01218985 0.013508   0.0127704  0.01302777 0.01150082 0.01150082
 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082
 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082
 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082 0.01150082]","[0.02705487 0.05050098 0.06769748 0.08365726 0.09664619 0.10919237
 0.12059867 0.13415626 0.14885724 0.16140725 0.17081844 0.18009597
 0.19009048 0.20103074 0.2112339  0.22150976 0.23046304 0.23931334
 0.24806186 0.25670976 0.26525821 0.27370834 0.28206128 0.29031816
 0.29848008 0.30654814 0.3145234  0.32240694 0.33019981 0.33790306
 0.34551772 0.3530448  0.36048531 0.36784025 0.3751106  0.38229734]",1976.0,,36
1,compact on placement of children,AZ,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990]","[0.03013825 0.0181615  0.01586568 0.0151688  0.01547057 0.01429024
 0.01354952 0.01470968 0.01314237 0.01303835 0.01491508 0.01484434
 0.01491668 0.01336587 0.01209319 0.02043438 0.0260717  0.02722196
 0.04218073 0.0366178  0.03959918 0.03897455 0.04263705 0.04797103
 0.04531692 0.0389128  0.0600643  0.06553161 0.06940727 0.10059487
 0.09929213]","[0.03013825 0.0477524  0.06286045 0.07707573 0.0913539  0.10433867
 0.11647445 0.12947083 0.14091165 0.15211274 0.16475905 0.17715765
 0.18943173 0.20026568 0.20993701 0.22608146 0.24625883 0.26677714
 0.29770502 0.32342151 0.35021347 0.37553861 0.4021638  0.43084262
 0.45663508 0.47777893 0.50914577 0.54131224 0.5731485  0.61608757
 0.65420706]",,1986.0,31
1,compact on placement of children,AR,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982]","[0.02713294 0.01718663 0.01499523 0.01458872 0.01478367 0.0122549
 0.0118749  0.01177201 0.01055791 0.01158501 0.01191532 0.01513764
 0.0111807  0.01207961 0.01076343 0.02571262 0.04622277 0.07560399
 0.07314277 0.0717524  0.0717524  0.0717524  0.0717524 ]","[0.02713294 0.04385325 0.05819089 0.07193069 0.08565095 0.09685621
 0.10758096 0.11808652 0.12739768 0.13750679 0.14778367 0.16068421
 0.17006835 0.1800936  0.18891861 0.20977363 0.24630008 0.30328281
 0.35424263 0.40057728 0.4435873  0.48351125 0.52057056]",1979.0,1982.0,23
1,compact on placement of children,CA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.03534154 0.02762697 0.02413436 0.02159123 0.02016285 0.01971287
 0.01866503 0.01981657 0.0206659  0.0189848  0.01798731 0.01701782
 0.01711274 0.01643678 0.01538065 0.01538065 0.01538065 0.01538065
 0.01538065 0.01538065 0.01538065 0.01538065 0.01538065 0.01538065
 0.01538065 0.01538065 0.01538065 0.01538065 0.01538065 0.01538065
 0.01538065 0.01538065 0.01538065 0.01538065]","[0.03534154 0.06199213 0.08463034 0.1043943  0.12245227 0.13975125
 0.15580782 0.17253681 0.18963708 0.20502166 0.21932118 0.23260663
 0.24573884 0.25813646 0.26954681 0.28078165 0.2918437  0.30273561
 0.31345999 0.32401942 0.33441645 0.34465356 0.35473321 0.36465784
 0.37442981 0.38405149 0.39352518 0.40285316 0.41203767 0.42108092
 0.42998507 0.43875227 0.44738463 0.45588421]",1974.0,,34
1,compact on placement of children,CO,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984]","[0.03151197 0.0242307  0.02111834 0.01967449 0.02596154 0.02103736
 0.02140978 0.02474068 0.02598518 0.01964274 0.02090739 0.01983163
 0.01741492 0.02159886 0.02011353 0.03654285 0.03654285 0.03654285
 0.03654285 0.03654285 0.03654285 0.03654285 0.03654285 0.03654285
 0.03654285]","[0.03151197 0.05497911 0.07493638 0.09313653 0.11668011 0.13526282
 0.15377666 0.1747128  0.19615803 0.21194769 0.22842381 0.24372542
 0.25689589 0.27294609 0.28756971 0.31360394 0.33868681 0.36285307
 0.38613624 0.40856856 0.43018115 0.45100395 0.47106583 0.49039459
 0.50901702]",1975.0,1984.0,25
1,compact on placement of children,CT,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.03041248 0.05305575 0.04085915 0.03377574 0.02760343 0.02811363
 0.02651946 0.03560346 0.03560346 0.03560346 0.03560346 0.03560346
 0.03560346 0.03560346 0.03560346 0.03560346 0.03560346 0.03560346
 0.03560346 0.03560346]","[0.03041248 0.08185468 0.11936931 0.14911327 0.17260066 0.19586186
 0.21718717 0.24505801 0.27193656 0.29785813 0.32285681 0.34696544
 0.37021573 0.39263823 0.4142624  0.43511669 0.45522848 0.47462423
 0.49332943 0.51136865]",1967.0,1979.0,20
1,compact on placement of children,DE,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988]","[0.02779497 0.02364242 0.02061895 0.01909592 0.01573576 0.0171419
 0.0158636  0.01617225 0.01764514 0.01480927 0.01480927 0.01480927
 0.01480927 0.01480927 0.01480927 0.01480927 0.01480927 0.01480927
 0.01480927 0.01480927 0.01480927 0.01480927 0.01480927 0.01480927
 0.01480927 0.01480927 0.01480927 0.01480927 0.01480927]","[0.02779497 0.05078025 0.07035216 0.08810465 0.10245401 0.11783965
 0.13183389 0.14587409 0.16094527 0.17337105 0.18561282 0.19767329
 0.20955516 0.22126107 0.23279362 0.24415538 0.25534889 0.26637662
 0.27724105 0.28794457 0.29848959 0.30887845 0.31911345 0.32919688
 0.33913098 0.34891796 0.35856001 0.36805926 0.37741784]",1969.0,,29
1,compact on placement of children,FL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.02445908 0.01553477 0.01357137 0.01395779 0.01422621 0.01138321
 0.01111251 0.01198896 0.01154694 0.01103136 0.01192711 0.01311627
 0.01110559 0.01240211 0.01044096 0.01044096 0.01044096 0.01044096
 0.01044096 0.01044096 0.01044096 0.01044096 0.01044096 0.01044096
 0.01044096 0.01044096 0.01044096 0.01044096 0.01044096 0.01044096
 0.01044096 0.01044096 0.01044096 0.01044096]","[0.02445908 0.03961389 0.05264764 0.06587059 0.07915971 0.08964183
 0.09975819 0.11055116 0.12082157 0.13052011 0.14089049 0.1521588
 0.16157458 0.17197282 0.18061822 0.18917336 0.19763917 0.20601659
 0.21430654 0.22250994 0.23062768 0.23866067 0.24660979 0.25447591
 0.2622599  0.26996261 0.27758491 0.28512762 0.29259158 0.2999776
 0.30728651 0.31451911 0.32167619 0.32875854]",1974.0,,34
1,compact on placement of children,GA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990 1991 1992 1993]","[0.02552106 0.015264   0.01335098 0.01611523 0.01631928 0.01107863
 0.01085825 0.01160087 0.01092113 0.01043218 0.01050264 0.01267304
 0.00920867 0.01079281 0.00964002 0.02610755 0.02453443 0.02595484
 0.02595484 0.02595484 0.02595484 0.02595484 0.02595484 0.02595484
 0.02595484 0.02595484 0.02595484 0.02595484 0.02595484 0.02595484
 0.02595484 0.02595484 0.02595484 0.02595484]","[0.02552106 0.0403955  0.05320716 0.06846495 0.08366693 0.09381865
 0.10365819 0.11405653 0.12373204 0.13287342 0.14198054 0.15285425
 0.16065534 0.16971423 0.1777182  0.19918596 0.21883348 0.23910854
 0.25885735 0.27809359 0.29683056 0.31508121 0.33285816 0.35017372
 0.36703986 0.38346824 0.39947022 0.41505688 0.43023898 0.44502704
 0.45943127 0.47346165 0.48712787 0.50043938]",1977.0,1993.0,34
