fold,policy,state,years,hazards,cdf,actual_adoption_time,pred_adoption_time,num_timepoints
1,compact on placement of children,AL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.0496354  0.07844182 0.00456574 0.00774137 0.00620292 0.00707604
 0.00912518 0.01024001 0.00715219 0.00743821 0.01139921 0.03114238
 0.00750671 0.01074766 0.00454014 0.04950594 0.04389178 0.40686167
 0.13296291 0.20298668]","[0.0496354  0.12418373 0.12818248 0.13493154 0.1402975  0.14638079
 0.15417022 0.16283152 0.16881911 0.1750016  0.18440594 0.20980548
 0.21573724 0.22416623 0.22768863 0.26592263 0.29814259 0.58370146
 0.63905373 0.71232101]",1979.0,1977.0,20
1,compact on placement of children,AK,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983]","[0.04154979 0.03538591 0.02482486 0.01478634 0.0172241  0.03382095
 0.02082029 0.02456174 0.02226456 0.03916863 0.02170655 0.03210655
 0.08371432 0.01741482 0.00715556 0.04132503 0.02660679 0.02660679
 0.02660679 0.02660679 0.02660679 0.02660679 0.02660679 0.02660679]","[0.04154979 0.07546542 0.09841687 0.11174798 0.12704733 0.15657142
 0.17413184 0.1944166  0.21235256 0.24320363 0.25963107 0.28340177
 0.3433913  0.35482602 0.3594426  0.38591366 0.40225252 0.41815666
 0.43363765 0.44870673 0.46337487 0.47765274 0.49155072 0.50507893]",1976.0,1983.0,24
1,compact on placement of children,AZ,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 1988 1989 1990]","[0.02316934 0.01731036 0.00942155 0.00824694 0.00911013 0.01483476
 0.00645021 0.00802431 0.00527097 0.01064326 0.00743266 0.01174239
 0.01210398 0.03710766 0.00905132 0.02737284 0.05469678 0.17123472
 0.04293754 0.04388263 0.04353234 0.03644749 0.03184385 0.11501815
 0.11959721 0.06497288 0.05804796 0.0914956  0.07151784 0.06485394
 0.06520866]","[0.02316934 0.04007863 0.04912258 0.0569644  0.06555558 0.07941784
 0.08535578 0.09269517 0.09747754 0.10708332 0.11372007 0.12412712
 0.13472866 0.16683686 0.17437808 0.1969777  0.24090044 0.37088464
 0.39789731 0.42431916 0.44937989 0.46944862 0.48634341 0.54542324
 0.59978936 0.62579219 0.64751419 0.67976509 0.7026676  0.72195078
 0.740082  ]",,1983.0,31
1,compact on placement of children,AR,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979]","[0.01632121 0.04434328 0.00657059 0.00436125 0.00437361 0.00907472
 0.00687048 0.01834789 0.01204046 0.02869128 0.00774049 0.04764533
 0.01829215 0.01476988 0.00439243 0.12920447 0.06175388 0.15011289
 0.06725107 0.16090039]","[0.01632121 0.05994076 0.0661175  0.07019039 0.07425702 0.08265787
 0.08896045 0.10567611 0.11644417 0.14179452 0.14843744 0.18901043
 0.20384517 0.21560428 0.21904968 0.31995195 0.36194756 0.45772745
 0.49419586 0.57557994]",1979.0,1979.0,20
1,compact on placement of children,CA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984]","[0.03438933 0.04995083 0.01071755 0.02799478 0.0289104  0.02773862
 0.03200357 0.08053477 0.02659122 0.01759477 0.01289715 0.01258012
 0.0147026  0.01295311 0.0274651  0.0274651  0.0274651  0.0274651
 0.0274651  0.0274651  0.0274651  0.0274651  0.0274651  0.0274651
 0.0274651 ]","[0.03438933 0.08262239 0.09245442 0.11786096 0.14336396 0.16712586
 0.19378081 0.25870949 0.27842131 0.29111732 0.30025988 0.3090627
 0.31922127 0.32803948 0.34649494 0.36444353 0.38189915 0.39887536
 0.41538531 0.43144181 0.44705732 0.46224395 0.47701348 0.49137736
 0.50534673]",1974.0,1984.0,25
1,compact on placement of children,CO,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982]","[0.01847369 0.03464014 0.00944178 0.0159909  0.00716331 0.01632087
 0.01425989 0.02366667 0.00974289 0.00574176 0.01323005 0.02273131
 0.02701977 0.0281978  0.01949359 0.05464334 0.05464334 0.05464334
 0.05464334 0.05464334 0.05464334 0.05464334 0.05464334]","[0.01847369 0.05247389 0.06142023 0.07642897 0.0830448  0.0980103
 0.11087257 0.13191526 0.14037292 0.14530869 0.1566163  0.17578752
 0.19805755 0.22067056 0.23586249 0.27761752 0.31709091 0.35440735
 0.38968469 0.42303435 0.45456168 0.48436626 0.51254221]",1975.0,1982.0,23
1,compact on placement of children,CT,[1960 1961 1962 1963 1964 1965 1966 1967 1968],"[0.01701263 0.11319998 0.07288789 0.08996696 0.09050448 0.1360502
 0.08280896 0.03945846 0.03945846]","[0.01701263 0.12828677 0.19182411 0.26453324 0.33109627 0.42210076
 0.469956   0.49087072 0.51096018]",1967.0,1968.0,9
1,compact on placement of children,DE,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980 1981 1982]","[0.02641807 0.04200045 0.00804722 0.02582618 0.01446782 0.01327242
 0.0176906  0.01825363 0.01466791 0.03582029 0.03582029 0.03582029
 0.03582029 0.03582029 0.03582029 0.03582029 0.03582029 0.03582029
 0.03582029 0.03582029 0.03582029 0.03582029 0.03582029]","[0.02641807 0.06730895 0.07481452 0.09870853 0.11174825 0.1235375
 0.13904264 0.15475824 0.16715617 0.19698888 0.22575297 0.25348672
 0.28022704 0.30600952 0.33086846 0.35483695 0.37794687 0.400229
 0.42171297 0.44242738 0.46239979 0.48165679 0.50022399]",1969.0,1982.0,23
1,compact on placement of children,FL,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978 1979 1980]","[0.023893   0.02769677 0.01436564 0.00871078 0.00778383 0.00887876
 0.01754297 0.10177446 0.0217221  0.0350893  0.01998635 0.03034181
 0.05075184 0.04056353 0.04006885 0.04006885 0.04006885 0.04006885
 0.04006885 0.04006885 0.04006885]","[0.023893   0.05092801 0.06456204 0.07271044 0.0799283  0.0880974
 0.10409489 0.19527515 0.21275546 0.24037932 0.25556137 0.27814898
 0.31478425 0.34257902 0.36892112 0.39420773 0.41848113 0.44178192
 0.46414907 0.48562    0.50623062]",1974.0,1980.0,21
1,compact on placement of children,GA,"[1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973
 1974 1975 1976 1977 1978]","[0.01446829 0.03016749 0.01329118 0.00702221 0.00886459 0.00394688
 0.00710816 0.01108863 0.00885866 0.0062792  0.0066976  0.01590093
 0.00475352 0.01110885 0.00686784 0.13169176 0.05764925 0.16178632
 0.16178632]","[0.01446829 0.0441993  0.05690303 0.06352565 0.07182711 0.07549049
 0.08206205 0.09224073 0.10028226 0.10593176 0.11191987 0.12604117
 0.13019555 0.13985808 0.1457654  0.25826105 0.30102175 0.41410687
 0.50889636]",1977.0,1978.0,19
