="",="(1)",="",="(2)",=""
="",="Policy Adoption",="",="Policy Adoption",=""
="",="b",="se",="b",="se"
="Policy Adoption",="",="",="",=""
="Sum of Similarity Score Adoptions",=".1125194",=".0150306",=".2511006",=".020601"
="Initiative Process",=".1757689",=".1057198",=".2227977",=".1091625"
="Signatures - Average",="-.0023255",=".0119731",="-.0136664",=".0122043"
="Population",=".1379071",=".0285833",=".0231167",=".0292341"
="Citizen Ideology",="-.0008323",=".0313198",=".0448457",=".0315258"
="Unified Control",="-.0821586",=".0442825",=".0567625",=".0513727"
="Std Income",=".136422",=".0423931",=".0126919",=".0352194"
="Legislative Professionalism",="-.0944478",=".0373724",="-.0509821",=".0397799"
="Duration",=".1704417",=".0603733",="-.1200274",=".0398381"
="Duration Squared",="-.0142209",=".01319",=".0092474",=".0052266"
="Duration Cubed",=".0004161",=".0008619",="-.0001767",=".0001895"
="year=1990",="0",=".",="",=""
="year=1991",=".4180114",=".1879781",="",=""
="year=1992",="1.233403",=".1848215",="",=""
="year=1993",=".4181792",=".2061881",="",=""
="year=1994",=".7427507",=".220181",="",=""
="year=1995",=".4956262",=".2382663",="",=""
="year=1996",=".6038797",=".2532132",="",=""
="year=1997",=".7372556",=".2736718",="",=""
="year=1998",=".5406387",=".2960244",="",=""
="year=1999",=".6614285",=".3167279",="",=""
="year=2000",=".2932633",=".3433525",="",=""
="year=2001",=".6876414",=".3649003",="",=""
="year=2002",=".5411213",=".3902367",="",=""
="year=2003",="",="",="0",="."
="year=2004",="",="",="-.2725279",=".1134856"
="year=2005",="",="",=".3558002",=".1060095"
="year=2006",="",="",=".4408114",=".1104006"
="year=2007",="",="",=".496866",=".1149923"
="year=2008",="",="",=".2386091",=".1267123"
="year=2009",="",="",=".6314551",=".1281078"
="year=2010",="",="",=".0463254",=".1543855"
="year=2011",="",="",=".5620676",=".1455238"
="year=2012",="",="",=".0536633",=".1662605"
="year=2013",="",="",=".8577245",=".1626884"
="year=2014",="",="",="0",="."
="Constant",="-4.17223",=".2391694",="-3.227799",=".12983"
="/",="",="",="",=""
="var(_cons[policyno])",="1.649632",=".2085628",=".9272326",=".1231938"
="Observations",="45321",="",="40557",=""
