="",="(1)",="",="(2)",=""
="",="Policy Adoption",="",="Policy Adoption",=""
="",="b",="se",="b",="se"
="Policy Adoption",="",="",="",=""
="Initiative Process",=".4868151",=".1010756",=".1182999",=".0588943"
="Signatures - Average",="-.0475739",=".0110177",="-.0076149",=".0063975"
="Latent Decay",=".1342131",=".0134555",=".1172759",=".0075309"
="Contiguity",=".1339642",=".0204064",=".156961",=".0111253"
="Population",=".0972442",=".0481772",=".0118826",=".0308949"
="Public Liberalism",=".1279762",=".0740281",=".1558666",=".0330069"
="Unified Control",=".0043045",=".0454921",="-.0093797",=".0271751"
="Duration",="-.0232915",=".0124249",="-.0185278",=".0065299"
="Duration Squared",=".0003111",=".0002616",=".0002486",=".0001313"
="Duration Cubed",="-1.03e-06",="1.20e-06",="-6.90e-07",="5.62e-07"
="Real Income Per Capita",=".0485363",=".0591889",="-.0802557",=".0296028"
="Legislative Prof- Dim 1",="-.09353",=".0476019",="-.0538928",=".0253808"
="Legislative Prof- Dim 2",=".0408911",=".0313784",=".0222458",=".014331"
="Change Population",="-.5350347",="1.529133",="5.481814",="1.244598"
="Change Income",=".0240517",=".2342583",="-.2185994",=".1686129"
="Change in Party",=".1126658",=".0817322",=".1821993",=".0520962"
="year=1960",="0",=".",="",=""
="year=1961",="0",=".",="",=""
="year=1962",="0",=".",="",=""
="year=1963",="0",=".",="",=""
="year=1964",="0",=".",="",=""
="year=1965",="0",=".",="",=""
="year=1966",="0",=".",="",=""
="year=1967",="0",=".",="",=""
="year=1968",="0",=".",="",=""
="year=1969",="0",=".",="",=""
="year=1970",="0",=".",="",=""
="year=1971",="0",=".",="",=""
="year=1972",="0",=".",="",=""
="year=1973",=".2214412",=".1568975",="",=""
="year=1974",="-.0892225",=".1540125",="",=""
="year=1975",="-.0742902",=".1473604",="",=""
="year=1976",="-.3495808",=".148956",="",=""
="year=1977",="-.0186824",=".1361716",="",=""
="year=1978",="-.4344566",=".1441343",="",=""
="year=1979",="-.2323155",=".1322533",="",=""
="year=1980",="-.6283748",=".1475187",="",=""
="year=1981",="-.0741579",=".1223064",="",=""
="year=1982",="-.065907",=".1185983",="",=""
="year=1983",=".3459526",=".1057723",="",=""
="year=1984",=".1007268",=".1118413",="",=""
="year=1985",=".3123462",=".1029168",="",=""
="year=1986",=".161512",=".1010025",="",=""
="year=1987",="0",=".",="",=""
="year=1988",="",="",="0",="."
="year=1989",="",="",=".1900695",=".0939311"
="year=1990",="",="",="-.0554026",=".0998485"
="year=1991",="",="",=".0357199",=".0968966"
="year=1992",="",="",=".217269",=".0944691"
="year=1993",="",="",=".0362852",=".0995398"
="year=1994",="",="",=".564029",=".0925831"
="year=1995",="",="",=".528182",=".095888"
="year=1996",="",="",=".5241962",=".0982236"
="year=1997",="",="",=".8091757",=".0963025"
="year=1998",="",="",=".6227771",=".1028181"
="year=1999",="",="",=".9343071",=".1005547"
="year=2000",="",="",=".6526069",=".1066781"
="year=2001",="",="",="1.067099",=".10491"
="year=2002",="",="",=".9263122",=".1112373"
="year=2003",="",="",="1.033122",=".1134463"
="year=2004",="",="",=".7598122",=".1200056"
="year=2005",="",="",="1.259883",=".1169425"
="year=2006",="",="",="1.547538",=".1169675"
="year=2007",="",="",="1.299099",=".1245765"
="year=2008",="",="",="1.097679",=".1316393"
="year=2009",="",="",="1.387542",=".1394674"
="year=2010",="",="",="1.063915",=".1448255"
="year=2011",="",="",="1.597758",=".1453458"
="year=2012",="",="",="1.053068",=".1594236"
="year=2013",="",="",="1.783125",=".1548423"
="year=2014",="",="",="1.126711",=".1986251"
="Constant",="-3.963135",=".1718358",="-4.03975",=".0999698"
="/",="",="",="",=""
="var(std_masssociallib_est[policyno])",=".1953168",=".0497374",=".222011",=".0231763"
="var(_cons[policyno])",="1.779128",=".2121409",="1.474762",=".1152399"
="cov(std_masssociallib_est[policyno],_cons[policyno])",=".1479874",=".0882063",="-.1520557",=".0382875"
="Observations",="111269",="",="200730",=""
