feature,rf_importance,xgb_importance
Lag Source Adoptions,0.141822155537392,0.061165884
Lag Neighbor Adoptions,0.07330764268389744,0.040022798
Personal Income,0.1346479994557132,0.021246571
Total Population,0.11720744766194574,0.016089503
Legislative Professionalism,0.07654146656578571,0.015017433
State Citizen Ideology,0.11633822197671016,0.014175238
Unified Republican Control,0.00983162219282609,0.01420904
Unified Democratic Control,0.014362827002911423,0.013284338
Time,0.0638193251139585,0.020262389
Time Squared,0.06443105768116293,0.018983597
Time Cubed,0.0642853497907034,0.010819694
