feature,rf_importance,xgb_importance
policycongruent,0.02255350783705448,0.05829267
gub_election,0.004613499439898657,0.037478756
elect2,0.0069012148281374945,0.034709148
hvd_4yr,0.04991187728746934,0.03729606
fedcrime,0.03843398765639492,0.04399821
leg_dem_per_2pty,0.043701320514898334,0.03340239
dem_governor,0.004819344088951326,0.029642848
insession,0.0063680264292004475,0.08717115
propneighpol,0.15449391244802468,0.20636879
citidist,0.12359424611741444,0.06027575
squire_prof86,0.028830305715276058,0.038427513
citi6008,0.055521816893034356,0.038716104
crimespendpc,0.053566708299276095,0.03946204
crimespendpcsq,0.05163802608643261,0.0
violentthousand,0.04641124767977064,0.03684364
pctwhite,0.03627488872660974,0.040208902
stateincpercap,0.06545429618683828,0.05501901
logpop,0.05754133852371083,0.045387853
counter,0.049900881217474304,0.07729917
counter2,0.04888007184284416,0.0
counter3,0.05058948218128884,0.0
