feature,rf_importance,xgb_importance
std_score,0.3802311880216321,0.06907272
initiative,0.006489146972848098,0.023621945
init_sigs,0.024229979702147575,0.022644207
std_population,0.08104143003090894,0.025153063
std_citideology,0.0804961080170101,0.02370847
unified,0.008549280928225834,0.020617874
std_income,0.08145779364279311,0.023579108
std_legp_squire,0.05925565762427925,0.024376893
duration,0.04557848460721351,0.034302574
durationsq,0.04735810346940483,0.0
durationcb,0.0442991590672386,0.0
year_1991.0,0.002213821766479858,0.025068266
year_1992.0,0.022964474656833954,0.08224235
year_1993.0,0.0068357327132601235,0.035808615
year_1994.0,0.006372694164374025,0.037144896
year_1995.0,0.004684560952390475,0.026225913
year_1996.0,0.006527910120359283,0.027442086
year_1997.0,0.005610744449070961,0.026620308
year_1998.0,0.008112771915014328,0.03610166
year_1999.0,0.006502148245012066,0.02933457
year_2000.0,0.004954706717905464,0.024481647
year_2001.0,0.005339787882161568,0.025888173
year_2002.0,0.006497371150561059,0.028726159
year_2003.0,0.004723187416012552,0.025258975
year_2004.0,0.005824283073884549,0.034040425
year_2005.0,0.004644029944325853,0.026657702
year_2006.0,0.00494848162736756,0.026945278
year_2007.0,0.005083242015811214,0.033085987
year_2008.0,0.003925542514323583,0.025528656
year_2009.0,0.005303239442684317,0.029197853
year_2010.0,0.003482575477882964,0.027956804
year_2011.0,0.004438363430702101,0.030539842
year_2012.0,0.0036685296343095747,0.024404917
year_2013.0,0.008355468605570775,0.04422205
