feature,rf_importance,xgb_importance
traditional,0.021552951235662643,0.5400807
nborsstd,0.04674749848693779,0.021995332
prevadoptstd,0.09255767387274029,0.0199487
complexity,0.008678905210830902,0.026703797
igrole,0.015193798384459372,0.019643426
regov,0.0057747862670548995,0.016587675
unified,0.0064819129169270025,0.019569771
perdemstd,0.04987149959537057,0.016394282
incpcadjstd,0.05614656519627609,0.018127413
exppcadjstd,0.057808344406035425,0.017186396
logpopstd,0.05325461423399845,0.017941348
collegstd,0.05837306632943387,0.019360175
perurbanstd,0.05443740292992953,0.018196993
profstd,0.04917136296317995,0.017594282
traditional_nborsstd,0.03458675720905694,0.014016085
traditional_prevadoptstd,0.06986525281168202,0.014574507
traditional_complexity,0.004196630536052794,0.01796722
traditional_igrole,0.01685014328658068,0.017966846
traditional_regov,0.004289428508749429,0.015275526
traditional_unified,0.0048540350651381245,0.01408666
traditional_perdemstd,0.034823128900925045,0.016560668
traditional_incpcadjstd,0.04961922953556249,0.015921814
traditional_exppcadjstd,0.04843754605841611,0.016339367
traditional_logpopstd,0.035502011185532235,0.01626105
traditional_collegstd,0.04829567790141001,0.017771624
traditional_perurbanstd,0.037330032966983624,0.016428012
traditional_profstd,0.03529974400507379,0.01750025
