feature,rf_importance,xgb_importance
Abortion Opinion,0.07119234548303804,0.025267279
Religious Adherence,0.10701626064380065,0.018517373
Initiative Difficulty,0.032968545015180616,0.023972362
Democratic Governor,0.017786505377574813,0.02954895
Unified Dem. Legislature,0.013255963071375089,0.017328158
Democratic Women,0.103624036456161,0.024787204
Neighbor Adoption %,0.08749205678337496,0.03196625
Median Income,0.10650824861711725,0.019955747
Population,0.10437428256881741,0.020156998
Time,0.08884561618706155,0.027327964
Time Squared,0.08375778615559226,0.0
Post-Webster Indicator,0.010445967823476269,0.016205966
