feature,rf_importance,xgb_importance
Initiative Process,0.00645201831181618,0.01114178
Signatures,0.020155880573257887,0.012200553
Latent Decay,0.14571591686425459,0.06953081
Contiguity,0.08325305066571388,0.06563447
Population,0.06306665263719655,0.01347157
Public Liberalism,0.0688959584300565,0.016859477
Unified Control,0.0087073306316572,0.009505452
Duration,0.06154701110812107,0.0176123
Duration Squared,0.06091382291395011,0.020653334
Duration Cubed,0.06061750475433029,0.022787971
Income per Capita,0.06748406661187743,0.014044544
Legislative Prof. Dim. 1,0.05779450499189947,0.0140832495
Legislative Prof. Dim. 2,0.05756160242077837,0.012500087
Change Population,0.06344258902097501,0.012329898
Change Income,0.06460773263632753,0.0130162705
Change in Party,0.0045393257074743025,0.013059969
