feature,rf_importance,xgb_importance
Neighbor Adoptions,0.08762205566170696,0.22001065
Ideological Distance,0.15487217824643526,0.041037563
Congressional Hearings,0.07492681303858452,0.06385799
Iniative Available,0.009383091836558681,0.036095675
Initiative Qual. Difficulty,0.025428308503184564,0.048949458
Divided Government,0.012581791265628743,0.038102552
Legislative Professionalism,0.09764341391879608,0.042252727
Per Capita Income,0.10884316120644645,0.048016388
Population,0.10284807678223294,0.042183418
Most Important Problem,0.05724892563525053,0.06209445
Complex Policy,0.005900896248440555,0.07134475
MIP x Complex,0.01607819473732497,0.04588897
New York Times,0.0736157308844326,0.056534287
Year,0.05894096910848365,0.08140196
Time,0.1140663929264935,0.10222921
