feature,rf_importance,xgb_importance
Legislative Ideology,0.07133173895372542,0.06236799
Citizen Ideology,0.10527701795199337,0.06826415
Median Incumbent Vote Share,0.050837093317893024,0.06263385
Party Decline,0.003323734728071372,0.034403417
Legislative Professionalism,0.045585834848931424,0.05376855
Change in Unemployment,0.04946479250934364,0.05410692
Per Capita Income,0.05588645736503463,0.054239467
Urban Percentage,0.04165513777579637,0.04739709
Unified Dem. Government,0.0034425144169100163,0.036183357
Fossil Fuel Production,0.0446108365355119,0.06299537
Real Energy Price,0.07650247931356993,0.062474266
Deregulated,0.01141956624056651,0.05878439
Lagged Geographic Neighbor,0.05428963523847172,0.06721102
Lagged Ideological Neighbor,0.041501106103518856,0.05316844
Prior Borrowing,0.06985351320788946,0.1071405
Year,0.04222910895006995,0.053282287
Provision Year,0.23278943254270235,0.061579067
