year,original_f1,original_balanced_acc,original_ap_score,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
1999,0.0,0.5,0.16995340385893845,0.2216117216117216,0.6169863962202672,0.16970970376895433,0.0,0.5,0.17365129300902923,0.0,0.5,0.16862346582993848
2000,0.12844036697247707,0.5334699868407734,0.1584492712789653,0.15732758620689655,0.5650673145055167,0.15379039042347886,0.0,0.5,0.11186763512018447,0.043010752688172046,0.5103350541552789,0.1171060723399096
2001,0.019230769230769232,0.503906653713388,0.21876182866876345,0.2097902097902098,0.597423468860456,0.22688642556018032,0.0,0.5,0.16854592906919133,0.0,0.5,0.1734935671948054
2002,0.0,0.49928774928774927,0.1448346904007136,0.13808463251670378,0.6012413512413513,0.1283868465925494,0.0,0.5,0.11277443023164546,0.0,0.5,0.09466322969155488
2003,0.04878048780487805,0.5125,0.1972181558905443,0.1751412429378531,0.6476694915254237,0.1957527266616489,0.0,0.5,0.14751880028241748,0.0,0.5,0.1389148929342275
2004,0.0,0.5,0.08999546288388505,0.134185303514377,0.6430632859204288,0.08755853657326644,0.0,0.5,0.11059581615657589,0.0,0.5,0.1311436395243128
2005,0.0,0.5,0.1416589533450487,0.20134228187919462,0.5227272727272727,0.1374700400762337,0.0,0.5,0.13114513304267067,0.0,0.5,0.14419403070524162
2006,0.0,0.5,0.1518227600523917,0.19931271477663232,0.590923890923891,0.16060008805167136,0.0,0.5,0.1703262613096389,0.0,0.5,0.16789131615713854
2007,0.0,0.5,0.16637586543009095,0.1592920353982301,0.4616609505144537,0.1643743751175797,0.0,0.5,0.20854722518503507,0.0,0.5,0.18958779926507718
2008,0.0,0.5,0.1566857370213884,0.143646408839779,0.5452993697478992,0.1402504093077697,0.0,0.5,0.14876418734605348,0.0,0.5,0.15253628241847583
2009,0.0,0.5,0.09940454131189022,0.15,0.5546116504854369,0.10081523917191954,0.0,0.5,0.09614114106567667,0.0,0.5,0.09465028435616671
