year,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
1999,0.0,0.5,0.3178742868369828,0.07142857142857142,0.5185185185185185,0.363917515936435,0.10526315789473684,0.5277777777777778,0.4420044842417105
2000,0.0,0.5,0.24432280528448666,0.043478260869565216,0.5111111111111111,0.3321848274640219,0.043478260869565216,0.5111111111111111,0.33602655051539193
2001,0.0,0.5,0.291317543037572,0.0,0.5,0.23542567075497925,0.0,0.5,0.2524929665629463
2002,0.0,0.5,0.3679428569799801,0.0,0.5,0.36987050412469524,0.0,0.5,0.3879121872248902
2003,0.0,0.5,0.45750321767349955,0.046511627906976744,0.5026866905483605,0.2788999601769693,0.024390243902439025,0.50003444475062,0.3101357113843988
2004,0.0,0.5,0.26792526583992504,0.0,0.5,0.15828266206599761,0.0,0.5,0.2051097954728408
2005,0.0,0.5,0.2629474840799486,0.0,0.5,0.2300121568834882,0.0,0.5,0.23461084424939788
2006,0.0,0.5,0.34894850502262886,0.0,0.5,0.2765161990516353,0.0,0.5,0.36770570760123167
2007,0.0,0.5,0.4467271344847106,0.0,0.5,0.45650143217970934,0.5263157894736842,0.6889293139293139,0.4920248092502475
2008,0.0,0.5,0.19364721067695512,0.0,0.5,0.29746919312694203,0.0,0.5,0.22556455078384902
