year,original_ap_score,logit_ap_score
1984,0.02998644933090444,0.026788100053222266
1985,0.11856761443994547,0.09824530193461278
1986,0.15036668656235608,0.15337580033422826
1987,0.03411163010798005,0.03976479639882641
1988,0.048116935526136495,0.06073100812231247
1989,0.031098955287434876,0.02837534738237458
1990,0.07179440754205582,0.12710467617682272
1991,0.004390993238168368,0.004539031447557264
1992,0.03026226707624641,0.021522632575415222
1993,0.024922923466788528,0.025052134741845773
1994,0.014537849418486022,0.009021977130808531
1995,0.013862345801342218,0.013434582226851111
1996,0.06569558326724421,0.03561803432317358
1997,0.020361561926060208,0.02278016954727364
1998,0.03067348799762689,0.047372338968366
1999,0.029673715381638363,0.028988852780520866
2000,0.05345626454073209,0.0438148061281663
2001,0.07643022074295472,0.05269264900612091
2002,0.13876380678018932,0.13724460971463015
2003,-0.0,-0.0
2004,0.014427059015559579,0.019145665722909017
2005,0.012726556343577621,0.006688172043010753
