year,rf_ap_score
1984,0.02638691907531171
1985,0.11250049300158826
1986,0.23960833582624116
1987,0.025435379687968225
1988,0.01847596571854428
1989,0.10586472032785316
1990,0.037541196369594576
1991,0.0065199029146424505
1992,0.018406172253333335
1993,0.018751126411059554
1994,0.020174915523752734
1995,0.05972669235993754
1996,0.05517704069938757
1997,0.05994197364284916
1998,0.07324322303372235
1999,0.059603484073134025
2000,0.0601245442601581
2001,0.13039573182644465
2002,0.08566877716066368
2003,-0.0
2004,0.0053429578515162375
2005,0.006507749291286445
