year,xgb_ap_score
1984,0.02745239694369802
1985,0.05986295026001306
1986,0.04895425742473093
1987,0.025471127313089335
1988,0.014831886611843537
1989,0.08640475697064083
1990,0.03712223883024186
1991,0.005287178023170116
1992,0.014696417883935832
1993,0.03066375177131096
1994,0.013386531434111417
1995,0.010872656919091853
1996,0.14831687433780558
1997,0.05009485024520808
1998,0.033226003264809616
1999,0.024667017991039288
2000,0.05603893541180553
2001,0.08924933885666082
2002,0.100042211225873
2003,-0.0
2004,0.013451055656575542
2005,0.006267774285286633
