year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
2003,0.025458828809125086,0.031731394437315125,0.04939704491462503,0.06115570606580115
2004,0.033860157803410035,0.04022952073619089,0.04534704849348466,0.031100372251914928
2005,0.05126424332938753,0.05024682846281738,0.047421532046223104,0.040497991502505305
2006,0.026064940112855914,0.04266809535593892,0.030629202066561285,0.12224306725825812
2007,0.02488614942588053,0.03928088657218262,0.09918520191774914,0.03821320323135415
2008,0.02342816901029148,0.006686395530826854,0.3663003663003663,0.03524816892628954
2009,0.049708150792447205,0.022770368218327945,0.06570920638217466,0.04480790440088102
2010,0.12598747429192264,0.035287778003553705,0.11030324638687028,0.07769295994506303
2011,0.10594567233447102,0.09084913466512286,0.15087243250289784,0.14046574273277318
2012,0.10184218936582227,0.08416514762078327,0.14497274391146808,0.07283134578026818
