year,original_f1,original_balanced_acc,original_ap_score,logit_f1,logit_balanced_acc,logit_ap_score,rf_f1,rf_balanced_acc,rf_ap_score,xgb_f1,xgb_balanced_acc,xgb_ap_score
1993,0.0,0.5,0.08983738365581431,0.05825242718446602,0.6832386363636364,0.05326883560372707,0.0,0.5,0.06515535406556663,0.3076923076923077,0.6631155303030303,0.2940652186320548
1994,0.0,0.5,0.05930729764021059,0.019801980198019802,0.4649509803921568,0.047162291849446696,0.0,0.5,0.2266525100818171,0.0,0.49926470588235294,0.13385102527088805
1995,0.0,0.5,0.09350373225447928,0.11428571428571428,0.6065442936951317,0.07445597381306215,0.0,0.5,0.14733434598531103,0.23076923076923078,0.6008579409417398,0.1354222910289026
1996,0.0,0.5,0.11341955153536751,0.03571428571428571,0.5163154726068633,0.11212841162902037,0.0,0.5,0.048532496124750316,0.1,0.5401565322095123,0.03864384090749773
1997,0.0,0.5,0.10961611919947847,0.031746031746031744,0.49654764629587245,0.08732998826486874,0.0,0.5,0.1155793208143799,0.0,0.4987029831387808,0.08622161299655215
1998,0.0,0.5,0.17326012162760995,0.20618556701030927,0.6333302351519658,0.13633290723260633,0.0,0.5,0.21194301931639203,0.26666666666666666,0.5967097313876755,0.22660923655301843
1999,0.08,0.5208333333333334,0.15448294431032225,0.08888888888888889,0.5401578458681523,0.15251618086519372,0.0,0.5,0.187721703526306,0.19047619047619047,0.5735840297121634,0.186077522260085
2000,0.0,0.5,0.06666990425439748,0.05128205128205128,0.6207349081364829,0.06633641315047044,0.0,0.5,0.10575854723609403,0.05263157894736842,0.562992125984252,0.03880305688996265
2001,0.0,0.5,0.041238878973810233,0.034482758620689655,0.5167404380887527,0.04007097056464862,0.0,0.5,0.037935686486363536,0.0,0.4950062421972534,0.034040341592602934
2002,0.0,0.5,0.0505703761716466,0.05405405405405406,0.5185111464968153,0.05523477902918194,0.0,0.5,0.0994861744052545,0.0,0.49745222929936306,0.07587972002288652
2003,0.0,0.5,0.035925226382087,0.0,0.4889896373056995,0.03471718870272376,0.0,0.5,0.05643952781355528,0.0,0.4961139896373057,0.0360126791525242
2004,0.0,0.5,0.06085577332260967,0.14814814814814814,0.581710667781627,0.0645839960738959,0.0,0.5,0.06569891288922877,0.0,0.4967148488830486,0.08172620453657332
2005,0.0,0.5,0.05208775249331814,0.0,0.4919678714859438,0.05474936700733771,0.0,0.5,0.1876137953609548,0.14814814814814814,0.5640657869573532,0.16150296463970212
2006,0.0,0.5,0.08611793871763898,0.08695652173913043,0.5348639455782312,0.08663995299426341,0.0,0.5,0.3175011975514064,0.32,0.6605442176870748,0.2453163672811397
2007,0.0,0.5,0.02985040550372127,0.0,0.4938101788170564,0.0311404219689784,0.0,0.5,0.027691513675887635,0.08333333333333333,0.5521836313617607,0.03207652069131838
2008,0.0,0.5,0.04183587701835877,0.0,0.494475138121547,0.03946562045153594,0.0,0.5,0.026495726495726492,0.0,0.48687845303867405,0.027438490499956218
2009,0.0,0.5,0.060540626437203725,0.0,0.49719495091164095,0.05971689624190325,0.0,0.5,0.05083208872926289,0.0,0.5,0.06882843757258324
2010,0.0,0.5,0.12345897219904656,0.08333333333333333,0.5241806554756195,0.11673073497927902,0.0,0.5,0.08742907288187855,0.0,0.4985611510791367,0.0716999546151313
2011,0.0,0.5,0.13155314683733255,0.03571428571428571,0.5056257665440196,0.12657659604518479,0.0,0.5,0.15430932475104922,0.0625,0.5118780995040794,0.14827030910845787
2012,0.09090909090909091,0.5238095238095238,0.1665046748916556,0.13675213675213677,0.6338481338481339,0.18604274366528323,0.0,0.5,0.12581258401616627,0.19047619047619047,0.5842985842985843,0.14467522677292163
