year,original_ap_score,logit_ap_score
2004,0.0814483489207067,0.0812438108507732
2005,0.09327640294289644,0.07865517836201202
2006,0.10919006686464454,0.10875889941720568
2007,0.10889538823452091,0.10588833876273906
2008,0.13171302200800092,0.13199478241946858
2009,0.1621657518054861,0.1628310200920057
2010,0.09802222528150625,0.09793249004204657
2011,0.10018184374234598,0.09969806358042677
2012,0.07801518323312273,0.0781291364498655
2013,0.11905859538615123,0.11971723098666633
2014,0.1059382285959555,0.1062903354793447
