year,rf_ap_score
1995,0.0962128873565097
1996,0.1082438793963797
1997,0.1305344456141106
1998,0.13355257831831058
1999,0.11668693266993813
2000,0.08086266264962583
2001,0.15043915469579155
2002,0.13966320041784955
2003,0.1787574781885275
2004,0.08247147094098205
2005,0.10260610106627119
2006,0.09678095145971846
2007,0.1218167808411377
2008,0.12269322960003849
2009,0.17384946382885103
2010,0.10974169622869735
2011,0.12350694423525482
2012,0.11815221812855041
2013,0.1416736317964296
2014,0.0788182267485281
