year,xgb_ap_score
1995,0.09092081924431758
1996,0.12655004049363872
1997,0.20335677337597494
1998,0.14840636655375794
1999,0.12040275626301067
2000,0.09010755841036801
2001,0.1517720859544747
2002,0.12337803605474326
2003,0.1727201223006505
2004,0.08844319808401621
2005,0.09915369575859825
2006,0.10546333964462572
2007,0.11410479059871483
2008,0.14898219341140478
2009,0.1850335571319988
2010,0.11218315050338548
2011,0.13999075266133387
2012,0.123589936763918
2013,0.1621922052730322
2014,0.08138635319694386
