year,original_ap_score,logit_ap_score
1998,0.1708459135833834,0.16932514939829177
1999,0.09101628498509963,0.08829488317349382
2000,0.0907422024420195,0.08965689284283501
2001,0.11313393732061763,0.11461993337713153
2002,0.1069986827715941,0.10717315436845434
2003,0.10258442145471434,0.10453796938289604
2004,0.0713358113301082,0.07096391368093116
2005,0.08717562609702054,0.09045361504944864
2006,0.0935351909889105,0.09770970338251553
2007,0.09332029642478853,0.09396359607535275
2008,0.09216268681881667,0.09917002092907348
2009,0.16847815925466433,0.1683877182470089
2010,0.06845646947840224,0.07047153183376412
2011,0.10549826651297668,0.10720059643631195
2012,0.11016658478928647,0.11374691812607429
2013,0.13887577373636895,0.1393070401037871
2014,0.13381000163114184,0.1307844805198972
