year,rf_ap_score
1989,0.0500453941814646
1990,0.06428776792130442
1991,0.0882223067430312
1992,0.12341587895439494
1993,0.05705996790937056
1994,0.16473352351042875
1995,0.07857539951506919
1996,0.0855409504063785
1997,0.13474149640406036
1998,0.1415405524273649
1999,0.09230968220712654
2000,0.09783002888767355
2001,0.1269618513415765
2002,0.10385720334052012
2003,0.13768674819066182
2004,0.06526560084587395
2005,0.09829225027699377
2006,0.08953012512932028
2007,0.08958563975991826
2008,0.10039796808415226
2009,0.15049487402558837
2010,0.07052396172414
2011,0.09548769874859094
2012,0.08817389614466657
2013,0.1526088701847769
2014,0.09620504750489833
