year,xgb_ap_score
1993,0.055035589024730214
1994,0.14704658378807745
1995,0.08238405215539596
1996,0.10379621715629238
1997,0.1292933222257382
1998,0.12324081311950419
1999,0.09161059032370861
2000,0.07557789063614612
2001,0.12441547779906262
2002,0.09868668476371605
2003,0.11579480874405602
2004,0.06865450562405603
2005,0.09311407856807127
2006,0.08759414599650142
2007,0.10190843276350085
2008,0.14349695003489035
2009,0.15311891162367458
2010,0.0630843255447079
2011,0.10064961820494397
2012,0.10866779053901762
2013,0.1650043008769259
2014,0.11048223465243555
